tour,market,feature,gain,splits
WTA,dfs,opponent_l12m_first_serve_pct,153.22519969940186,16
WTA,dfs,opponent_career4y_second_win_pct,152.23381853103638,16
WTA,dfs,opponent_df_rate_blend,148.88611125946045,15
WTA,dfs,opponent_height,139.09008026123047,15
WTA,dfs,opponent_l24m_svpt,126.43553066253662,13
WTA,dfs,player_l12m_svpt_per_match,125.49053812026978,14
WTA,dfs,opponent_career4y_matches,123.51252889633179,14
WTA,dfs,player_l24m_svpt,116.13262891769409,11
WTA,dfs,opponent_career4y_svpt_per_match,112.79816055297852,13
WTA,dfs,opponent_ret_second_blend,101.63660001754761,12
WTA,dfs,opponent_l24m_first_win_pct,95.69068145751953,11
WTA,dfs,opponent_career4y_svpt,88.85724020004272,9
WTA,dfs,opponent_career4y_first_win_pct,86.86722946166992,10
WTA,dfs,opponent_svpt_per_svg_blend,83.59148025512695,9
WTA,dfs,opponent_l24m_svpt_per_match,81.30193996429443,9
WTA,dfs,opponent_l24m_aces_allowed_rate,77.83732080459595,9
WTA,dfs,log_opponent_rank,77.54317951202393,9
WTA,dfs,opponent_l24m_second_win_pct,77.02486085891724,9
WTA,dfs,opponent_l24m_matches,69.2150993347168,7
WTA,dfs,opponent_l12m_second_win_pct,66.31731033325195,7
WTA,dfs,opponent_career4y_first_serve_pct,65.81816101074219,7
WTA,dfs,player_l24m_matches,60.6435809135437,5
WTA,dfs,opponent_career4y_ace_rate,52.44519901275635,6
WTA,dfs,opponent_career4y_aces_allowed_rate,42.52781009674072,5
WTA,dfs,opponent_l12m_ace_rate,41.77018070220947,4
WTA,dfs,opponent_l12m_first_win_pct,37.66538906097412,4
WTA,dfs,opponent_l24m_first_serve_pct,36.87694978713989,4
WTA,dfs,opponent_l12m_svpt,36.26807928085327,4
WTA,dfs,opponent_l12m_matches,35.53083896636963,3
WTA,dfs,opponent_hand,33.48406982421875,4
WTA,dfs,player_l12m_matches,31.08473014831543,2
WTA,dfs,draw_size,30.39387035369873,3
WTA,dfs,player_l12m_first_win_pct,25.73200035095215,2
WTA,dfs,opponent_ace_rate_blend,18.512229919433594,2
WTA,dfs,opponent_l24m_ace_rate,10.079400062561035,1
WTA,dfs,best_of,0.0,0
WTA,dfs,player_hand,0.0,0
WTA,dfs,surface,0.0,0
ATP,aces_live,incumbent_aces,265665.3548593521,664
ATP,aces_live,player_career4y_ace_rate,20571.612717151642,214
ATP,aces_live,opponent_aces_allowed_blend,15129.204506635666,612
ATP,aces_live,player_ace_rate_blend,13973.42538022995,61
ATP,aces_live,opponent_career4y_aces_allowed_rate,12452.737780570984,340
ATP,aces_live,player_l24m_ace_rate,12044.247373700142,204
ATP,aces_live,opponent_l24m_aces_allowed_rate,9660.824213504791,282
ATP,aces_live,venue_df_factor,8253.301115751266,533
ATP,aces_live,player_career4y_first_win_pct,8192.602070569992,230
ATP,aces_live,expected_match_games,6115.376618146896,233
ATP,aces_live,venue_ace_factor,5887.531069278717,420
ATP,aces_live,surface_prior_df_rate,5194.619244337082,340
ATP,aces_live,surface_prior_ace_rate,4678.957952260971,305
ATP,aces_live,opponent_l12m_aces_allowed_rate,4365.811599731445,168
ATP,aces_live,player_ret_second_blend,2949.298305749893,192
ATP,aces_live,player_l24m_first_win_pct,2910.344650030136,155
ATP,aces_live,opponent_l12m_svpt,2800.10979115963,185
ATP,aces_live,opponent_l24m_svpt,2566.9900286197662,184
ATP,aces_live,expected_service_points,2315.568722486496,180
ATP,aces_live,opponent_return_factor,2029.3678741455078,190
ATP,aces_live,opponent_df_rate_blend,1911.134855747223,165
ATP,aces_live,opponent_l12m_first_win_pct,1860.7838418483734,174
ATP,aces_live,player_career4y_svpt_per_match,1778.983726978302,146
ATP,aces_live,player_l12m_aces_allowed_rate,1744.89151096344,145
ATP,aces_live,player_l12m_ace_rate,1665.95241689682,116
ATP,aces_live,player_l12m_first_serve_pct,1649.0082691907883,177
ATP,aces_live,player_l12m_first_win_pct,1581.050307750702,152
ATP,aces_live,player_l24m_first_serve_pct,1549.3740664720535,161
ATP,aces_live,opponent_career4y_svpt,1535.0124461650848,94
ATP,aces_live,opponent_l12m_svpt_per_match,1512.3926676511765,186
ATP,aces_live,opponent_svpt_per_svg_blend,1483.1656160354614,159
ATP,aces_live,opponent_ret_second_blend,1481.023169517517,132
ATP,aces_live,opponent_ret_first_blend,1431.4212996959686,132
ATP,aces_live,player_ret_first_blend,1369.1261298656464,149
ATP,aces_live,incumbent_dfs,1353.6582400798798,144
ATP,aces_live,player_career4y_aces_allowed_rate,1327.9283666610718,141
ATP,aces_live,player_svpt_per_svg_blend,1269.1753199100494,147
ATP,aces_live,opponent_career4y_second_win_pct,1242.145179271698,117
ATP,aces_live,opponent_l24m_df_rate,1226.8945393562317,118
ATP,aces_live,opponent_career4y_df_rate,1169.237331867218,122
ATP,aces_live,opponent_career4y_svpt_per_match,1126.3121552467346,120
ATP,aces_live,opponent_l24m_first_win_pct,1042.820463180542,83
ATP,aces_live,player_l12m_svpt,1038.172601699829,81
ATP,aces_live,opponent_l24m_svpt_per_match,1015.6110324859619,105
ATP,aces_live,player_career4y_second_win_pct,1006.5077500343323,109
ATP,aces_live,player_l24m_svpt_per_match,994.774386882782,95
ATP,aces_live,player_l24m_second_win_pct,990.7356400489807,103
ATP,aces_live,opponent_l12m_matches,967.6532316207886,76
ATP,aces_live,player_l12m_second_win_pct,949.4099090099335,129
ATP,aces_live,opponent_career4y_first_win_pct,932.048678278923,89
ATP,aces_live,best_of,912.6373670101166,32
ATP,aces_live,player_aces_allowed_blend,910.2536773681641,79
ATP,aces_live,player_career4y_svpt,901.1991324424744,77
ATP,aces_live,opponent_career4y_matches,883.8646895885468,95
ATP,aces_live,opponent_l12m_second_win_pct,865.2006902694702,99
ATP,aces_live,opponent_l12m_first_serve_pct,847.0728073120117,94
ATP,aces_live,opponent_l24m_second_win_pct,839.546468257904,98
ATP,aces_live,player_l12m_svpt_per_match,776.9498100280762,78
ATP,aces_live,opponent_ace_rate_blend,762.844530582428,73
ATP,aces_live,opponent_l12m_df_rate,756.0400390625,105
ATP,aces_live,opponent_l12m_ace_rate,755.5633997917175,83
ATP,aces_live,player_career4y_matches,753.9733905792236,53
ATP,aces_live,player_l24m_svpt,749.5808801651001,60
ATP,aces_live,opponent_career4y_ace_rate,704.1074674129486,72
ATP,aces_live,player_l24m_matches,672.7596530914307,49
ATP,aces_live,player_l24m_aces_allowed_rate,656.5316603183746,63
ATP,aces_live,player_career4y_first_serve_pct,614.97815990448,61
ATP,aces_live,player_df_rate_blend,598.6473824977875,65
ATP,aces_live,opponent_l24m_first_serve_pct,597.4743208885193,68
ATP,aces_live,player_l12m_matches,587.9911997318268,62
ATP,aces_live,player_career4y_df_rate,579.9176750183105,65
ATP,aces_live,opponent_career4y_first_serve_pct,563.2070791721344,61
ATP,aces_live,player_l12m_df_rate,544.9250903129578,62
ATP,aces_live,player_l24m_df_rate,526.7783713340759,56
ATP,aces_live,opponent_l24m_matches,477.58848810195923,33
ATP,aces_live,opponent_l24m_ace_rate,369.8158874511719,33
ATP,aces_live,surface,92.9590711593628,5
WTA,aces_live,incumbent_aces,106829.36439943314,303
WTA,aces_live,player_career4y_ace_rate,33867.035801410675,385
WTA,aces_live,opponent_career4y_aces_allowed_rate,17245.26261615753,470
WTA,aces_live,player_ace_rate_blend,7553.3465275764465,64
WTA,aces_live,opponent_aces_allowed_blend,7114.6576499938965,360
WTA,aces_live,player_l24m_ace_rate,6192.44216299057,94
WTA,aces_live,opponent_l24m_aces_allowed_rate,3875.7551097869873,143
WTA,aces_live,player_career4y_first_serve_pct,2380.1285848617554,146
WTA,aces_live,venue_df_factor,1914.0926241874695,138
WTA,aces_live,player_l12m_first_serve_pct,1863.7470808029175,128
WTA,aces_live,player_career4y_first_win_pct,1785.2951078414917,108
WTA,aces_live,player_l12m_first_win_pct,1666.4948811531067,123
WTA,aces_live,surface_prior_ace_rate,1541.7947883605957,130
WTA,aces_live,player_l12m_ace_rate,1490.1109037399292,65
WTA,aces_live,venue_ace_factor,1436.1484594345093,120
WTA,aces_live,expected_match_games,1405.4733109474182,115
WTA,aces_live,surface_prior_df_rate,1304.9294633865356,105
WTA,aces_live,opponent_l12m_aces_allowed_rate,1055.0746064186096,66
WTA,aces_live,opponent_career4y_matches,1045.3661136627197,73
WTA,aces_live,player_l24m_matches,895.6893062591553,45
WTA,aces_live,player_ret_first_blend,821.272479057312,73
