tour,year,date,tournament,round,surface,player1,player2,actual_aces,projected_aces,naive_aces,actual_dfs,projected_dfs,naive_dfs,ace_confidence,df_confidence
ATP,2023,2023-01-16,Australian Open,R64,Hard,Hubert Hurkacz,Lorenzo Sonego,14,27.546,25.054000000000002,13,7.2379999999999995,4.555,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Hubert Hurkacz,Pedro Martinez,24,25.399,23.236,5,8.486,8.347,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R16,Hard,Hubert Hurkacz,Sebastian Korda,27,36.979,40.7,8,6.678,4.397,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,J J Wolf,Jordan Thompson,36,24.273,21.731,8,8.66,9.464,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R32,Hard,J J Wolf,Michael Mmoh,16,21.29,18.749000000000002,6,7.236,3.635,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Jack Draper,Rafael Nadal,19,24.823,24.83,6,9.530999999999999,10.331,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Jan Lennard Struff,Tommy Paul,28,23.232999999999997,22.692999999999998,7,7.609999999999999,5.025,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Jannik Sinner,Kyle Edmund,8,25.021,24.96,4,9.487,12.572,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R32,Hard,Jannik Sinner,Marton Fucsovics,9,23.427,23.826999999999998,9,8.437000000000001,8.087,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R16,Hard,Jannik Sinner,Stefanos Tsitsipas,23,28.969,30.779,6,7.096,5.47,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Jannik Sinner,Tomas Martin Etcheverry,12,25.361,29.29,4,7.965,5.776999999999999,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Jason Kubler,Karen Khachanov,29,27.414,28.817999999999998,4,7.755000000000001,6.535,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Jason Kubler,Sebastian Baez,6,26.172,23.686999999999998,5,7.574,5.785,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R32,Hard,Jenson Brooksby,Tommy Paul,9,20.399,16.713,6,6.99,3.357,LOW,LOW
ATP,2023,2023-01-16,Australian Open,QF,Hard,Jiri Lehecka,Stefanos Tsitsipas,16,26.803,27.384999999999998,6,6.36,3.6049999999999995,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Joao Sousa,Roberto Bautista Agut,10,21.167,12.502,4,8.041,9.837,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,John Millman,Marc Andrea Huesler,29,19.144,14.847999999999999,4,7.871,6.599,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Juncheng Shang,Oscar Otte,22,24.44,27.845,7,7.896,5.927,LOW,LOW
ATP,2023,2023-01-16,Australian Open,QF,Hard,Karen Khachanov,Sebastian Korda,16,28.427,29.986,2,7.616,6.186,LOW,LOW
ATP,2023,2023-01-16,Australian Open,SF,Hard,Karen Khachanov,Stefanos Tsitsipas,28,28.114000000000004,29.429,6,7.194000000000001,5.422,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R16,Hard,Karen Khachanov,Yoshihito Nishioka,16,17.521,11.661999999999999,5,8.849,8.466,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Laslo Djere,Zizou Bergs,14,23.082,19.606,6,9.406,11.219000000000001,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Laurent Lokoli,Michael Mmoh,20,20.514,18.317999999999998,14,7.824,5.932,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Lloyd Harris,Lorenzo Musetti,24,22.667,25.292,7,7.417,5.596,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Lloyd Harris,Marton Fucsovics,8,22.886,23.246,4,8.542,8.038,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Lorenzo Sonego,Nuno Borges,16,20.519,15.109,6,8.183,6.343,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Mackenzie Mcdonald,Rafael Nadal,20,19.693,17.724,4,9.833,11.17,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R32,Hard,Mackenzie Mcdonald,Yoshihito Nishioka,10,16.39,10.503,10,9.607,10.263,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Mikael Ymer,Yoshihito Nishioka,7,12.511,3.9539999999999997,4,10.222,11.131,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Miomir Kecmanovic,Nicolas Jarry,26,22.484,20.985,2,8.167,7.362,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Nikoloz Basilashvili,Taylor Fritz,41,26.93,23.1,13,8.082,6.158,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Novak Djokovic,Roberto Carballes Baena,13,19.155,12.856000000000002,2,9.099,9.05,LOW,LOW
ATP,2023,2023-01-16,Australian Open,F,Hard,Novak Djokovic,Stefanos Tsitsipas,22,27.754,28.689,6,7.856999999999999,6.796,LOW,LOW
ATP,2023,2023-01-16,Australian Open,SF,Hard,Novak Djokovic,Tommy Paul,16,22.576999999999998,21.184,5,8.266,6.4,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Pablo Carreno Busta,Pedro Cachin,27,22.313000000000002,16.335,4,8.988,9.354,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Pavel Kotov,Tallon Griekspoor,19,27.038,31.57,6,9.329,10.225000000000001,LOW,LOW
