tour,year,date,tournament,round,surface,player,opponent,actual_aces,projected_aces,naive_aces,actual_dfs,projected_dfs,naive_dfs,ace_confidence,df_confidence,expected_service_points,same_tournament_matches,notes
ATP,2024,2024-01-15,Australian Open,R128,Hard,Taro Daniel,Christopher Eubanks,4,7.897,6.491,3,3.911,4.087,MED,MED,118.707,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Andrey Rublev,Thiago Seyboth Wild,21,13.032,11.635,1,2.810,2.683,MED,HIGH,115.592,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Thiago Seyboth Wild,Andrey Rublev,15,10.256,9.574,6,4.559,5.197,LOW,LOW,124.459,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Holger Rune,Yoshihito Nishioka,17,11.520,10.292,5,4.741,5.049,MED,HIGH,117.948,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Yoshihito Nishioka,Holger Rune,4,3.897,3.267,4,2.780,2.535,MED,MED,119.302,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Arthur Cazaux,Laslo Djere,11,12.289,11.710,3,3.157,1.301,LOW,LOW,127.508,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Laslo Djere,Arthur Cazaux,5,11.701,10.461,7,3.764,3.931,MED,MED,123.399,0,NO_OPP_DATA;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Arthur Fils,Jiri Vesely,18,11.790,10.696,4,4.866,5.301,MED,HIGH,117.472,0,TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Jiri Vesely,Arthur Fils,3,13.809,13.737,8,5.870,8.189,LOW,LOW,111.743,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Tallon Griekspoor,Roman Safiullin,15,14.173,12.888,5,4.440,4.686,MED,HIGH,116.539,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
