tour_id,player1_id,player2_id,round_id,draw,result
21317,47752,25171,4,51,6-3 6-3
21317,3700,93452,4,52,bye
21317,36519,3700,4,53,bye
21317,73620,6101,4,54,7-6(5) 6-4
21317,18736,66828,4,55,4-6 7-5 6-3
21317,3700,86691,4,56,bye
21317,25543,3700,4,57,bye
21317,91521,84235,4,58,7-6(2) 6-4
21317,37741,14177,4,59,6-3 6-4
21317,3700,29935,4,60,bye
21317,37532,3700,4,61,bye
21317,33502,30470,4,62,6-2 3-6 6-4
21317,63299,11517,4,63,6-2 6-4
21317,3700,47275,4,64,bye
21317,68074,11953,5,1,6-2 6-3
21317,28170,52934,5,2,w/o
21317,36594,31446,5,3,7-5 7-5
21317,33648,64891,5,4,6-1 7-6(4)
21317,24245,42971,5,5,3-6 7-6(3) 6-2
21317,58149,76127,5,6,4-6 6-2 6-4
21317,27851,18094,5,7,6-2 6-3
21317,39309,42451,5,8,4-6 6-4 6-4
21317,5992,28898,5,9,4-6 6-1 6-2
21317,39152,36263,5,10,6-1 6-4
21317,52279,28899,5,11,6-4 5-7 7-6(5)
21317,63017,1837,5,12,3-6 6-3 6-2
21317,22807,30087,5,13,6-4 6-2
21317,52721,61838,5,14,6-4 6-1
21317,92985,38911,5,15,7-5 6-7(5) 7-6(6)
21317,29932,68090,5,16,6-3 6-7(8) 6-1
21317,13674,63572,5,17,7-5 6-1
21317,83135,85899,5,18,6-2 3-2 ret.
21317,68627,29372,5,19,6-7(4) 7-6(1) 6-3
21317,40434,5917,5,20,6-7(5) 6-3 6-4
21317,67546,34337,5,21,3-6 6-3 6-4
21317,29939,40609,5,22,6-4 6-2
21317,56846,42229,5,23,6-3 6-4
21317,24008,29812,5,24,6-3 6-4
21317,87562,28087,5,25,6-7(3) 7-6(4) 6-3
21317,93452,47752,5,26,7-6(3) 7-6(8)
21317,36519,73620,5,27,7-6(0) 6-2
21317,86691,18736,5,28,7-5 7-6(4)
21317,91521,25543,5,29,4-6 7-6(7) 6-4
21317,29935,37741,5,30,6-1 6-2
21317,33502,37532,5,31,6-3 2-6 7-6(5)
21317,47275,63299,5,32,6-1 6-1
21317,68074,28170,6,1,6-7(6) 6-3 6-2
21317,33648,36594,6,2,3-6 6-3 6-4
21547,97488,126916,9,4,6-2 6-7(5) 10-2
21547,117958,126986,10,1,
21547,121900,97488,10,2,
21547,3699,3699,12,1,
21540,31327,98903,4,1,6-2 6-2
21540,109787,80652,4,2,7-6(4) 6-2
21540,94959,52530,4,3,7-6(5) 6-0
21540,83696,111355,4,4,6-1 6-3
21540,73918,70867,4,5,6-0 6-0
21540,59591,92737,4,6,6-2 6-1
21540,83312,68533,4,7,6-4 4-6 6-1
21540,40825,27783,4,8,6-2 4-6 6-4
21540,40645,94367,4,9,6-3 6-3
21540,86183,98907,4,10,6-2 6-3
21540,23471,90027,4,11,6-2 6-3
21540,71836,117908,4,12,6-0 7-6(3)
21540,23335,93012,4,13,6-3 6-2
21540,85841,40200,4,14,6-4 6-2
21540,52335,33947,4,15,5-7 6-3 6-2
21540,86083,90758,4,16,7-6(5) 6-4
21540,31327,109787,5,1,7-5 6-2
21540,83696,94959,5,2,6-4 6-2
21540,73918,59591,5,3,6-2 6-1
21540,40825,83312,5,4,6-1 3-6 6-1
21540,40645,86183,5,5,7-6(4) 7-5
21540,23471,71836,5,6,6-2 3-0 ret.
21540,23335,85841,5,7,7-5 4-1 ret.
21540,86083,52335,5,8,6-2 7-6(4)
21540,83696,31327,9,1,6-2 6-2
21540,73918,40825,9,2,6-4 6-2
21540,23471,40645,9,3,6-7(6) 7-6(6) 3-1 ret.
21540,86083,23335,9,4,6-7(5) 6-3 7-5
21540,83696,73918,10,1,
21540,23471,86083,10,2,
21540,3700,3700,12,1,
21540,105111,126917,4,1,3-6 6-4 13-11
21540,46858,126919,4,2,6-0 6-0
21540,126920,114656,4,3,4-6 6-4 10-5
21540,126921,101335,4,4,6-4 6-4
21540,121881,126922,4,5,6-2 6-4
21540,105468,95950,4,6,7-6(4) 4-6 20-18
21540,100170,126923,4,7,6-2 6-3
21540,125277,124890,4,8,6-2 6-0
21540,46858,105111,9,1,6-4 6-3
21540,126921,126920,9,2,7-6(2) 1-6 10-5
21540,121881,105468,9,3,6-3 6-1
21540,100170,125277,9,4,7-6(2) 6-4
21540,46858,126921,10,1,
21540,121881,100170,10,2,7-5 6-2
21540,3699,121881,12,1,
21545,111577,77866,4,1,7-5 6-3
21545,79061,100981,4,2,6-1 6-0
21545,76324,120497,4,3,6-1 6-0
21545,66363,37199,4,4,6-4 6-2
21545,54380,88890,4,5,6-1 2-0 ret.
21545,50870,54553,4,6,6-3 2-6 6-3
21545,88054,103337,4,7,6-4 6-4
21545,95474,64266,4,8,7-6(5) 2-6 7-6(8)
21545,13209,100737,4,9,7-6(3) 6-2
21545,110995,103928,4,10,6-2 6-2
21545,86473,95669,4,11,6-3 6-3
21545,84120,109734,4,12,6-2 6-3
21545,100194,81114,4,13,6-0 6-2
21545,113380,88910,4,14,6-4 4-6 7-5
21545,45509,125949,4,15,4-6 6-3 6-2
21545,83306,78049,4,16,5-7 6-0 6-3
21545,79061,111577,5,1,2-6 6-3 6-3
21545,76324,66363,5,2,7-6(7) 6-1
21545,54380,50870,5,3,6-3 6-3
21545,88054,95474,5,4,6-3 6-2
21545,13209,110995,5,5,6-4 7-5
21545,84120,86473,5,6,7-6(9) 6-2
21545,113380,100194,5,7,7-5 3-0 ret.
21545,83306,45509,5,8,6-4 7-5
21545,79061,76324,9,1,
21545,54380,88054,9,2,
21545,13209,84120,9,3,
21545,113380,83306,9,4,
21545,3700,3700,10,1,
21545,3700,3700,10,2,
21545,3700,3700,12,1,
