cell_id,edge_lo,edge_hi,direction_filter,confidence_filter,series_filter,side_filter,split,n_bets,wins,losses,roi_flat,roi_boot_lb,roi_boot_ub,log_loss_model,log_loss_pinnacle,delta_log_loss,brier_model,brier_pinnacle,ece,clv_avg,clv_pos_rate,clv_n,clv_match_rate,clv_informative
edge3-8|agree-with-pinnacle|high+medium|Masters1000|model-fav,3.0,8.0,agree-with-pinnacle,high+medium,Masters1000,model-fav,2023,7.0,4.0,3.0,-8.4286,-56.2857,42.2857,0.6729,0.6649,0.008,0.2399,0.236,0.1685,,,7.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|Masters1000|model-fav,3.0,8.0,agree-with-pinnacle,high+medium,Masters1000,model-fav,2024,11.0,7.0,4.0,5.2727,-47.0,53.0909,0.6272,0.6358,-0.0086,0.2205,0.2232,0.0851,,,11.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|Masters1000|model-dog,3.0,8.0,agree-with-pinnacle,high+medium,Masters1000,model-dog,pooled_2022_2024,21.0,3.0,18.0,-58.1429,-100.0,-6.8095,0.558,0.5249,0.0332,0.1841,0.1686,0.2363,,,21.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|Masters1000|model-dog,3.0,8.0,agree-with-pinnacle,high+medium,Masters1000,model-dog,2022,4.0,1.0,3.0,-36.25,,,0.5303,0.5207,0.0097,0.1729,0.1694,0.1927,,,4.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|Masters1000|model-dog,3.0,8.0,agree-with-pinnacle,high+medium,Masters1000,model-dog,2023,8.0,2.0,6.0,-22.0,-100.0,59.5,0.627,0.609,0.0179,0.217,0.2082,0.1185,,,8.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|Masters1000|model-dog,3.0,8.0,agree-with-pinnacle,high+medium,Masters1000,model-dog,2024,9.0,0.0,9.0,-100.0,-100.0,-100.0,0.509,0.4519,0.0571,0.1599,0.1331,0.3972,,,9.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|Masters1000|both,3.0,8.0,agree-with-pinnacle,high+medium,Masters1000,both,pooled_2022_2024,47.0,19.0,28.0,-25.2979,-52.0851,5.0426,0.6139,0.5996,0.0143,0.2113,0.2046,0.0876,,,47.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|Masters1000|both,3.0,8.0,agree-with-pinnacle,high+medium,Masters1000,both,2022,12.0,6.0,6.0,-9.3333,-59.0,43.4167,0.6373,0.6328,0.0046,0.2207,0.2204,0.1787,,,12.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|Masters1000|both,3.0,8.0,agree-with-pinnacle,high+medium,Masters1000,both,2023,15.0,6.0,9.0,-15.6667,-69.1333,42.0,0.6484,0.6351,0.0133,0.2277,0.2212,0.0518,,,15.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|Masters1000|both,3.0,8.0,agree-with-pinnacle,high+medium,Masters1000,both,2024,20.0,7.0,13.0,-42.1,-75.75,-4.6,0.574,0.553,0.021,0.1932,0.1826,0.1754,,,20.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP-non-Slam|model-fav,3.0,8.0,agree-with-pinnacle,high+medium,ATP-non-Slam,model-fav,pooled_2022_2024,70.0,40.0,30.0,-7.9143,-27.4429,9.6429,0.6631,0.6558,0.0073,0.2363,0.2322,0.1172,,,70.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP-non-Slam|model-fav,3.0,8.0,agree-with-pinnacle,high+medium,ATP-non-Slam,model-fav,2022,27.0,17.0,10.0,-0.2222,-28.6296,27.4074,0.6298,0.6323,-0.0026,0.2199,0.2205,0.1094,,,27.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP-non-Slam|model-fav,3.0,8.0,agree-with-pinnacle,high+medium,ATP-non-Slam,model-fav,2023,21.0,13.0,8.0,0.7143,-35.5238,32.5714,0.6226,0.6303,-0.0077,0.2174,0.2198,0.1256,,,21.0,100.0,0.0
edge3-8|agree-with-pinnacle|high+medium|ATP-non-Slam|model-fav,3.0,8.0,agree-with-pinnacle,high+medium,ATP-non-Slam,model-fav,2024,22.0,10.0,12.0,-25.5909,-57.2727,7.7273,0.7427,0.709,0.0337,0.2746,0.2583,0.1912,,,22.0,100.0,0.0
