cell_id,edge_lo,edge_hi,direction_filter,confidence_filter,series_filter,side_filter,split,n_bets,wins,losses,roi_flat,roi_boot_lb,roi_boot_ub,log_loss_model,log_loss_pinnacle,delta_log_loss,brier_model,brier_pinnacle,ece,clv_avg,clv_pos_rate,clv_n,clv_match_rate,clv_informative
edge6-12|no-filter|all|ATP250|model-dog,6.0,12.0,no-filter,all,ATP250,model-dog,pooled_2022_2024,69.0,25.0,44.0,-3.942,-33.1449,31.3188,0.6308,0.6299,0.0009,0.2202,0.2201,0.0505,,,69.0,100.0,0.0
edge6-12|no-filter|all|ATP250|model-dog,6.0,12.0,no-filter,all,ATP250,model-dog,2022,29.0,12.0,17.0,14.4138,-35.7586,69.8966,0.6631,0.6767,-0.0136,0.2358,0.2421,0.0263,,,29.0,100.0,0.0
edge6-12|no-filter|all|ATP250|model-dog,6.0,12.0,no-filter,all,ATP250,model-dog,2023,19.0,8.0,11.0,8.8421,-50.4211,69.4737,0.6493,0.6559,-0.0066,0.2287,0.2323,0.0895,,,19.0,100.0,0.0
edge6-12|no-filter|all|ATP250|model-dog,6.0,12.0,no-filter,all,ATP250,model-dog,2024,21.0,5.0,16.0,-40.8571,-78.2857,10.5714,0.5696,0.5418,0.0278,0.1909,0.1785,0.1579,,,21.0,100.0,0.0
edge6-12|no-filter|all|ATP250|both,6.0,12.0,no-filter,all,ATP250,both,pooled_2022_2024,159.0,73.0,86.0,-7.4214,-23.3145,9.6792,0.6708,0.6572,0.0136,0.2391,0.2329,0.0474,,,159.0,100.0,0.0
edge6-12|no-filter|all|ATP250|both,6.0,12.0,no-filter,all,ATP250,both,2022,52.0,24.0,28.0,1.7885,-30.8654,33.4615,0.6807,0.6761,0.0046,0.2442,0.2419,0.0699,,,52.0,100.0,0.0
edge6-12|no-filter|all|ATP250|both,6.0,12.0,no-filter,all,ATP250,both,2023,49.0,25.0,24.0,3.1224,-26.5714,33.2245,0.6679,0.6641,0.0037,0.2378,0.2362,0.0502,,,49.0,100.0,0.0
edge6-12|no-filter|all|ATP250|both,6.0,12.0,no-filter,all,ATP250,both,2024,58.0,24.0,34.0,-24.5862,-46.6207,-0.2241,0.6644,0.6342,0.0302,0.2357,0.2221,0.0342,,,58.0,100.0,0.0
edge6-12|no-filter|all|ATP500|model-fav,6.0,12.0,no-filter,all,ATP500,model-fav,pooled_2022_2024,8.0,5.0,3.0,0.625,-60.625,50.375,0.6052,0.614,-0.0088,0.2097,0.2121,0.1551,,,8.0,100.0,0.0
edge6-12|no-filter|all|ATP500|model-fav,6.0,12.0,no-filter,all,ATP500,model-fav,2022,3.0,2.0,1.0,6.3333,,,0.6279,0.6217,0.0062,0.2188,0.2153,0.2035,,,3.0,100.0,0.0
edge6-12|no-filter|all|ATP500|model-fav,6.0,12.0,no-filter,all,ATP500,model-fav,2023,3.0,2.0,1.0,5.0,,,0.5068,0.543,-0.0362,0.1654,0.1784,0.3811,,,3.0,100.0,0.0
edge6-12|no-filter|all|ATP500|model-fav,6.0,12.0,no-filter,all,ATP500,model-fav,2024,2.0,1.0,1.0,-14.5,,,0.7188,0.709,0.0097,0.2626,0.2578,0.1346,,,2.0,100.0,0.0
edge6-12|no-filter|all|ATP500|model-dog,6.0,12.0,no-filter,all,ATP500,model-dog,pooled_2022_2024,14.0,4.0,10.0,-18.4286,-82.0,51.0714,0.5988,0.5903,0.0085,0.2046,0.2006,0.1751,,,14.0,100.0,0.0
edge6-12|no-filter|all|ATP500|model-dog,6.0,12.0,no-filter,all,ATP500,model-dog,2022,5.0,2.0,3.0,27.0,-100.0,180.2,0.7071,0.7193,-0.0121,0.2545,0.2587,0.3217,,,5.0,100.0,0.0
edge6-12|no-filter|all|ATP500|model-dog,6.0,12.0,no-filter,all,ATP500,model-dog,2023,5.0,0.0,5.0,-100.0,-100.0,-100.0,0.4251,0.3754,0.0497,0.1229,0.1007,0.3414,,,5.0,100.0,0.0
edge6-12|no-filter|all|ATP500|model-dog,6.0,12.0,no-filter,all,ATP500,model-dog,2024,4.0,2.0,2.0,26.75,,,0.6803,0.6977,-0.0174,0.2442,0.2529,0.2619,,,4.0,100.0,0.0
edge6-12|no-filter|all|ATP500|both,6.0,12.0,no-filter,all,ATP500,both,pooled_2022_2024,22.0,9.0,13.0,-11.5,-58.5455,40.3636,0.6011,0.5989,0.0022,0.2065,0.2048,0.1303,,,22.0,100.0,0.0
edge6-12|no-filter|all|ATP500|both,6.0,12.0,no-filter,all,ATP500,both,2022,8.0,4.0,4.0,19.25,-62.5,112.625,0.6774,0.6827,-0.0052,0.2412,0.2424,0.1248,,,8.0,100.0,0.0
edge6-12|no-filter|all|ATP500|both,6.0,12.0,no-filter,all,ATP500,both,2023,8.0,2.0,6.0,-60.625,-100.0,-10.5,0.4557,0.4382,0.0175,0.1389,0.1298,0.2424,,,8.0,100.0,0.0
edge6-12|no-filter|all|ATP500|both,6.0,12.0,no-filter,all,ATP500,both,2024,6.0,3.0,3.0,13.0,-71.5,109.6667,0.6931,0.7015,-0.0083,0.2503,0.2546,0.1298,,,6.0,100.0,0.0
edge6-12|no-filter|all|Masters1000|model-fav,6.0,12.0,no-filter,all,Masters1000,model-fav,pooled_2022_2024,44.0,30.0,14.0,15.3864,-7.5,37.1818,0.6176,0.6409,-0.0233,0.2144,0.2248,0.1526,,,44.0,100.0,0.0
edge6-12|no-filter|all|Masters1000|model-fav,6.0,12.0,no-filter,all,Masters1000,model-fav,2022,14.0,9.0,5.0,9.5714,-38.2143,48.6429,0.6377,0.6504,-0.0127,0.2233,0.2291,0.1137,,,14.0,100.0,0.0
edge6-12|no-filter|all|Masters1000|model-fav,6.0,12.0,no-filter,all,Masters1000,model-fav,2023,16.0,12.0,4.0,26.375,-17.4375,59.6875,0.5962,0.634,-0.0378,0.204,0.2213,0.203,,,16.0,100.0,0.0
edge6-12|no-filter|all|Masters1000|model-fav,6.0,12.0,no-filter,all,Masters1000,model-fav,2024,14.0,9.0,5.0,8.6429,-37.0,51.2857,0.6221,0.6393,-0.0172,0.2175,0.2244,0.1339,,,14.0,100.0,0.0
edge6-12|no-filter|all|Masters1000|model-dog,6.0,12.0,no-filter,all,Masters1000,model-dog,pooled_2022_2024,42.0,9.0,33.0,-36.5476,-72.9762,1.2857,0.5767,0.5543,0.0224,0.1935,0.1832,0.1578,,,42.0,100.0,0.0
edge6-12|no-filter|all|Masters1000|model-dog,6.0,12.0,no-filter,all,Masters1000,model-dog,2022,11.0,3.0,8.0,-25.1818,-77.6364,50.4545,0.5599,0.5508,0.0091,0.1871,0.1837,0.1369,,,11.0,100.0,0.0
edge6-12|no-filter|all|Masters1000|model-dog,6.0,12.0,no-filter,all,Masters1000,model-dog,2023,12.0,2.0,10.0,-46.25,-100.0,34.0833,0.5826,0.5475,0.0351,0.1958,0.1791,0.2065,,,12.0,100.0,0.0
edge6-12|no-filter|all|Masters1000|model-dog,6.0,12.0,no-filter,all,Masters1000,model-dog,2024,19.0,4.0,15.0,-37.0,-86.7368,23.4211,0.5826,0.5606,0.022,0.1958,0.1854,0.1847,,,19.0,100.0,0.0
edge6-12|no-filter|all|Masters1000|both,6.0,12.0,no-filter,all,Masters1000,both,pooled_2022_2024,86.0,39.0,47.0,-9.9767,-31.0116,12.3605,0.5976,0.5986,-0.001,0.2042,0.2045,0.0964,,,86.0,100.0,0.0
edge6-12|no-filter|all|Masters1000|both,6.0,12.0,no-filter,all,Masters1000,both,2022,25.0,12.0,13.0,-5.72,-43.84,32.08,0.6034,0.6066,-0.0031,0.2074,0.2091,0.0673,,,25.0,100.0,0.0
edge6-12|no-filter|all|Masters1000|both,6.0,12.0,no-filter,all,Masters1000,both,2023,28.0,14.0,14.0,-4.75,-44.7143,34.5714,0.5904,0.597,-0.0066,0.2005,0.2032,0.1676,,,28.0,100.0,0.0
edge6-12|no-filter|all|Masters1000|both,6.0,12.0,no-filter,all,Masters1000,both,2024,33.0,13.0,20.0,-17.6364,-53.3939,23.5758,0.5994,0.594,0.0054,0.205,0.202,0.0988,,,33.0,100.0,0.0
edge6-12|no-filter|all|ATP-non-Slam|model-fav,6.0,12.0,no-filter,all,ATP-non-Slam,model-fav,pooled_2022_2024,142.0,83.0,59.0,-1.5915,-15.7958,11.9718,0.6701,0.6629,0.0071,0.239,0.2355,0.0744,,,142.0,100.0,0.0
edge6-12|no-filter|all|ATP-non-Slam|model-fav,6.0,12.0,no-filter,all,ATP-non-Slam,model-fav,2022,40.0,23.0,17.0,-4.3,-30.175,21.8,0.6745,0.6627,0.0118,0.2411,0.2352,0.0941,,,40.0,100.0,0.0
edge6-12|no-filter|all|ATP-non-Slam|model-fav,6.0,12.0,no-filter,all,ATP-non-Slam,model-fav,2023,49.0,31.0,18.0,8.6122,-14.1837,33.1633,0.6418,0.6501,-0.0083,0.2258,0.2293,0.0753,,,49.0,100.0,0.0
edge6-12|no-filter|all|ATP-non-Slam|model-fav,6.0,12.0,no-filter,all,ATP-non-Slam,model-fav,2024,53.0,29.0,24.0,-8.9811,-30.5472,13.8679,0.6929,0.6751,0.0178,0.2496,0.2414,0.1038,,,53.0,100.0,0.0
edge6-12|no-filter|all|ATP-non-Slam|model-dog,6.0,12.0,no-filter,all,ATP-non-Slam,model-dog,pooled_2022_2024,125.0,38.0,87.0,-16.52,-38.84,8.136,0.609,0.6001,0.009,0.2095,0.2055,0.0822,,,125.0,100.0,0.0
edge6-12|no-filter|all|ATP-non-Slam|model-dog,6.0,12.0,no-filter,all,ATP-non-Slam,model-dog,2022,45.0,17.0,28.0,6.1333,-33.3111,48.4667,0.6427,0.6506,-0.0079,0.226,0.2297,0.0487,,,45.0,100.0,0.0
edge6-12|no-filter|all|ATP-non-Slam|model-dog,6.0,12.0,no-filter,all,ATP-non-Slam,model-dog,2023,36.0,10.0,26.0,-24.6389,-64.6389,17.5833,0.5959,0.5808,0.0151,0.2031,0.1963,0.108,,,36.0,100.0,0.0
edge6-12|no-filter|all|ATP-non-Slam|model-dog,6.0,12.0,no-filter,all,ATP-non-Slam,model-dog,2024,44.0,11.0,33.0,-33.0455,-64.4773,4.25,0.5853,0.5641,0.0212,0.1978,0.1883,0.1402,,,44.0,100.0,0.0
edge6-12|no-filter|all|ATP-non-Slam|both,6.0,12.0,no-filter,all,ATP-non-Slam,both,pooled_2022_2024,267.0,121.0,146.0,-8.5805,-21.588,3.8502,0.6415,0.6335,0.008,0.2252,0.2214,0.0228,,,267.0,100.0,0.0
edge6-12|no-filter|all|ATP-non-Slam|both,6.0,12.0,no-filter,all,ATP-non-Slam,both,2022,85.0,40.0,45.0,1.2235,-21.7529,26.7882,0.6577,0.6563,0.0014,0.2331,0.2323,0.0457,,,85.0,100.0,0.0
edge6-12|no-filter|all|ATP-non-Slam|both,6.0,12.0,no-filter,all,ATP-non-Slam,both,2023,85.0,41.0,44.0,-5.4706,-27.3294,15.9059,0.6224,0.6207,0.0016,0.2162,0.2153,0.0491,,,85.0,100.0,0.0
edge6-12|no-filter|all|ATP-non-Slam|both,6.0,12.0,no-filter,all,ATP-non-Slam,both,2024,97.0,40.0,57.0,-19.8969,-38.567,1.4639,0.6441,0.6247,0.0194,0.2261,0.2173,0.0069,,,97.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP250|model-fav,7.0,13.0,agree-with-pinnacle,high-only,ATP250,model-fav,pooled_2022_2024,59.0,29.0,30.0,-19.0678,-39.8814,2.6271,0.7545,0.7071,0.0474,0.2785,0.2569,0.1753,,,59.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP250|model-fav,7.0,13.0,agree-with-pinnacle,high-only,ATP250,model-fav,2022,15.0,7.0,8.0,-22.8667,-65.4667,20.7333,0.7531,0.7077,0.0454,0.2792,0.2575,0.2251,,,15.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP250|model-fav,7.0,13.0,agree-with-pinnacle,high-only,ATP250,model-fav,2023,21.0,9.0,12.0,-25.5714,-61.4286,13.619,0.7905,0.7255,0.065,0.2961,0.2662,0.2117,,,21.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP250|model-fav,7.0,13.0,agree-with-pinnacle,high-only,ATP250,model-fav,2024,23.0,13.0,10.0,-10.6522,-43.1739,20.4783,0.7225,0.6898,0.0327,0.2619,0.2481,0.131,,,23.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP250|model-dog,7.0,13.0,agree-with-pinnacle,high-only,ATP250,model-dog,pooled_2022_2024,58.0,20.0,38.0,-12.7931,-43.9655,19.1379,0.6081,0.6032,0.0048,0.2092,0.2076,0.0995,,,58.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP250|model-dog,7.0,13.0,agree-with-pinnacle,high-only,ATP250,model-dog,2022,25.0,8.0,17.0,-16.92,-60.24,31.36,0.6188,0.6082,0.0106,0.2143,0.2096,0.087,,,25.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP250|model-dog,7.0,13.0,agree-with-pinnacle,high-only,ATP250,model-dog,2023,17.0,8.0,9.0,19.9412,-41.7059,86.1765,0.6423,0.6624,-0.0201,0.2257,0.2361,0.1838,,,17.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP250|model-dog,7.0,13.0,agree-with-pinnacle,high-only,ATP250,model-dog,2024,16.0,4.0,12.0,-41.125,-85.4375,16.125,0.5549,0.5325,0.0223,0.1836,0.1741,0.153,,,16.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP250|both,7.0,13.0,agree-with-pinnacle,high-only,ATP250,both,pooled_2022_2024,117.0,49.0,68.0,-15.9573,-35.8718,3.0684,0.6819,0.6556,0.0263,0.2441,0.2325,0.0584,,,117.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP250|both,7.0,13.0,agree-with-pinnacle,high-only,ATP250,both,2022,40.0,15.0,25.0,-19.15,-52.475,15.175,0.6692,0.6455,0.0237,0.2387,0.2276,0.0877,,,40.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP250|both,7.0,13.0,agree-with-pinnacle,high-only,ATP250,both,2023,38.0,17.0,21.0,-5.2105,-42.5789,31.5263,0.7242,0.6973,0.0269,0.2646,0.2527,0.1473,,,38.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP250|both,7.0,13.0,agree-with-pinnacle,high-only,ATP250,both,2024,39.0,17.0,22.0,-23.1538,-52.2564,3.4615,0.6538,0.6253,0.0285,0.2298,0.2177,0.0209,,,39.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP500|model-fav,7.0,13.0,agree-with-pinnacle,high-only,ATP500,model-fav,pooled_2022_2024,6.0,4.0,2.0,6.0,-54.6667,64.3333,0.6571,0.6384,0.0187,0.2326,0.2242,0.0538,,,6.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP500|model-fav,7.0,13.0,agree-with-pinnacle,high-only,ATP500,model-fav,2022,2.0,1.0,1.0,-25.0,,,0.7281,0.658,0.0701,0.2677,0.2338,0.4792,,,2.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP500|model-fav,7.0,13.0,agree-with-pinnacle,high-only,ATP500,model-fav,2023,2.0,2.0,0.0,57.5,,,0.3609,0.4705,-0.1096,0.0969,0.1439,0.2966,,,2.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP500|model-fav,7.0,13.0,agree-with-pinnacle,high-only,ATP500,model-fav,2024,2.0,1.0,1.0,-14.5,,,0.8824,0.7868,0.0955,0.333,0.2949,0.5462,,,2.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP500|model-dog,7.0,13.0,agree-with-pinnacle,high-only,ATP500,model-dog,pooled_2022_2024,9.0,2.0,7.0,-27.5556,-100.0,74.7778,0.6274,0.6031,0.0243,0.2165,0.2042,0.3193,,,9.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP500|model-dog,7.0,13.0,agree-with-pinnacle,high-only,ATP500,model-dog,2022,3.0,1.0,2.0,27.6667,,,0.7304,0.7363,-0.0059,0.2642,0.2639,0.4895,,,3.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP500|model-dog,7.0,13.0,agree-with-pinnacle,high-only,ATP500,model-dog,2023,2.0,0.0,2.0,-100.0,,,0.5444,0.4745,0.0699,0.1766,0.1432,0.4186,,,2.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP500|model-dog,7.0,13.0,agree-with-pinnacle,high-only,ATP500,model-dog,2024,4.0,1.0,3.0,-32.75,,,0.5916,0.5674,0.0242,0.2006,0.1898,0.2141,,,4.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP500|both,7.0,13.0,agree-with-pinnacle,high-only,ATP500,both,pooled_2022_2024,15.0,6.0,9.0,-14.1333,-72.0667,50.8,0.6393,0.6172,0.0221,0.2229,0.2122,0.2131,,,15.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP500|both,7.0,13.0,agree-with-pinnacle,high-only,ATP500,both,2022,5.0,2.0,3.0,6.6,-100.0,159.8,0.7295,0.705,0.0245,0.2656,0.2519,0.2324,,,5.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP500|both,7.0,13.0,agree-with-pinnacle,high-only,ATP500,both,2023,4.0,2.0,2.0,-21.25,,,0.4527,0.4725,-0.0198,0.1367,0.1435,0.3576,,,4.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP500|both,7.0,13.0,agree-with-pinnacle,high-only,ATP500,both,2024,6.0,2.0,4.0,-26.6667,-100.0,63.0,0.6885,0.6406,0.048,0.2448,0.2249,0.3248,,,6.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|Masters1000|model-fav,7.0,13.0,agree-with-pinnacle,high-only,Masters1000,model-fav,pooled_2022_2024,20.0,13.0,7.0,13.75,-23.35,50.0,0.6698,0.6878,-0.018,0.2386,0.2475,0.2151,,,20.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|Masters1000|model-fav,7.0,13.0,agree-with-pinnacle,high-only,Masters1000,model-fav,2022,7.0,3.0,4.0,-26.4286,-77.0,42.5714,0.7758,0.7284,0.0474,0.2898,0.2675,0.3262,,,7.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|Masters1000|model-fav,7.0,13.0,agree-with-pinnacle,high-only,Masters1000,model-fav,2023,8.0,7.0,1.0,56.375,11.125,85.5,0.5621,0.6509,-0.0887,0.1859,0.229,0.2436,,,8.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|Masters1000|model-fav,7.0,13.0,agree-with-pinnacle,high-only,Masters1000,model-fav,2024,5.0,3.0,2.0,1.8,-71.0,74.6,0.6936,0.69,0.0035,0.251,0.2491,0.3341,,,5.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|Masters1000|model-dog,7.0,13.0,agree-with-pinnacle,high-only,Masters1000,model-dog,pooled_2022_2024,24.0,6.0,18.0,-28.7083,-77.2917,21.625,0.5842,0.5666,0.0176,0.1971,0.1891,0.1278,,,24.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|Masters1000|model-dog,7.0,13.0,agree-with-pinnacle,high-only,Masters1000,model-dog,2022,5.0,1.0,4.0,-49.0,-100.0,53.0,0.548,0.5146,0.0333,0.1802,0.1655,0.2324,,,5.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|Masters1000|model-dog,7.0,13.0,agree-with-pinnacle,high-only,Masters1000,model-dog,2023,6.0,0.0,6.0,-100.0,-100.0,-100.0,0.4956,0.424,0.0717,0.1539,0.1206,0.3886,,,6.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|Masters1000|model-dog,7.0,13.0,agree-with-pinnacle,high-only,Masters1000,model-dog,2024,13.0,5.0,8.0,12.0,-61.2308,87.6923,0.639,0.6524,-0.0135,0.2235,0.2299,0.077,,,13.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|Masters1000|both,7.0,13.0,agree-with-pinnacle,high-only,Masters1000,both,pooled_2022_2024,44.0,19.0,25.0,-9.4091,-41.6818,23.3864,0.6231,0.6217,0.0014,0.2159,0.2157,0.0796,,,44.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|Masters1000|both,7.0,13.0,agree-with-pinnacle,high-only,Masters1000,both,2022,12.0,4.0,8.0,-35.8333,-86.1667,18.25,0.6809,0.6393,0.0415,0.2441,0.225,0.141,,,12.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|Masters1000|both,7.0,13.0,agree-with-pinnacle,high-only,Masters1000,both,2023,14.0,7.0,7.0,-10.6429,-53.3571,31.0714,0.5336,0.5536,-0.02,0.1722,0.1826,0.3057,,,14.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|Masters1000|both,7.0,13.0,agree-with-pinnacle,high-only,Masters1000,both,2024,18.0,8.0,10.0,9.1667,-49.1667,73.8889,0.6541,0.6629,-0.0087,0.2311,0.2352,0.0372,,,18.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP-non-Slam|model-fav,7.0,13.0,agree-with-pinnacle,high-only,ATP-non-Slam,model-fav,pooled_2022_2024,85.0,46.0,39.0,-9.5765,-28.4235,8.3294,0.7277,0.6977,0.03,0.2658,0.2524,0.1618,,,85.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP-non-Slam|model-fav,7.0,13.0,agree-with-pinnacle,high-only,ATP-non-Slam,model-fav,2022,24.0,11.0,13.0,-24.0833,-57.8333,9.7083,0.7576,0.7096,0.048,0.2813,0.2584,0.257,,,24.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP-non-Slam|model-fav,7.0,13.0,agree-with-pinnacle,high-only,ATP-non-Slam,model-fav,2023,31.0,18.0,13.0,0.9355,-30.6129,30.3226,0.7039,0.6898,0.014,0.2548,0.2487,0.1129,,,31.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP-non-Slam|model-fav,7.0,13.0,agree-with-pinnacle,high-only,ATP-non-Slam,model-fav,2024,30.0,17.0,13.0,-8.8333,-37.5333,21.6667,0.7284,0.6963,0.032,0.2648,0.2514,0.1402,,,30.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP-non-Slam|model-dog,7.0,13.0,agree-with-pinnacle,high-only,ATP-non-Slam,model-dog,pooled_2022_2024,91.0,28.0,63.0,-18.4505,-43.5824,7.9341,0.6037,0.5935,0.0101,0.2067,0.2024,0.0879,,,91.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP-non-Slam|model-dog,7.0,13.0,agree-with-pinnacle,high-only,ATP-non-Slam,model-dog,2022,33.0,10.0,23.0,-17.7273,-60.697,27.9394,0.6182,0.6057,0.0126,0.2137,0.2079,0.095,,,33.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP-non-Slam|model-dog,7.0,13.0,agree-with-pinnacle,high-only,ATP-non-Slam,model-dog,2023,25.0,8.0,17.0,-18.44,-61.96,28.32,0.5993,0.5901,0.0091,0.2045,0.2009,0.1125,,,25.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP-non-Slam|model-dog,7.0,13.0,agree-with-pinnacle,high-only,ATP-non-Slam,model-dog,2024,33.0,10.0,23.0,-19.1818,-59.6061,23.2727,0.5925,0.584,0.0085,0.2014,0.198,0.1134,,,33.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP-non-Slam|both,7.0,13.0,agree-with-pinnacle,high-only,ATP-non-Slam,both,pooled_2022_2024,176.0,74.0,102.0,-14.1648,-29.4375,2.0682,0.6636,0.6438,0.0197,0.2353,0.2265,0.0362,,,176.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP-non-Slam|both,7.0,13.0,agree-with-pinnacle,high-only,ATP-non-Slam,both,2022,57.0,21.0,36.0,-20.4035,-48.6667,8.5789,0.6769,0.6494,0.0275,0.2422,0.2292,0.0967,,,57.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP-non-Slam|both,7.0,13.0,agree-with-pinnacle,high-only,ATP-non-Slam,both,2023,56.0,26.0,30.0,-7.7143,-34.5357,17.6429,0.6572,0.6453,0.0118,0.2324,0.2274,0.0123,,,56.0,100.0,0.0
edge7-13|agree-with-pinnacle|high-only|ATP-non-Slam|both,7.0,13.0,agree-with-pinnacle,high-only,ATP-non-Slam,both,2024,63.0,27.0,36.0,-14.254,-39.619,11.0794,0.6572,0.6375,0.0197,0.2316,0.2234,0.0333,,,63.0,100.0,0.0
edge7-13|agree-with-pinnacle|high+medium|ATP250|model-fav,7.0,13.0,agree-with-pinnacle,high+medium,ATP250,model-fav,pooled_2022_2024,73.0,41.0,32.0,-7.7123,-27.3425,11.5753,0.7064,0.6824,0.024,0.2556,0.2448,0.1197,,,73.0,100.0,0.0
edge7-13|agree-with-pinnacle|high+medium|ATP250|model-fav,7.0,13.0,agree-with-pinnacle,high+medium,ATP250,model-fav,2022,19.0,10.0,9.0,-15.1053,-48.7368,22.7895,0.7174,0.685,0.0324,0.2618,0.2463,0.1716,,,19.0,100.0,0.0
edge7-13|agree-with-pinnacle|high+medium|ATP250|model-fav,7.0,13.0,agree-with-pinnacle,high+medium,ATP250,model-fav,2023,25.0,13.0,12.0,-9.36,-45.52,26.12,0.7387,0.7038,0.0349,0.2711,0.2554,0.1479,,,25.0,100.0,0.0
edge7-13|agree-with-pinnacle|high+medium|ATP250|model-fav,7.0,13.0,agree-with-pinnacle,high+medium,ATP250,model-fav,2024,29.0,18.0,11.0,-1.4483,-31.6897,25.8276,0.6713,0.6622,0.0091,0.2383,0.2347,0.0732,,,29.0,100.0,0.0
edge7-13|agree-with-pinnacle|high+medium|ATP250|model-dog,7.0,13.0,agree-with-pinnacle,high+medium,ATP250,model-dog,pooled_2022_2024,69.0,23.0,46.0,-12.9565,-42.6667,15.6957,0.6143,0.6075,0.0068,0.2121,0.2094,0.0676,,,69.0,100.0,0.0
edge7-13|agree-with-pinnacle|high+medium|ATP250|model-dog,7.0,13.0,agree-with-pinnacle,high+medium,ATP250,model-dog,2022,29.0,11.0,18.0,4.3103,-46.0,50.8621,0.6519,0.6546,-0.0028,0.2302,0.2315,0.0184,,,29.0,100.0,0.0
edge7-13|agree-with-pinnacle|high+medium|ATP250|model-dog,7.0,13.0,agree-with-pinnacle,high+medium,ATP250,model-dog,2023,18.0,8.0,10.0,13.2778,-45.7778,74.1111,0.6439,0.6576,-0.0138,0.2264,0.2336,0.1465,,,18.0,100.0,0.0
edge7-13|agree-with-pinnacle|high+medium|ATP250|model-dog,7.0,13.0,agree-with-pinnacle,high+medium,ATP250,model-dog,2024,22.0,4.0,18.0,-57.1818,-89.4091,-14.8636,0.5407,0.5044,0.0363,0.1766,0.1604,0.2178,,,22.0,100.0,0.0
edge7-13|agree-with-pinnacle|high+medium|ATP250|both,7.0,13.0,agree-with-pinnacle,high+medium,ATP250,both,pooled_2022_2024,142.0,64.0,78.0,-10.2606,-27.7535,7.007,0.6616,0.646,0.0157,0.2345,0.2276,0.0303,,,142.0,100.0,0.0
edge7-13|agree-with-pinnacle|high+medium|ATP250|both,7.0,13.0,agree-with-pinnacle,high+medium,ATP250,both,2022,48.0,21.0,27.0,-3.375,-35.6042,29.8125,0.6778,0.6667,0.0112,0.2427,0.2373,0.0684,,,48.0,100.0,0.0
edge7-13|agree-with-pinnacle|high+medium|ATP250|both,7.0,13.0,agree-with-pinnacle,high+medium,ATP250,both,2023,43.0,21.0,22.0,0.1163,-32.6279,32.6977,0.699,0.6845,0.0145,0.2524,0.2463,0.0842,,,43.0,100.0,0.0
