date,tournament,surface,round,series,player1,player2,player1_id,player2_id,our_prob,our_prob_raw,our_odds,pinnacle_odds,pinnacle_odds_loser,actual_winner,value_pct,bet_side,bet_result,policy_excluded,pinnacle_prob_novig,model_favorite,model_favorite_prob,p_serve_return,p_elo,p_rank,confidence
2024-02-09,Cordoba Open,Clay,Quarterfinals,ATP250,Sebastian Baez,Alejandro Pascacio F.,52721,24232,0.82,0.943381,1.2195,1.35,3.45,Sebastian Baez,10.7,winner,win,False,0.71875,Sebastian Baez,0.82,0.699014,0.954448,0.796913,low
2024-02-09,Cordoba Open,Clay,Quarterfinals,ATP250,Federico Coria,Tomas Martin Etcheverry,18720,37532,0.425626,0.427591,2.3495,3.28,1.39,Federico Coria,39.605,winner,win,False,0.297645,Tomas Martin Etcheverry,0.574374,0.597446,0.537294,0.224962,high
2024-02-09,Cordoba Open,Clay,Quarterfinals,ATP250,Luciano Darderi,Yannick Hanfmann,76127,14856,0.479805,0.489813,2.0842,1.75,2.18,Luciano Darderi,13.403,loser,loss,False,0.554707,Yannick Hanfmann,0.520195,0.513119,0.462598,0.299269,high
2024-02-09,Cordoba Open,Clay,2nd Round,ATP250,Alejandro Pascacio F.,Thiago Agustin Tirante,24232,52394,0.18,0.096664,5.5556,1.61,2.47,Alejandro Pascacio F.,102.54,loser,loss,False,0.605392,Thiago Agustin Tirante,0.82,0.403065,0.088862,0.530493,low
2024-02-09,Cordoba Open,Clay,2nd Round,ATP250,Yannick Hanfmann,Roman Andres Burruchaga,14856,70705,0.582652,0.581908,1.7163,1.52,2.74,Yannick Hanfmann,14.353,loser,loss,False,0.643192,Yannick Hanfmann,0.582652,0.478471,0.649391,0.762219,high
2024-02-09,Dallas Open,Hard,Quarterfinals,ATP250,Vinay Kumar T,Dominik Koepfer,49583,34298,0.421017,0.421573,2.3752,1.41,3.18,Vinay Kumar T,84.117,loser,loss,False,0.69281,Dominik Koepfer,0.578983,0.418124,0.071319,0.805612,low
2024-02-09,Dallas Open,Hard,Quarterfinals,ATP250,Ben Shelton,Jordan Thompson,87562,22433,0.543036,0.533758,1.8415,1.46,2.94,Ben Shelton,34.347,loser,loss,False,0.668182,Ben Shelton,0.543036,0.414712,0.391326,0.738049,high
2024-02-09,Dallas Open,Hard,2nd Round,ATP250,Alejandro Pascacio F.,Alex Michelsen,24232,92985,0.367812,0.365018,2.7188,1.62,2.46,Alejandro Pascacio F.,55.518,loser,loss,False,0.602941,Alex Michelsen,0.632188,0.349256,0.133306,0.843212,low
2024-02-09,Open 13,Hard,Quarterfinals,ATP250,Grigor Dimitrov,Arthur Rinderknech,11953,28170,0.782381,0.81668,1.2781,1.21,5.05,Grigor Dimitrov,9.898,loser,loss,False,0.806709,Grigor Dimitrov,0.782381,0.601665,0.767174,0.891069,high
2024-02-09,Open 13,Hard,Quarterfinals,ATP250,Ugo Humbert,Alejandro Davidovich Fokina,38911,36519,0.522171,0.508543,1.9151,1.59,2.54,Ugo Humbert,21.368,loser,loss,False,0.615012,Ugo Humbert,0.522171,0.459899,0.53341,0.53293,high
2024-02-09,Open 13,Hard,Quarterfinals,ATP250,Hubert Hurkacz,Tomas Machac,26473,58327,0.74388,0.772898,1.3443,1.38,3.34,Hubert Hurkacz,2.655,winner,skip,False,0.707627,Hubert Hurkacz,0.74388,0.461572,0.773013,0.897662,high
2024-02-09,Open 13,Hard,Quarterfinals,ATP250,Karen Khachanov,Zhuo Zhang,25543,26496,0.82,0.927068,1.2195,1.37,3.38,Karen Khachanov,12.34,winner,win,False,0.711579,Karen Khachanov,0.82,0.573697,0.958709,0.742702,low
2024-02-10,Cordoba Open,Clay,Semifinals,ATP250,Facundo Bagnis,Federico Coria,11881,18720,0.448116,0.453415,2.2316,2.33,1.68,Facundo Bagnis,4.411,winner,skip,False,0.418953,Federico Coria,0.551884,0.43494,0.483547,0.294812,high
2024-02-10,Cordoba Open,Clay,Semifinals,ATP250,Luciano Darderi,Sebastian Baez,76127,52721,0.384474,0.380421,2.601,2.93,1.47,Luciano Darderi,12.651,winner,win,False,0.334091,Sebastian Baez,0.615526,0.493913,0.420138,0.152502,high
2024-02-10,Dallas Open,Hard,Semifinals,ATP250,Marcos Giron,Adrian Mannarino,18736,7806,0.376826,0.369609,2.6537,1.91,2.0,Marcos Giron,24.635,loser,loss,False,0.511509,Adrian Mannarino,0.623174,0.556571,0.515262,0.196875,high
2024-02-10,Dallas Open,Hard,Quarterfinals,ATP250,Marcos Giron,Alejandro Pascacio F.,18736,24232,0.77024,0.780753,1.2983,2.22,1.74,Marcos Giron,70.993,winner,win,False,0.439394,Marcos Giron,0.77024,0.579996,0.944159,0.173275,low
2024-02-10,Dallas Open,Hard,Semifinals,ATP250,Vinay Kumar T,Ben Shelton,49583,87562,0.18,0.156163,5.5556,2.0,1.91,Vinay Kumar T,56.62,loser,loss,False,0.488491,Ben Shelton,0.82,0.460549,0.095764,0.513992,low
2024-02-10,Open 13,Hard,Semifinals,ATP250,Grigor Dimitrov,Karen Khachanov,11953,25543,0.620296,0.626935,1.6121,1.52,2.74,Grigor Dimitrov,4.039,loser,skip,False,0.643192,Grigor Dimitrov,0.620296,0.515423,0.628638,0.581272,high
2024-02-10,Open 13,Hard,Semifinals,ATP250,Ugo Humbert,Hubert Hurkacz,38911,26473,0.378357,0.371447,2.643,2.64,1.55,Ugo Humbert,-0.114,winner,skip,False,0.369928,Hubert Hurkacz,0.621643,0.494221,0.399662,0.268063,high
2024-02-11,Cordoba Open,Clay,The Final,ATP250,Luciano Darderi,Facundo Bagnis,76127,11881,0.554004,0.54902,1.805,1.6,2.52,Luciano Darderi,12.391,loser,loss,False,0.61165,Luciano Darderi,0.554004,0.523818,0.514029,0.60978,high
2024-02-11,Dallas Open,Hard,The Final,ATP250,Vinay Kumar T,Marcos Giron,49583,18736,0.427251,0.428205,2.3405,1.57,2.58,Vinay Kumar T,47.769,loser,loss,False,0.621687,Marcos Giron,0.572749,0.419168,0.061931,0.819879,low
2024-02-11,Open 13,Hard,The Final,ATP250,Ugo Humbert,Grigor Dimitrov,38911,11953,0.391293,0.386996,2.5556,2.41,1.65,Ugo Humbert,0.437,loser,skip,False,0.406404,Grigor Dimitrov,0.608707,0.479471,0.376601,0.3811,high
2024-02-12,ABN AMRO World Tennis Tournament,Hard,1st Round,ATP500,Felix Auger Aliassime,Maxime Cressy,40434,54207,0.754949,0.754949,1.3246,1.29,3.9,Felix Auger Aliassime,-2.612,winner,skip,False,0.751445,Felix Auger Aliassime,0.754949,0.533181,0.71649,0.873046,high
2024-02-12,ABN AMRO World Tennis Tournament,Hard,1st Round,ATP500,David Goffin,Dino Prizmic,11226,85899,0.74191,0.74191,1.3479,1.74,2.21,David Goffin,29.092,winner,win,False,0.559494,David Goffin,0.74191,0.474714,0.836783,0.564877,medium
2024-02-12,ABN AMRO World Tennis Tournament,Hard,1st Round,ATP500,Tallon Griekspoor,Lorenzo Musetti,33860,63572,0.475614,0.475614,2.1025,1.44,2.81,Tallon Griekspoor,47.353,loser,loss,False,0.661176,Lorenzo Musetti,0.524386,0.456847,0.512494,0.478455,high
2024-02-12,ABN AMRO World Tennis Tournament,Hard,1st Round,ATP500,Milos Raonic,Jesper De Jong,11704,59166,0.442786,0.442786,2.2584,1.68,2.31,Milos Raonic,28.716,loser,loss,False,0.578947,Jesper De Jong,0.557214,0.40162,0.616338,0.285826,medium
2024-02-12,Argentina Open,Clay,1st Round,ATP250,Alejandro Pascacio F.,Daniel Altmaier,24232,29732,0.18,0.08506,5.5556,2.18,1.75,Alejandro Pascacio F.,43.5,loser,loss,False,0.445293,Daniel Altmaier,0.82,0.377337,0.05857,0.38641,low
2024-02-12,Argentina Open,Clay,1st Round,ATP250,Laslo Djere,Marin Cilic,24084,6101,0.85,0.934211,1.1765,1.46,2.9,Laslo Djere,24.1,winner,win,False,0.665138,Laslo Djere,0.85,0.577615,0.492102,0.976927,medium
2024-02-12,Argentina Open,Clay,1st Round,ATP250,Stan Wawrinka,Pedro Cachin,1092,23100,0.454624,0.46089,2.1996,1.68,2.3,Stan Wawrinka,25.436,loser,loss,False,0.577889,Pedro Cachin,0.545376,0.388175,0.395654,0.547739,high
2024-02-12,Delray Beach Open,Hard,1st Round,ATP250,Matteo Arnaldi,Yoshihito Nishioka,73956,24225,0.48117,0.495494,2.0783,1.72,2.22,Matteo Arnaldi,15.18,loser,loss,False,0.563452,Yoshihito Nishioka,0.51883,0.541355,0.37525,0.635248,high
