generated_utc,dataset,surface,year,bin_lo,bin_hi,n,avg_raw_pred,avg_cal_pred,avg_pinnacle_novig,actual_win_rate,raw_ece_contribution,cal_ece_contribution,pinnacle_ece_contribution,raw_brier,cal_brier,pinnacle_brier,log_loss_raw,log_loss_cal,log_loss_pinnacle
2026-05-29T12:32:04+00:00,train,Hard,2023,0.9,1.0,122,0.943,0.8857,0.827,0.8279,0.009838,0.004938,7.5e-05,0.156086,0.147007,0.116793,0.566423,0.478879,0.368381
2026-05-29T12:32:04+00:00,train,Hard,2024,0.5,0.6,446,0.5505,0.5537,0.542,0.5561,0.001729,0.000722,0.004399,0.247857,0.247284,0.237682,0.688863,0.687713,0.667536
2026-05-29T12:32:04+00:00,train,Hard,2024,0.6,0.7,352,0.6468,0.6195,0.612,0.571,0.018667,0.011957,0.010097,0.248916,0.245834,0.231549,0.691453,0.684743,0.654994
2026-05-29T12:32:04+00:00,train,Hard,2024,0.7,0.8,283,0.7472,0.6905,0.686,0.7562,0.001775,0.013012,0.013905,0.184301,0.189774,0.175021,0.55498,0.568096,0.531863
2026-05-29T12:32:04+00:00,train,Hard,2024,0.8,0.9,219,0.8505,0.7812,0.7619,0.79,0.00928,0.001344,0.00431,0.169716,0.162679,0.147632,0.528623,0.503774,0.467892
2026-05-29T12:32:04+00:00,train,Hard,2024,0.9,1.0,128,0.9375,0.8812,0.8184,0.7969,0.012603,0.007559,0.00193,0.178462,0.159022,0.129128,0.592027,0.485528,0.408546
2026-05-29T12:32:04+00:00,validation,Hard,2025,0.5,0.6,390,0.5501,0.5537,0.541,0.559,0.002585,0.001549,0.005241,0.248771,0.247635,0.241428,0.690712,0.688426,0.6758
2026-05-29T12:32:04+00:00,validation,Hard,2025,0.6,0.7,337,0.6477,0.6195,0.6112,0.6677,0.005048,0.012153,0.014242,0.221047,0.224557,0.218558,0.633962,0.641663,0.628391
2026-05-29T12:32:04+00:00,validation,Hard,2025,0.7,0.8,261,0.7484,0.6929,0.6919,0.682,0.012983,0.002141,0.001943,0.221727,0.216177,0.218246,0.638015,0.62338,0.626705
2026-05-29T12:32:04+00:00,validation,Hard,2025,0.8,0.9,230,0.846,0.7772,0.7582,0.7609,0.014667,0.002816,0.000465,0.189477,0.180702,0.161464,0.576818,0.5458,0.491705
2026-05-29T12:32:04+00:00,validation,Hard,2025,0.9,1.0,117,0.9364,0.8744,0.8237,0.8376,0.008662,0.003221,0.001218,0.145074,0.132454,0.115987,0.504219,0.422529,0.373603
2026-05-29T12:32:04+00:00,holdout,Hard,2026,0.5,0.6,173,0.5509,0.554,0.5084,0.6012,0.014274,0.013385,0.026337,0.241161,0.241227,0.247318,0.675328,0.675484,0.68764
2026-05-29T12:32:04+00:00,holdout,Hard,2026,0.6,0.7,147,0.6491,0.6221,0.5121,0.6395,0.002317,0.004182,0.030752,0.22795,0.229526,0.243608,0.647991,0.651531,0.679763
2026-05-29T12:32:04+00:00,holdout,Hard,2026,0.7,0.8,126,0.7522,0.6979,0.5066,0.6032,0.03084,0.019605,0.019983,0.263803,0.246808,0.244297,0.732111,0.688625,0.680853
2026-05-29T12:32:04+00:00,holdout,Hard,2026,0.8,0.9,105,0.8463,0.7812,0.5144,0.7905,0.009625,0.001595,0.047603,0.171174,0.163167,0.244959,0.534245,0.504257,0.681497
2026-05-29T12:32:04+00:00,holdout,Hard,2026,0.9,1.0,58,0.9462,0.8887,0.506,0.9138,0.003084,0.002386,0.038833,0.07792,0.0753,0.245076,0.284559,0.268953,0.682849
