tournament_key,tournament_display,window_type,years,start_year,end_year,target_season_year,bet_side,segment_family,segment_type,n_bets,wins,losses,pl_units,roi_pct_raw,roi_pct_shrunk,win_rate_pct_raw,n
nordea open,Nordea Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,36,15,21,6.9,19.1667,8.2812,41.6667,36
queen s club championships,Queen's Club Championships,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,36,12,24,2.6,7.2222,1.766,33.3333,36
us open,US Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_5_8,36,29,7,-0.53,-1.4722,-3.1941,80.5556,36
adelaide international 1,Adelaide International 1,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,35,14,21,1.57,4.4857,0.1675,40.0,35
adelaide international 1,Adelaide International 1,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,35,22,13,-0.95,-2.7143,-3.4287,62.8571,35
bmw open,BMW Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,35,13,22,1.45,4.1429,0.024,37.1429,35
internazionali bnl d italia,Internazionali BNL d'Italia,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_Q,35,15,20,30.97,88.4857,47.2967,42.8571,35
japan open tennis championships,Japan Open Tennis Championships,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,35,17,18,-9.06,-25.8857,-15.9056,48.5714,35
monte carlo masters,Monte Carlo Masters,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_9_16,35,28,7,6.31,18.0286,9.7561,80.0,35
atlanta open,Atlanta Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,34,17,17,2.88,8.4706,2.2587,50.0,34
bnp paribas masters,BNP Paribas Masters,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_9_16,34,25,9,2.42,7.1176,3.8304,73.5294,34
chengdu open,Chengdu Open,prior_editions,prior_to_2025,2022,2024,2025,dog,seed,seed_unseeded,34,16,18,2.23,6.5588,1.2013,47.0588,34
delray beach open,Delray Beach Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,34,15,19,-1.3,-3.8235,-4.2725,44.1176,34
geneva open,Geneva Open,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,34,20,14,0.89,2.6176,0.1865,58.8235,34
open de moselle,Open de Moselle,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,34,20,14,-3.31,-9.7353,-6.376,58.8235,34
wimbledon,Wimbledon,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_1_2,34,32,2,3.22,9.4706,3.2383,94.1176,34
asb classic,ASB Classic,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,33,22,11,2.48,7.5152,1.9069,66.6667,33
cordoba open,Cordoba Open,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,33,13,20,-11.35,-34.3939,-20.0455,39.3939,33
dallas open,Dallas Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,33,9,24,-11.48,-34.7879,-20.4991,27.2727,33
mallorca championships,Mallorca Championships,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,33,19,14,0.83,2.5152,0.0942,57.5758,33
abn amro world tennis tournament,ABN AMRO World Tennis Tournament,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_unseeded,32,15,17,-10.27,-32.0937,-17.8075,46.875,32
lyon open,Lyon Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,32,8,24,-10.67,-33.3437,-19.5233,25.0,32
maharashtra open,Maharashtra Open,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,32,14,18,1.96,6.125,0.8477,43.75,32
masters cup,Masters Cup,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_MD,32,12,20,4.12,12.875,4.3316,37.5,32
masters cup,Masters Cup,prior_editions,prior_to_2025,2022,2024,2025,fav,entry,entry_MD,32,20,12,-2.02,-6.3125,-5.3204,62.5,32
shanghai masters,Shanghai Masters,prior_editions,prior_to_2025,2022,2024,2025,dog,entry,entry_Q,32,12,20,0.24,0.75,0.0207,37.5,32
wimbledon,Wimbledon,prior_editions,prior_to_2025,2022,2024,2025,fav,seed,seed_9_16,32,25,7,0.31,0.9688,0.5508,78.125,32
