date,time_utc,player1,player2,surface,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,overlay_tournament_key,overlay_resolved_year,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,threshold_tier
2026-03-05,00:49:24,Sebastian Korda,Francisco Comesana,Hard,Masters 1000,high,1.43,3.31,1.191,5.29,-16.71,59.82,P2,59.82,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-05,00:49:24,Hubert Hurkacz,Aleksandar Kovacevic,Hard,Masters 1000,high,1.69,2.44,1.415,3.1,-16.27,27.05,P2,27.05,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-05,00:49:24,Fabian Marozsan,Roberto Bautista Agut,Hard,Masters 1000,high,1.63,2.58,1.309,3.77,-19.69,46.12,P2,46.12,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-05,00:49:24,Chun Hsin Tseng,Sebastian Baez,Hard,Masters 1000,high,2.93,1.52,3.53,1.332,20.48,-12.37,P1,20.48,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-05,00:49:24,Nuno Borges,Emilio Nava,Hard,Masters 1000,high,2.21,1.83,1.61,2.45,-27.15,33.88,P2,33.88,overlay,328.0,4.0743,ok,,,,,,,,,,,,,,,bnp paribas open,2026,False,False,False,none,none,
2026-03-05,00:49:24,Valentin Royer,Benjamin Bonzi,Hard,Masters 1000,high,2.58,1.63,2.05,1.826,-20.54,12.02,P2,12.02,overlay,328.0,4.0743,ok,,,,,,,,,,,,,,,bnp paribas open,2026,False,False,False,none,none,
2026-03-05,00:49:24,Alejandro Tabilo,Rafael Jodar,Hard,Masters 1000,high,1.68,2.47,2.14,1.781,27.38,-27.89,P1,27.38,overlay,328.0,4.0743,ok,,,,,,,,,,,,,,,bnp paribas open,2026,False,False,False,none,none,
2026-03-05,00:49:24,Joao Fonseca,Raphael Collignon,Hard,Masters 1000,high,2.2,1.83,1.787,2.13,-18.77,16.39,P2,16.39,overlay,328.0,4.0743,ok,,,,,,,,,,,,,,,bnp paribas open,2026,False,False,False,none,none,
2026-03-05,00:49:24,Francesco Maestrelli,Rinky Hijikata,Hard,Masters 1000,high,1.83,2.2,2.25,1.699,22.95,-22.77,P1,22.95,overlay,328.0,4.0743,ok,,,,,,,,,,,,,,,bnp paribas open,2026,False,False,False,none,none,
2026-03-05,17:45:20,Jacob Fearnley,Damir Dzumhur,Hard,Masters 1000,high,2.24,1.81,1.82,2.09,-18.75,15.47,P2,15.47,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-05,17:45:20,Flavio Cobolli,Miomir Kecmanovic,Hard,Masters 1000,high,1.68,2.48,2.11,1.787,25.6,-27.94,P1,25.6,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-05,17:45:20,Brandon Nakashima,Camilo Ugo Carabelli,Hard,Masters 1000,high,1.49,3.02,1.204,4.92,-19.19,62.91,P2,62.91,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-05,17:45:20,Adam Walton,Learner Tien,Hard,Masters 1000,high,4.74,1.27,5.35,1.182,12.87,-6.93,P1,12.87,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-05,17:45:20,Jacob Fearnley,Damir Dzumhur,Hard,Masters 1000,high,2.24,1.81,1.82,2.09,-18.75,15.47,P2,15.47,overlay,328.0,4.0743,ok,,,,,,,,,,,,,,,bnp paribas open,2026,False,False,False,none,none,
2026-03-05,17:45:20,Flavio Cobolli,Miomir Kecmanovic,Hard,Masters 1000,high,1.68,2.48,2.11,1.787,25.6,-27.94,P1,25.6,overlay,328.0,4.0743,ok,,,,,,,,,,,,,,,bnp paribas open,2026,False,False,False,none,none,
2026-03-05,20:35:09,Zizou Bergs,Tommy Paul,Hard,Masters 1000,high,2.89,1.53,4.03,1.272,39.45,-16.86,P1,39.45,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,10:56:54,Adam Walton,Learner Tien,Hard,Masters 1000,high,4.37,1.3,5.45,1.183,24.71,-9.0,P1,24.71,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,10:56:54,Karen Khachanov,Joao Fonseca,Hard,Masters 1000,high,1.71,2.41,2.3,1.667,34.5,-30.83,P1,34.5,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,10:56:54,Zizou Bergs,Tommy Paul,Hard,Masters 1000,high,2.95,1.51,4.38,1.242,48.47,-17.75,P1,48.47,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,10:56:54,Tomas Martin Etcheverry,Denis Shapovalov,Hard,Masters 1000,high,2.2,1.83,2.57,1.549,16.82,-15.36,P1,16.82,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,10:56:54,Dalibor Svrcina,Jannik Sinner,Hard,Masters 1000,high,5.84,1.21,30.95,1.016,429.97,-16.03,P1,429.97,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,10:56:54,Lorenzo Musetti,Marton Fucsovics,Hard,Masters 1000,high,1.46,3.2,1.329,3.55,-8.97,10.94,P2,10.94,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,10:56:54,Andrey Rublev,Gabriel Diallo,Hard,Masters 1000,high,1.55,2.81,1.385,3.21,-10.65,14.23,P2,14.23,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,10:56:54,Gael Monfils,Felix Auger Aliassime,Hard,Masters 1000,high,4.05,1.33,5.68,1.167,40.25,-12.26,P1,40.25,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,10:56:54,Flavio Cobolli,Miomir Kecmanovic,Hard,Masters 1000,high,1.67,2.49,2.1,1.806,25.75,-27.47,P1,25.75,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,10:56:54,Jenson Brooksby,Frances Tiafoe,Hard,Masters 1000,high,2.51,1.66,2.02,1.855,-19.52,11.75,P2,11.75,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,10:56:54,Brandon Nakashima,Camilo Ugo Carabelli,Hard,Masters 1000,high,1.49,3.02,1.214,4.87,-18.52,61.26,P2,61.26,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,10:56:54,Karen Khachanov,Joao Fonseca,Hard,Masters 1000,high,1.71,2.41,2.3,1.667,34.5,-30.83,P1,34.5,overlay,328.0,4.0743,ok,,,,,,,,,,,,,,,bnp paribas open,2026,False,False,False,none,none,
2026-03-06,10:56:54,Flavio Cobolli,Miomir Kecmanovic,Hard,Masters 1000,high,1.67,2.49,2.1,1.806,25.75,-27.47,P1,25.75,overlay,328.0,4.0743,ok,,,,,,,,,,,,,,,bnp paribas open,2026,False,False,False,none,none,
2026-03-06,10:56:54,Jenson Brooksby,Frances Tiafoe,Hard,Masters 1000,high,2.51,1.66,2.02,1.855,-19.52,11.75,P2,11.75,overlay,328.0,4.0743,ok,,,,,,,,,,,,,,,bnp paribas open,2026,False,False,False,none,none,
2026-03-06,23:58:57,Alexander Shevchenko,Casper Ruud,Hard,Masters 1000,high,3.29,1.44,4.82,1.21,46.5,-15.97,P1,46.5,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,23:58:57,Roberto Bautista Agut,Jack Draper,Hard,Masters 1000,high,3.99,1.33,6.36,1.143,59.4,-14.06,P1,59.4,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,23:58:57,Sebastian Baez,Jiri Lehecka,Hard,Masters 1000,high,2.76,1.57,3.27,1.373,18.48,-12.55,P1,18.48,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,23:58:57,Jacob Fearnley,Taylor Harry Fritz,Hard,Masters 1000,high,4.29,1.3,4.74,1.216,10.49,-6.46,P1,10.49,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,23:58:57,Carlos Alcaraz,Grigor Dimitrov,Hard,Masters 1000,high,1.08,13.5,1.038,16.86,-3.89,24.89,P2,24.89,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,23:58:57,Valentin Vacherot,Nuno Borges,Hard,Masters 1000,high,1.51,2.96,1.73,2.19,14.57,-26.01,P1,14.57,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,23:58:57,Alexander Bublik,Vit Kopriva,Hard,Masters 1000,high,1.42,3.37,1.278,3.98,-10.0,18.1,P2,18.1,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
2026-03-06,23:58:57,Novak Djokovic,Kamil Majchrzak,Hard,Masters 1000,high,1.33,4.06,1.097,8.41,-17.52,107.14,P2,107.14,base,,,,,,,,,,,,,,,,,,,,False,False,False,none,none,
