stake_units,stake_gbp,stake_model,signal_profile,date,time_utc,player1,player2,surface,league,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,bet_type,spread_line,spread_odds,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,shadow_reason,spread_calibration_reason,spread_calibration_source,spread_surface_scope,threshold_tier,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,game_margin,ml_short_fav_model_guard,ml_short_fav_market_guard,atp500_short_fav_ml_guard,short_fav_dog_spread_guard
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-19,23:46:29,Zsombor Piros,Tomas Barrios Vera,Clay,ATP,Masters 1000,high,,,1.901,1.917,-18.44,9.45,P2-,9.45,spread,-3.0,1.917,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,LOSS,0,2026-04-20,47021,30849,47021,30849,2026-04-21T09:08:57+00:00,,,,,5,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-19,23:46:29,Andrea Pellegrino,Martin Damm,Clay,ATP,Masters 1000,medium,,,1.901,1.917,-15.14,6.13,P2-,6.13,spread,0.0,1.917,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,WIN,1,2026-04-20,29457,72574,72574,29457,2026-04-21T09:08:57+00:00,,,,,-7,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-19,23:46:29,Zachary Svajda,Rei Sakamoto,Clay,ATP,Masters 1000,medium,,,1.84,1.99,6.8,-16.51,P1+,6.8,spread,2.0,1.84,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,LOSS,0,2026-04-20,73620,93550,93550,73620,2026-04-21T09:08:57+00:00,,,,,-6,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-19,23:46:29,Arthur Gea,Vilius Gaubas,Clay,ATP,Masters 1000,high,,,1.917,1.901,-15.1,5.91,P2-,5.91,spread,1.0,1.901,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,WIN,1,2026-04-20,87277,79088,79088,87277,2026-04-21T09:08:57+00:00,,,,,-6,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-20,09:38:24,Nicolai Budkov Kjaer,Francesco Maestrelli,Clay,ATP,Masters 1000,high,,,1.917,1.971,-12.28,6.91,P2-,6.91,spread,-2.0,1.971,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,LOSS,0,2026-04-20,104215,63737,104215,63737,2026-04-21T09:08:57+00:00,,,,,4,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-20,09:38:24,Billy Harris,Daniel Merida Aguilar,Clay,ATP,Masters 1000,medium,,,1.98,1.855,17.64,-24.71,P1+,17.64,spread,4.0,1.98,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,LOSS,0,2026-04-20,29180,83223,83223,29180,2026-04-21T09:08:57+00:00,,,,,-5,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-20,09:38:24,Elmer Moller,Hugo Gaston,Clay,ATP,Masters 1000,high,,,1.98,1.862,8.22,-15.57,P1+,8.22,spread,3.0,1.98,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,WIN,1,2026-04-20,81189,46747,81189,46747,2026-04-21T09:08:57+00:00,,,,,6,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-20,09:38:24,Zsombor Piros,Tomas Barrios Vera,Clay,ATP,Masters 1000,high,,,1.917,1.901,-18.28,9.06,P2-,9.06,spread,-3.0,1.901,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,LOSS,0,2026-04-20,47021,30849,47021,30849,2026-04-21T09:08:57+00:00,,,,,5,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-20,09:38:24,Henrique Rocha,Jan Choinski,Clay,ATP,Masters 1000,high,,,1.877,1.943,-18.12,9.54,P2-,9.54,spread,-2.5,1.943,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,WIN,1,2026-04-20,83794,26421,83794,26421,2026-04-21T09:08:57+00:00,,,,,2,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-20,09:38:24,Rinky Hijikata,Chris Rodesch,Clay,ATP,Masters 1000,medium,,,1.943,1.877,-19.77,10.19,P2-,10.19,spread,0.0,1.877,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,WIN,1,2026-04-20,58149,54163,54163,58149,2026-04-21T09:08:57+00:00,,,,,-5,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-21,09:08:46,Rei Sakamoto,Vilius Gaubas,Clay,ATP,Masters 1000,medium,,,1.885,1.952,-14.37,6.52,P2-,6.52,spread,-0.5,1.952,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,WIN,1,2026-04-21,93550,79088,79088,93550,2026-04-21T23:09:35+00:00,,,,,-1,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-21,09:45:51,Adolfo Daniel Vallejo,Henrique Rocha,Clay,ATP,Masters 1000,high,,,1.935,1.901,14.02,-21.91,P1+,14.02,spread,-3.5,1.935,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,WIN,1,2026-04-21,80391,83794,80391,83794,2026-04-21T23:09:35+00:00,,,,,7,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-21,09:45:51,Moez Echargui,Nicolai Budkov Kjaer,Clay,ATP,Masters 1000,medium,,,1.87,1.952,14.0,-23.8,P1+,14.0,spread,4.0,1.87,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,LOSS,0,2026-04-21,36114,104215,104215,36114,2026-04-21T23:09:35+00:00,,,,,-11,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-21,09:45:51,Yibing Wu,Titouan Droguet,Clay,ATP,Masters 1000,medium,,,1.952,1.885,-14.04,5.49,P2-,5.49,spread,-1.0,1.885,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,WIN,1,2026-04-21,39310,59092,59092,39310,2026-04-21T23:09:35+00:00,,,,,-7,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-21,23:09:01,Yannick Hanfmann,Marcos Giron,Clay,ATP,Masters 1000,medium,,,1.99,1.862,5.6,-12.61,P1+,5.6,spread,-3.5,1.99,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,LOSS,0,2026-04-23,14856,18736,14856,18736,2026-04-23T23:01:02+00:00,,,,,3,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-21,23:09:01,Zizou Bergs,Marin Cilic,Clay,ATP,Masters 1000,medium,,,1.962,1.893,-12.85,5.21,P2-,5.21,spread,0.0,1.893,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,WIN,1,2026-04-22,37741,6101,6101,37741,2026-04-22T23:00:02+00:00,,,,,-3,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-21,23:09:01,Martin Landaluce,Adam Walton,Clay,ATP,Masters 1000,medium,,,1.862,1.99,-13.8,6.88,P2-,6.88,spread,-4.0,1.99,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,WIN,1,2026-04-23,94493,47752,47752,94493,2026-04-23T23:01:02+00:00,,,,,-7,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-21,23:09:01,Jenson Brooksby,Emilio Nava,Clay,ATP,Masters 1000,medium,,,1.893,1.952,7.34,-15.48,P1+,7.34,spread,3.0,1.893,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,LOSS,0,2026-04-22,40609,56197,56197,40609,2026-04-22T23:00:02+00:00,,,,,-5,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-21,23:09:01,Alexandre Muller,Jan-Lennard Struff,Clay,ATP,Masters 1000,medium,,,1.917,1.935,-21.85,14.61,P2-,14.61,spread,-2.0,1.935,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,WIN,1,2026-04-22,28108,14177,14177,28108,2026-04-22T23:00:02+00:00,,,,,-7,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-21,23:09:01,Pablo Carreno-Busta,Marton Fucsovics,Clay,ATP,Masters 1000,high,,,1.909,1.943,-17.05,9.87,P2-,9.87,spread,0.0,1.943,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,LOSS,0,2026-04-23,14432,13674,14432,13674,2026-04-23T23:01:02+00:00,,,,,3,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-22,22:59:51,Nicolai Budkov Kjaer,Reilly Opelka,Clay,ATP,Masters 1000,medium,,,1.952,1.901,-13.35,5.71,P2-,5.71,spread,0.5,1.901,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,LOSS,0,2026-04-23,104215,28087,104215,28087,2026-04-23T23:01:02+00:00,,,,,2,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-22,10:05:24,Jaime Faria,Hubert Hurkacz,Clay,ATP,Masters 1000,high,,,1.952,1.901,6.41,-13.52,P1+,6.41,spread,3.0,1.952,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,LOSS,0,2026-04-22,83795,26473,26473,83795,2026-04-22T23:00:02+00:00,,,,,-6,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-22,22:59:51,Vilius Gaubas,Sebastian Baez,Clay,ATP,Masters 1000,high,,,1.971,1.877,26.58,-32.85,P1+,26.58,spread,3.5,1.971,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P1+,WIN,1,2026-04-23,79088,52721,79088,52721,2026-04-23T23:01:02+00:00,,,,,7,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-22,10:05:24,Yannick Hanfmann,Marcos Giron,Clay,ATP,Masters 1000,medium,,,2.0,1.87,6.1,-12.2,P1+,6.1,spread,-3.5,2.0,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,LOSS,0,2026-04-23,14856,18736,14856,18736,2026-04-23T23:01:02+00:00,,,,,3,,,,
2.0,200.0,flat_spread,spread_v1_shadow,2026-04-22,10:05:24,Martin Landaluce,Adam Walton,Clay,ATP,Masters 1000,medium,,,1.833,2.05,-13.76,8.56,P2-,8.56,spread,-4.0,2.05,base,,,,False,False,False,none,none,strict_first_atp_bo3_hard_clay,ok-correction-only,snapshot,Clay,profile,settled,P2-,WIN,1,2026-04-23,94493,47752,47752,94493,2026-04-23T23:01:02+00:00,,,,,-7,,,,
