tournament_key,tournament_display,window_type,years,start_year,end_year,target_season_year,segment_family,segment_type,n_matches,wins,losses,win_rate_pct_raw,win_rate_pct_shrunk,r1_matches,r1_wins,r1_win_rate_pct_raw,max_round,max_round_order,n
davis cup qls r1 aus vs hun,Davis Cup QLS R1: AUS vs HUN,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
davis cup qls r1 bel vs fin,Davis Cup QLS R1: BEL vs FIN,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
davis cup qls r1 bel vs fin,Davis Cup QLS R1: BEL vs FIN,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
davis cup qls r1 ita vs svk,Davis Cup QLS R1: ITA vs SVK,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
davis cup qls r1 ita vs svk,Davis Cup QLS R1: ITA vs SVK,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
davis cup qls r1 swe vs jpn,Davis Cup QLS R1: SWE vs JPN,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
davis cup qls r1 swe vs jpn,Davis Cup QLS R1: SWE vs JPN,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
davis cup wg1 po pak vs ltu,Davis Cup WG1 PO: PAK vs LTU,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
davis cup wg1 po pak vs ltu,Davis Cup WG1 PO: PAK vs LTU,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
davis cup wg1 po uzb vs tur,Davis Cup WG1 PO: UZB vs TUR,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
davis cup wg1 po uzb vs tur,Davis Cup WG1 PO: UZB vs TUR,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
davis cup wg1 r1 chi vs per,Davis Cup WG1 R1: CHI vs PER,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
davis cup wg1 r1 chi vs per,Davis Cup WG1 R1: CHI vs PER,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
davis cup wg1 r1 ecu vs sui,Davis Cup WG1 R1: ECU vs SUI,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
davis cup wg1 r1 ecu vs sui,Davis Cup WG1 R1: ECU vs SUI,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
davis cup wg1 r1 fin vs nzl,Davis Cup WG1 R1: FIN vs NZL,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
davis cup wg1 r1 fin vs nzl,Davis Cup WG1 R1: FIN vs NZL,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
davis cup wg2 po egy vs cyp,Davis Cup WG2 PO: EGY vs CYP,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
davis cup wg2 po egy vs cyp,Davis Cup WG2 PO: EGY vs CYP,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
davis cup wg2 po gre vs jam,Davis Cup WG2 PO: GRE vs JAM,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
davis cup wg2 po gre vs jam,Davis Cup WG2 PO: GRE vs JAM,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
davis cup wg2 r1 bar vs irl,Davis Cup WG2 R1: BAR vs IRL,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
davis cup wg2 r1 bar vs irl,Davis Cup WG2 R1: BAR vs IRL,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
davis cup wg2 r1 den vs esa,Davis Cup WG2 R1: DEN vs ESA,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
davis cup wg2 r1 den vs esa,Davis Cup WG2 R1: DEN vs ESA,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
davis cup wg2 r1 dom vs lat,Davis Cup WG2 R1: DOM vs LAT,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
davis cup wg2 r1 dom vs lat,Davis Cup WG2 R1: DOM vs LAT,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
davis cup wg2 r1 lbn vs mon,Davis Cup WG2 R1: LBN vs MON,year,2022,2022,2022,,entry,entry_MD,8,4,4,50.0,51.7057,0,0,,BR,1,8
davis cup wg2 r1 lbn vs mon,Davis Cup WG2 R1: LBN vs MON,year,2022,2022,2022,,seed,seed_unseeded,8,4,4,50.0,45.2868,0,0,,BR,1,8
