date,tournament,winner_id,loser_id,winner_name,loser_name,winner_rank,loser_rank,winner_points,loser_points,join_method
2023-02-07,Cordoba Open,26145,26845,Mariano Barrios,Daniel Elahi Galan,212,83,256,614,surname
2023-02-07,Cordoba Open,76127,46747,Luciano Darderi,Hugo Gaston,200,101,291,533,surname
2023-02-08,Cordoba Open,11923,37532,Joao Sousa,Tomas Martin Etcheverry,162,81,362,651,surname
2023-02-08,Cordoba Open,18477,23100,Hugo Dellien,Pedro Cachin,138,66,411,777,surname
2023-02-08,Cordoba Open,20104,11881,Marco Cecchinato,Facundo Bagnis,93,88,572,595,surname
2023-02-08,Cordoba Open,26145,29579,Mariano Barrios,Bernabe Zapata Miralles,212,76,256,702,surname
2023-02-08,Cordoba Open,9471,31290,Guido Pella,Andrea Vavassori,1018,221,10,248,surname
2023-02-09,Cordoba Open,11923,24840,Joao Sousa,Cristian Garin,162,103,362,526,surname
2023-02-09,Cordoba Open,18477,9471,Hugo Dellien,Guido Pella,138,1018,411,10,surname
2023-02-09,Cordoba Open,52279,11940,Francisco Cerundolo,Federico Delbonis,31,131,1377,426,surname
2023-02-09,Cordoba Open,52721,76127,Sebastian Baez,Luciano Darderi,47,200,895,291,surname
2023-02-09,Cordoba Open,6691,12190,Albert Ramos-Vinolas,Dusan Lajovic,54,89,845,591,surname
2023-02-10,Cordoba Open,18477,52934,Hugo Dellien,Juan Manuel Cerundolo,138,114,411,460,surname
2023-02-10,Cordoba Open,52721,26145,Sebastian Baez,Mariano Barrios,47,212,895,256,surname
2023-02-10,Cordoba Open,52934,17829,Juan Manuel Cerundolo,Diego Sebastian Schwartzman,114,28,460,1460,surname
2023-02-10,Cordoba Open,6691,11923,Albert Ramos-Vinolas,Joao Sousa,54,162,845,362,surname
2023-02-11,Cordoba Open,18720,6691,Federico Coria,Albert Ramos-Vinolas,67,54,775,845,surname
2023-02-11,Cordoba Open,52721,18477,Sebastian Baez,Hugo Dellien,47,138,895,411,surname
2023-02-12,Cordoba Open,52721,18720,Sebastian Baez,Federico Coria,47,67,895,775,surname
2023-02-13,Argentina Open,23100,14609,Pedro Cachin,Thiago Moura Monteiro,68,78,777,676,surname
2023-02-13,Argentina Open,24084,4067,Laslo Djere,Fabio Fognini,57,66,793,778,surname
2023-02-13,Argentina Open,29579,5829,Bernabe Zapata Miralles,Pablo Martinez,74,73,702,726,surname
2023-02-14,Argentina Open,12190,52721,Dusan Lajovic,Sebastian Baez,90,36,591,1125,surname
2023-02-14,Argentina Open,21506,6691,Roberto Carballes Baena,Albert Ramos-Vinolas,76,44,695,915,surname
2023-02-14,Argentina Open,24232,18720,Alejandro Pascacio F.,Federico Coria,191,49,316,880,surname
2023-02-14,Argentina Open,26153,11923,Juan Pablo Varillas,Joao Sousa,,,,,miss
2023-02-14,Argentina Open,37532,18477,Tomas Martin Etcheverry,Hugo Dellien,82,107,651,501,surname
2023-02-14,Argentina Open,42229,26845,Camilo Ugo Carabelli,Daniel Elahi Galan,127,85,428,614,surname
2023-02-14,Argentina Open,52279,14856,Francisco Cerundolo,Yannick Hanfmann,30,134,1365,419,surname
2023-02-15,Argentina Open,12190,42229,Dusan Lajovic,Camilo Ugo Carabelli,90,127,591,428,surname
2023-02-15,Argentina Open,20650,34539,Dominic Thiem,Alex Molcan,99,51,550,850,surname
2023-02-15,Argentina Open,27851,24232,Cameron Norrie,Alejandro Pascacio F.,12,191,2715,316,surname
2023-02-15,Argentina Open,37532,21506,Tomas Martin Etcheverry,Roberto Carballes Baena,82,76,651,695,surname
2023-02-16,Argentina Open,26153,20650,Juan Pablo Varillas,Dominic Thiem,,,,,miss
2023-02-16,Argentina Open,29579,17829,Bernabe Zapata Miralles,Diego Sebastian Schwartzman,74,32,702,1310,surname
2023-02-16,Argentina Open,63572,23100,Lorenzo Musetti,Pedro Cachin,20,68,1821,777,surname
2023-02-16,Argentina Open,68074,24084,Carlos Alcaraz,Laslo Djere,2,57,6730,793,surname
2023-02-17,Argentina Open,26153,63572,Juan Pablo Varillas,Lorenzo Musetti,,,,,miss
2023-02-17,Argentina Open,27851,37532,Cameron Norrie,Tomas Martin Etcheverry,12,82,2715,651,surname
2023-02-17,Argentina Open,68074,12190,Carlos Alcaraz,Dusan Lajovic,2,90,6730,591,surname
2023-02-18,Argentina Open,27851,26153,Cameron Norrie,Juan Pablo Varillas,,,,,miss
2023-02-18,Argentina Open,29579,52279,Bernabe Zapata Miralles,Francisco Cerundolo,74,30,702,1365,surname
2023-02-18,Argentina Open,68074,29579,Carlos Alcaraz,Bernabe Zapata Miralles,2,74,6730,702,surname
2023-02-19,Argentina Open,68074,27851,Carlos Alcaraz,Cameron Norrie,2,12,6730,2715,surname
2023-02-20,Rio Open,14609,20650,Thiago Moura Monteiro,Dominic Thiem,83,96,631,550,surname
2023-02-20,Rio Open,18477,11923,Hugo Dellien,Joao Sousa,111,143,491,401,surname
2023-02-20,Rio Open,34539,91521,Alex Molcan,Joao Fonseca,54,827,830,20,surname
2023-02-20,Rio Open,5829,24840,Pablo Martinez,Cristian Garin,76,98,681,546,surname
2023-02-21,Rio Open,26153,46747,Juan Pablo Varillas,Hugo Gaston,81,106,643,509,surname
2023-02-21,Rio Open,26845,23100,Daniel Elahi Galan,Pedro Cachin,88,59,594,797,surname
2023-02-21,Rio Open,27482,63572,Nicolas Jarry,Lorenzo Musetti,139,18,416,1855,surname
2023-02-21,Rio Open,27851,52934,Cameron Norrie,Juan Manuel Cerundolo,13,107,2615,505,surname
2023-02-21,Rio Open,52279,21506,Francisco Cerundolo,Roberto Carballes Baena,33,73,1230,695,surname
2023-02-22,Rio Open,12190,17829,Dusan Lajovic,Diego Sebastian Schwartzman,80,38,648,1010,surname
2023-02-22,Rio Open,18477,34539,Hugo Dellien,Alex Molcan,111,54,491,830,surname
2023-02-22,Rio Open,4067,26145,Fabio Fognini,Mariano Barrios,86,196,598,301,surname
2023-02-22,Rio Open,52721,7127,Sebastian Baez,Thomaz Bellucci,35,915,1105,14,surname
2023-02-22,Rio Open,6691,37532,Albert Ramos-Vinolas,Tomas Martin Etcheverry,47,75,890,684,surname
2023-02-22,Rio Open,68074,46407,Carlos Alcaraz,Mateus Alves,2,556,6480,60,surname
2023-02-23,Rio Open,27482,5829,Nicolas Jarry,Pablo Martinez,139,76,416,681,surname
2023-02-23,Rio Open,27851,14609,Cameron Norrie,Thiago Moura Monteiro,13,83,2615,631,surname
2023-02-23,Rio Open,29579,52279,Bernabe Zapata Miralles,Francisco Cerundolo,63,33,786,1230,surname
2023-02-23,Rio Open,52721,26153,Sebastian Baez,Juan Pablo Varillas,35,81,1105,643,surname
2023-02-23,Rio Open,6691,26845,Albert Ramos-Vinolas,Daniel Elahi Galan,47,88,890,594,surname
2023-02-23,Rio Open,68074,4067,Carlos Alcaraz,Fabio Fognini,2,86,6480,598,surname
2023-02-24,Rio Open,12190,24084,Dusan Lajovic,Laslo Djere,80,57,648,806,surname
2023-02-24,Rio Open,27851,18477,Cameron Norrie,Hugo Dellien,13,111,2615,491,surname
2023-02-24,Rio Open,29579,6691,Bernabe Zapata Miralles,Albert Ramos-Vinolas,63,47,786,890,surname
2023-02-24,Rio Open,68074,12190,Carlos Alcaraz,Dusan Lajovic,2,80,6480,648,surname
2023-02-25,Rio Open,27482,52721,Nicolas Jarry,Sebastian Baez,139,35,416,1105,surname
2023-02-25,Rio Open,27851,29579,Cameron Norrie,Bernabe Zapata Miralles,13,63,2615,786,surname
2023-02-25,Rio Open,68074,27482,Carlos Alcaraz,Nicolas Jarry,2,139,6480,416,surname
2023-02-26,Rio Open,27851,68074,Cameron Norrie,Carlos Alcaraz,13,2,2615,6480,surname
2023-02-27,Chile Open,14856,5829,Yannick Hanfmann,Pablo Martinez,153,117,386,476,surname
2023-02-27,Chile Open,18398,26845,Riccardo Bonadio,Daniel Elahi Galan,182,83,323,639,surname
2023-02-27,Chile Open,52934,23100,Juan Manuel Cerundolo,Pedro Cachin,108,61,515,797,surname
2023-02-28,Chile Open,12190,42229,Dusan Lajovic,Camilo Ugo Carabelli,75,122,693,456,surname
2023-02-28,Chile Open,14609,6691,Thiago Moura Monteiro,Albert Ramos-Vinolas,84,50,631,890,surname
2023-02-28,Chile Open,20104,11881,Marco Cecchinato,Facundo Bagnis,91,94,592,570,surname
2023-02-28,Chile Open,24084,11923,Laslo Djere,Joao Sousa,55,147,835,401,surname
2023-02-28,Chile Open,24840,20650,Cristian Garin,Dominic Thiem,100,99,546,550,surname
2023-02-28,Chile Open,27482,26153,Nicolas Jarry,Juan Pablo Varillas,87,77,616,681,surname
2023-02-28,Chile Open,37532,4067,Tomas Martin Etcheverry,Fabio Fognini,76,82,684,643,surname
2023-03-01,Chile Open,14609,20104,Thiago Moura Monteiro,Marco Cecchinato,84,91,631,592,surname
2023-03-01,Chile Open,14856,21506,Yannick Hanfmann,Roberto Carballes Baena,153,74,386,695,surname
2023-03-01,Chile Open,27482,17829,Nicolas Jarry,Diego Sebastian Schwartzman,87,37,616,1010,surname
2023-03-02,Chile Open,12190,52934,Dusan Lajovic,Juan Manuel Cerundolo,75,108,693,515,surname
2023-03-02,Chile Open,24084,18398,Laslo Djere,Riccardo Bonadio,55,182,835,323,surname
2023-03-02,Chile Open,37532,52279,Tomas Martin Etcheverry,Francisco Cerundolo,76,32,684,1275,surname
2023-03-02,Chile Open,52721,24840,Sebastian Baez,Cristian Garin,35,100,1045,546,surname
2023-03-03,Chile Open,37532,12190,Tomas Martin Etcheverry,Dusan Lajovic,76,75,684,693,surname
2023-03-03,Chile Open,52721,24084,Sebastian Baez,Laslo Djere,35,55,1045,835,surname
2023-03-04,Chile Open,27482,14856,Nicolas Jarry,Yannick Hanfmann,87,153,616,386,surname
2023-03-04,Chile Open,37532,52721,Tomas Martin Etcheverry,Sebastian Baez,76,35,684,1045,surname
2023-03-05,Chile Open,27482,37532,Nicolas Jarry,Tomas Martin Etcheverry,87,76,616,684,surname
2023-04-03,Estoril Open,20104,17829,Marco Cecchinato,Diego Sebastian Schwartzman,96,36,605,1025,surname
2023-04-03,Estoril Open,23100,47557,Pedro Cachin,Chun Hsin Tseng,67,145,773,401,surname
2023-04-03,Estoril Open,4067,10202,Fabio Fognini,Alessandro Giannessi,97,224,593,254,surname
2023-04-03,Estoril Open,52721,10828,Sebastian Baez,Radu Albot,32,106,1170,523,surname
2023-04-03,Grand Prix Hassan II,34233,66499,Alexei Popyrin,Younes Lalami Laaroussi,95,937,611,13,surname
2023-04-03,Grand Prix Hassan II,46747,14177,Hugo Gaston,Jan-Lennard Struff,104,100,535,574,surname
2023-04-03,Grand Prix Hassan II,63021,18524,Francesco Passaro,Aslan Karatsev,115,124,497,475,surname
2023-04-03,U.S. Men's Clay Court Championships,13429,28267,Denis Kudla,Aleksandar Vukic,137,151,424,381,surname
2023-04-03,U.S. Men's Clay Court Championships,26845,26496,Daniel Elahi Galan,Zhuo Zhang,94,93,621,625,surname
2023-04-03,U.S. Men's Clay Court Championships,32703,39152,Gijs Brouwer,Aleksandar Kovacevic,123,101,477,568,surname
2023-04-04,Estoril Open,11923,57769,Joao Sousa,Giulio Zeppieri,147,121,390,489,surname
2023-04-04,Estoril Open,20650,27547,Dominic Thiem,Sebastian Ofner,111,122,510,488,surname
2023-04-04,Estoril Open,25171,31446,Quentin Halys,Nuno Borges,80,65,691,783,surname
2023-04-04,Estoril Open,29579,83794,Bernabe Zapata Miralles,Henrique Rocha,43,596,952,53,surname
2023-04-04,Estoril Open,34337,71221,Miomir Kecmanovic,Luca Nardi,40,161,985,372,surname
2023-04-04,Estoril Open,44555,6691,Jurij Rodionov,Albert Ramos-Vinolas,120,52,490,880,surname
2023-04-04,Estoril Open,82371,7555,Luca Van Assche,Pedro Sousa,91,475,640,82,surname
2023-04-04,Estoril Open,87562,19474,Ben Shelton,Constant Lestienne,39,63,999,798,surname
2023-04-04,Grand Prix Hassan II,17837,28932,Dimitar Kuzmanov,Hugo Grenier,207,129,283,464,surname
2023-04-04,Grand Prix Hassan II,21506,54207,Roberto Carballes Baena,Maxime Cressy,82,38,675,1016,surname
2023-04-04,Grand Prix Hassan II,24721,18398,Christopher O'Connell,Riccardo Bonadio,,,,,miss
2023-04-04,Grand Prix Hassan II,26218,29042,Elias Ymer,Adam Moundir,157,720,376,33,surname
2023-04-04,Grand Prix Hassan II,28108,674,Alexandre Muller,Richard Gasquet,126,42,471,975,surname
2023-04-04,Grand Prix Hassan II,31290,27482,Andrea Vavassori,Nicolas Jarry,201,59,293,859,surname
2023-04-04,Grand Prix Hassan II,45553,5829,Pavel Kotov,Pablo Martinez,114,125,502,471,surname
2023-04-04,U.S. Men's Clay Court Championships,11178,11881,Steve Johnson,Facundo Bagnis,152,113,381,505,surname
2023-04-04,U.S. Men's Clay Court Championships,14745,672,Jason Murray Kubler,Fernando Verdasco,71,232,733,242,surname
2023-04-04,U.S. Men's Clay Court Championships,18736,10971,Marcos Giron,Emilio Gomez,69,99,746,577,surname
2023-04-04,U.S. Men's Clay Court Championships,24840,18477,Cristian Garin,Hugo Dellien,74,112,723,506,surname
2023-04-04,U.S. Men's Clay Court Championships,37532,52934,Tomas Martin Etcheverry,Juan Manuel Cerundolo,73,119,729,492,surname
2023-04-04,U.S. Men's Clay Court Championships,46722,22433,Jeff Wolf,Jordan Thompson,54,84,875,668,surname
2023-04-05,Estoril Open,20104,4067,Marco Cecchinato,Fabio Fognini,96,97,605,593,surname
2023-04-05,Estoril Open,33648,11923,Casper Ruud,Joao Sousa,5,147,5005,390,surname
2023-04-05,Estoril Open,36519,82371,Alejandro Davidovich Fokina,Luca Van Assche,24,91,1580,640,surname
2023-04-05,Estoril Open,52721,23100,Sebastian Baez,Pedro Cachin,32,67,1170,773,surname
2023-04-05,Grand Prix Hassan II,28899,18495,Benjamin Bonzi,Alexey Vatutin,50,295,889,176,surname
2023-04-05,U.S. Men's Clay Court Championships,58327,17474,Tomas Machac,Jack Sock,138,166,420,359,surname
2023-04-06,Estoril Open,20650,87562,Dominic Thiem,Ben Shelton,111,39,510,999,surname
2023-04-06,Estoril Open,25171,1837,Quentin Halys,Roberto Bautista Agut,80,28,691,1395,surname
2023-04-06,Estoril Open,29579,26473,Bernabe Zapata Miralles,Hubert Hurkacz,43,12,952,2750,surname
2023-04-06,Estoril Open,34337,44555,Miomir Kecmanovic,Jurij Rodionov,40,120,985,490,surname
2023-04-06,Grand Prix Hassan II,24721,24249,Christopher O'Connell,Botic Van De Zandschulp,,,,,miss
2023-04-06,Grand Prix Hassan II,28108,63021,Alexandre Muller,Francesco Passaro,126,115,471,497,surname
2023-04-06,Grand Prix Hassan II,33860,26218,Tallon Griekspoor,Elias Ymer,35,157,1059,376,surname
2023-04-06,Grand Prix Hassan II,45553,28899,Pavel Kotov,Benjamin Bonzi,114,50,502,889,surname
2023-04-06,Grand Prix Hassan II,63572,46747,Lorenzo Musetti,Hugo Gaston,21,104,1840,535,surname
2023-04-06,Grand Prix Hassan II,9305,34233,Daniel Evans,Alexei Popyrin,30,95,1345,611,surname
2023-04-07,Estoril Open,20104,36519,Marco Cecchinato,Alejandro Davidovich Fokina,96,24,605,1580,surname
2023-04-07,Estoril Open,25171,20650,Quentin Halys,Dominic Thiem,80,111,691,510,surname
2023-04-07,Estoril Open,33648,52721,Casper Ruud,Sebastian Baez,5,32,5005,1170,surname
2023-04-07,Estoril Open,34337,29579,Miomir Kecmanovic,Bernabe Zapata Miralles,40,43,985,952,surname
2023-04-07,Grand Prix Hassan II,21506,33860,Roberto Carballes Baena,Tallon Griekspoor,82,35,675,1059,surname
2023-04-07,Grand Prix Hassan II,28108,63572,Alexandre Muller,Lorenzo Musetti,126,21,471,1840,surname
2023-04-07,Grand Prix Hassan II,45553,24721,Pavel Kotov,Christopher O'Connell,,,,,miss
2023-04-07,Grand Prix Hassan II,9305,31290,Daniel Evans,Andrea Vavassori,30,201,1345,293,surname
2023-04-07,U.S. Men's Clay Court Championships,28263,29732,Max Purcell,Daniel Altmaier,86,108,658,515,surname
2023-04-08,Estoril Open,33648,25171,Casper Ruud,Quentin Halys,5,80,5005,691,surname
2023-04-08,Estoril Open,34337,20104,Miomir Kecmanovic,Marco Cecchinato,40,96,985,605,surname
2023-04-08,Grand Prix Hassan II,21506,9305,Roberto Carballes Baena,Daniel Evans,82,30,675,1345,surname
2023-04-08,Grand Prix Hassan II,28108,45553,Alexandre Muller,Pavel Kotov,126,114,471,502,surname
