signal_date,time_utc,match_date,bet_type,player1,player2,player1_id,player2_id,surface,series,confidence,side,spread_line,value_pct,history_sub_reason,fallback_reason,surname_keys_generated,nearest_in_window_capture_1,nearest_in_window_capture_2,nearest_in_window_capture_3,signal_profile,policy_mode
2026-03-06,23:58:57,2026-03-08,match,Sebastian Baez,Jiri Lehecka,52721,61838,Hard,Masters 1000,high,P1,,18.48,history_not_found,pair_not_found,baez|jiri;baez|jiri lehecka;baez|jirilehecka;baez|lehecka;sebastian baez|jiri;sebastian baez|jiri lehecka;sebastian baez|jirilehecka;sebastian baez|lehecka;sebastianbaez|jiri;sebastianbaez|jiri lehecka;sebastianbaez|jirilehecka;sebastianbaez|lehecka;sebastian|jiri;sebastian|jiri lehecka;sebastian|jirilehecka;sebastian|lehecka,,,,,base
2026-03-06,23:58:57,2026-03-08,match,Jacob Fearnley,Taylor Harry Fritz,68090,29932,Hard,Masters 1000,high,P1,,10.49,history_not_found,pair_not_found,fearnley|fritz;fearnley|harry;fearnley|harry fritz;fearnley|harryfritz;jacob fearnley|fritz;jacob fearnley|harry;jacob fearnley|harry fritz;jacob fearnley|harryfritz;jacobfearnley|fritz;jacobfearnley|harry;jacobfearnley|harry fritz;jacobfearnley|harryfritz;jacob|fritz;jacob|harry;jacob|harry fritz;jacob|harryfritz,,,,,base
2026-03-06,23:58:57,2026-03-08,match,Carlos Alcaraz,Grigor Dimitrov,68074,11953,Hard,Masters 1000,high,P2,,24.89,history_not_found,pair_not_found,alcaraz|dimitrov;alcaraz|grigor;alcaraz|grigor dimitrov;alcaraz|grigordimitrov;carlos alcaraz|dimitrov;carlos alcaraz|grigor;carlos alcaraz|grigor dimitrov;carlos alcaraz|grigordimitrov;carlosalcaraz|dimitrov;carlosalcaraz|grigor;carlosalcaraz|grigor dimitrov;carlosalcaraz|grigordimitrov;carlos|dimitrov;carlos|grigor;carlos|grigor dimitrov;carlos|grigordimitrov,,,,,base
2026-03-06,23:58:57,2026-03-08,match,Valentin Vacherot,Nuno Borges,36594,31446,Hard,Masters 1000,high,P1,,14.57,history_not_found,pair_not_found,vacherot|borges;vacherot|nuno;vacherot|nuno borges;vacherot|nunoborges;valentin vacherot|borges;valentin vacherot|nuno;valentin vacherot|nuno borges;valentin vacherot|nunoborges;valentinvacherot|borges;valentinvacherot|nuno;valentinvacherot|nuno borges;valentinvacherot|nunoborges;valentin|borges;valentin|nuno;valentin|nuno borges;valentin|nunoborges,,,,,base
2026-03-06,23:58:57,2026-03-08,match,Alexander Bublik,Vit Kopriva,24245,42971,Hard,Masters 1000,high,P2,,18.1,history_not_found,pair_not_found,alexander bublik|kopriva;alexander bublik|vit;alexander bublik|vit kopriva;alexander bublik|vitkopriva;alexanderbublik|kopriva;alexanderbublik|vit;alexanderbublik|vit kopriva;alexanderbublik|vitkopriva;alexander|kopriva;alexander|vit;alexander|vit kopriva;alexander|vitkopriva;bublik|kopriva;bublik|vit;bublik|vit kopriva;bublik|vitkopriva,,,,,base
2026-03-06,23:58:57,2026-03-08,match,Novak Djokovic,Kamil Majchrzak,5992,28898,Hard,Masters 1000,high,P2,,107.14,history_not_found,pair_not_found,djokovic|kamil;djokovic|kamil majchrzak;djokovic|kamilmajchrzak;djokovic|majchrzak;novak djokovic|kamil;novak djokovic|kamil majchrzak;novak djokovic|kamilmajchrzak;novak djokovic|majchrzak;novakdjokovic|kamil;novakdjokovic|kamil majchrzak;novakdjokovic|kamilmajchrzak;novakdjokovic|majchrzak;novak|kamil;novak|kamil majchrzak;novak|kamilmajchrzak;novak|majchrzak,,,,,base
2026-03-06,23:58:57,2026-03-08,match,Francisco Cerundolo,Benjamin Bonzi,52279,28899,Hard,Masters 1000,high,P2,,20.0,history_not_found,pair_not_found,cerundolo|benjamin;cerundolo|benjamin bonzi;cerundolo|benjaminbonzi;cerundolo|bonzi;francisco cerundolo|benjamin;francisco cerundolo|benjamin bonzi;francisco cerundolo|benjaminbonzi;francisco cerundolo|bonzi;franciscocerundolo|benjamin;franciscocerundolo|benjamin bonzi;franciscocerundolo|benjaminbonzi;franciscocerundolo|bonzi;francisco|benjamin;francisco|benjamin bonzi;francisco|benjaminbonzi;francisco|bonzi,,,,,base
2026-03-06,23:58:57,2026-03-08,match,Daniil Medvedev,Alejandro Tabilo,22807,30087,Hard,Masters 1000,high,P2,,32.39,history_not_found,pair_not_found,daniil medvedev|alejandro;daniil medvedev|alejandro tabilo;daniil medvedev|alejandrotabilo;daniil medvedev|tabilo;daniilmedvedev|alejandro;daniilmedvedev|alejandro tabilo;daniilmedvedev|alejandrotabilo;daniilmedvedev|tabilo;daniil|alejandro;daniil|alejandro tabilo;daniil|alejandrotabilo;daniil|tabilo;medvedev|alejandro;medvedev|alejandro tabilo;medvedev|alejandrotabilo;medvedev|tabilo,,,,,base
2026-03-07,12:43:02,2026-03-08,match,Marton Fucsovics,Arthur Fils,13674,83135,Hard,Masters 1000,high,P1,,13.5,history_not_found,pair_not_found,fucsovics|arthur;fucsovics|arthur fils;fucsovics|arthurfils;fucsovics|fils;marton fucsovics|arthur;marton fucsovics|arthur fils;marton fucsovics|arthurfils;marton fucsovics|fils;martonfucsovics|arthur;martonfucsovics|arthur fils;martonfucsovics|arthurfils;martonfucsovics|fils;marton|arthur;marton|arthur fils;marton|arthurfils;marton|fils,,,,,base
2026-03-07,12:43:02,2026-03-08,match,Brandon Nakashima,Alexander Zverev,56846,24008,Hard,Masters 1000,high,P1,,15.08,history_not_found,pair_not_found,brandon nakashima|alexander;brandon nakashima|alexander zverev;brandon nakashima|alexanderzverev;brandon nakashima|zverev;brandonnakashima|alexander;brandonnakashima|alexander zverev;brandonnakashima|alexanderzverev;brandonnakashima|zverev;brandon|alexander;brandon|alexander zverev;brandon|alexanderzverev;brandon|zverev;nakashima|alexander;nakashima|alexander zverev;nakashima|alexanderzverev;nakashima|zverev,,,,,base
