date_iso,year,surface,series,league,player1,player2,spread_line,spread_odds1,spread_odds2,p1_match_prob,p_a,p_b,margin_p1,cover_result,base_prob_raw,base_prob,market_prob_devig_p1,market_logit_delta,overround,line_bucket,match_method,captured_at,snapshot_source_file,surface_clay,line_abs_centered,line_bucket_3_5,line_bucket_4_5,line_bucket_5_5_plus,p1_match_prob_centered
2026-04-01,2026,Clay,,ATP,Adolfo Daniel Vallejo,Tommy Paul,4.0,1.901,1.971,0.297,0.6216,0.6643,-1.0,1,0.574038,0.556324,0.509039,-0.190097,0.033396,4.0,audit_local,2026-04-01T21:54:34+00:00,handicap-input-audit.csv,1.0,-0.5,0.0,0.0,0.0,-0.203
2026-04-01,2026,Clay,,ATP,Karim Bennani,Yannick Hanfmann,6.0,1.769,2.11,0.13,0.5875,0.6775,-5.0,1,0.672836,0.615411,0.543955,-0.293842,0.039225,6.0,audit_local,2026-04-01T21:54:34+00:00,handicap-input-audit.csv,1.0,1.5,0.0,0.0,1.0,-0.37
2026-04-01,2026,Clay,,ATP,Corentin Moutet,Taha Baadi,-6.5,1.877,2.0,0.87,0.6778,0.5872,10.0,1,0.211973,0.300359,0.515863,0.909063,0.032765,6.5,audit_local,2026-04-01T21:54:34+00:00,handicap-input-audit.csv,1.0,2.0,0.0,0.0,1.0,0.37
2026-04-02,2026,Clay,,ATP,Learner Tien,Nishesh Basavareddy,-4.0,1.935,1.935,0.7158,0.6663,0.6197,5.0,1,0.328516,0.432176,0.5,0.27298,0.033592,4.0,audit_local,2026-04-02T09:00:22+00:00,handicap-input-audit.csv,1.0,-0.5,0.0,0.0,0.0,0.2158
2026-04-02,2026,Clay,,ATP,Roman Andres Burruchaga,Brandon Nakashima,2.5,1.909,1.943,0.5238,0.6456,0.6404,0.0,1,0.68304,0.544238,0.504413,-0.159761,0.038503,2.5,audit_local,2026-04-02T09:00:22+00:00,handicap-input-audit.csv,1.0,-2.0,0.0,0.0,0.0,0.0238
2026-04-02,2026,Clay,,ATP,Alex Michelsen,Alexei Popyrin,-2.0,1.917,1.952,0.5214,0.6453,0.6406,-9.0,0,0.385233,0.42704,0.504523,0.31203,0.033943,2.0,audit_local,2026-04-02T09:00:22+00:00,handicap-input-audit.csv,1.0,-2.5,0.0,0.0,0.0,0.0214
2026-04-02,2026,Clay,,ATP,Rinky Hijikata,Frances Tiafoe,4.0,1.935,1.935,0.1704,0.5955,0.6482,-3.0,1,0.499418,0.516492,0.5,-0.065991,0.033592,4.0,audit_local,2026-04-02T09:00:22+00:00,handicap-input-audit.csv,1.0,-0.5,0.0,0.0,0.0,-0.3296
2026-04-02,2026,Clay,,ATP,Rafael Jodar,Tomas Machac,1.0,1.952,1.917,0.4688,0.5229,0.52,3.0,1,0.53726,0.490216,0.495477,0.021049,0.033943,1.0,audit_local,2026-04-02T09:00:22+00:00,handicap-input-audit.csv,1.0,-3.5,0.0,0.0,0.0,-0.0312
2026-04-02,2026,Clay,,ATP,Ignacio Buse,Camilo Ugo Carabelli,-1.0,1.926,1.943,0.5904,0.5716,0.5439,-2.0,0,0.584218,0.51462,0.502197,-0.04971,0.033879,1.0,audit_local,2026-04-02T09:00:22+00:00,handicap-input-audit.csv,1.0,-3.5,0.0,0.0,0.0,0.0904
2026-04-02,2026,Clay,,ATP,Luca Van Assche,Tallon Griekspoor,2.0,1.971,1.893,0.3238,0.6144,0.6506,0.0,1,0.401792,0.441667,0.489907,0.194021,0.035619,2.0,audit_local,2026-04-02T09:00:22+00:00,handicap-input-audit.csv,1.0,-2.5,0.0,0.0,0.0,-0.1762
2026-04-02,2026,Clay,,ATP,Vit Kopriva,Alexandre Muller,-1.0,1.971,1.901,0.6307,0.646,0.619,-4.0,0,0.566412,0.508713,0.490961,-0.071018,0.033396,1.0,audit_local,2026-04-02T09:00:22+00:00,handicap-input-audit.csv,1.0,-3.5,0.0,0.0,0.0,0.1307
2026-04-03,2026,Clay,,ATP,Daniel Altmaier,Dino Prizmic,2.5,1.98,1.885,0.3589,0.5991,0.6272,-1.0,1,0.507764,0.453937,0.48771,0.135608,0.035554,2.5,audit_local,2026-04-03T09:18:07+00:00,handicap-input-audit.csv,1.0,-2.0,0.0,0.0,0.0,-0.1411
2026-04-03,2026,Clay,,ATP,Corentin Moutet,Marco Trungelliti,-3.5,1.909,1.98,0.6339,0.6464,0.6186,-3.0,0,0.392379,0.397703,0.509128,0.451564,0.028885,3.5,audit_local,2026-04-03T09:18:07+00:00,handicap-input-audit.csv,1.0,-1.0,1.0,0.0,0.0,0.1339
2026-04-03,2026,Clay,,ATP,Damir Dzumhur,Botic Van De Zandschulp,3.0,2.01,1.885,0.3489,0.5469,0.5747,-6.0,0,0.483107,0.482644,0.483954,0.005246,0.028016,3.0,audit_local,2026-04-03T11:37:25+00:00,handicap-input-audit.csv,1.0,-1.5,0.0,0.0,0.0,-0.1511
2026-04-03,2026,Clay,,ATP,Alex Molcan,Mariano Navone,4.0,1.917,1.971,0.3733,0.6006,0.6258,-4.0,0,0.616547,0.57072,0.506944,-0.257008,0.029005,4.0,audit_local,2026-04-03T11:49:31+00:00,handicap-input-audit.csv,1.0,-0.5,0.0,0.0,0.0,-0.1267
2026-04-03,2026,Clay,,ATP,Learner Tien,Roman Andres Burruchaga,-2.5,1.962,1.909,0.4239,0.6354,0.6505,-4.0,0,0.297752,0.349355,0.493154,0.594492,0.033518,2.5,audit_local,2026-04-03T11:49:31+00:00,handicap-input-audit.csv,1.0,-2.0,0.0,0.0,0.0,-0.0761
2026-04-03,2026,Clay,,ATP,Camilo Ugo Carabelli,Luca Van Assche,-2.0,1.952,1.917,0.5418,0.5324,0.5367,1.0,0,0.363939,0.408581,0.495477,0.351742,0.033943,2.0,audit_local,2026-04-03T11:49:31+00:00,handicap-input-audit.csv,1.0,-2.5,0.0,0.0,0.0,0.0418
2026-04-03,2026,Clay,,ATP,Ben Shelton,Thiago Agustin Tirante,-2.5,1.826,2.08,0.7932,0.6762,0.6097,-4.0,0,0.674783,0.539615,0.532514,-0.028551,0.028414,2.5,audit_local,2026-04-03T19:11:40+00:00,handicap-input-audit.csv,1.0,-2.0,0.0,0.0,0.0,0.2932
2026-04-03,2026,Clay,,ATP,Tomas Martin Etcheverry,Tommy Paul,3.0,1.926,1.962,0.417,0.6061,0.6399,-6.0,0,0.486592,0.493629,0.50463,0.044003,0.028895,3.0,audit_local,2026-04-03T20:29:36+00:00,handicap-input-audit.csv,1.0,-1.5,0.0,0.0,0.0,-0.083
2026-04-03,2026,Clay,,ATP,Alexei Popyrin,Frances Tiafoe,2.0,1.962,1.926,0.2942,0.6306,0.6538,0.0,1,0.469633,0.476291,0.49537,0.076389,0.028895,2.0,audit_local,2026-04-03T20:29:36+00:00,handicap-input-audit.csv,1.0,-2.5,0.0,0.0,0.0,-0.2058
2026-04-04,2026,Clay,,ATP,Pedro Martinez Portero,Aleksandar Vukic,-4.0,1.943,1.893,0.4553,0.6105,0.619,6.0,1,0.172436,0.325884,0.493483,0.700791,0.04293,4.0,audit_local,2026-04-04T09:01:06+00:00,handicap-input-audit.csv,1.0,-0.5,0.0,0.0,0.0,-0.0447
2026-04-04,2026,Clay,,ATP,Emilio Nava,Quentin Halys,0.0,1.893,1.943,0.546,0.6195,0.6101,4.0,1,0.530618,0.487306,0.506517,0.076857,0.04293,0.0,audit_local,2026-04-04T09:01:06+00:00,handicap-input-audit.csv,1.0,-4.5,0.0,0.0,0.0,0.046
2026-04-04,2026,Clay,,ATP,Juan Manuel Cerundolo,Hugo Nys,-7.0,1.847,2.0,0.87,0.6593,0.5703,6.0,0,0.114571,0.317658,0.519886,0.84414,0.041419,7.0,audit_local,2026-04-04T09:01:06+00:00,handicap-input-audit.csv,1.0,2.5,0.0,0.0,1.0,0.37
2026-04-04,2026,Clay,,ATP,Mariano Navone,Botic Van De Zandschulp,-2.5,1.98,1.909,0.5472,0.5534,0.5375,1.0,0,0.467073,0.434161,0.490872,0.228376,0.028885,2.5,audit_local,2026-04-04T10:07:33+00:00,handicap-input-audit.csv,1.0,-2.0,0.0,0.0,0.0,0.0472
2026-04-04,2026,Clay,,ATP,Thiago Agustin Tirante,Roman Andres Burruchaga,0.5,1.901,1.971,0.3993,0.5478,0.5716,-10.0,0,0.396985,0.399975,0.509039,0.44173,0.033396,0.5,audit_local,2026-04-04T10:07:33+00:00,handicap-input-audit.csv,1.0,-4.0,0.0,0.0,0.0,-0.1007
