date,time_utc,player1,player2,surface,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,settlement_status,result,bet_outcome,won_bet,match_date,player1_id,player2_id,winner_id,loser_id,settled_at,settlement_note,closing_odds1,closing_odds2,closing_source,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,threshold_tier,bet_type,spread_line,spread_odds,stake_units,stake_gbp,stake_model,signal_profile,game_margin
2026-03-05,00:49:24,Nuno Borges,Emilio Nava,Hard,Masters 1000,high,2.21,1.83,1.61,2.45,-27.15,33.88,P2,33.88,base,,,,settled,P1,LOSS,0,2026-03-08,31446,56197,31446,56197,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-05,00:49:24,Valentin Royer,Benjamin Bonzi,Hard,Masters 1000,high,2.58,1.63,2.05,1.826,-20.54,12.02,P2,12.02,base,,,,settled,P2,WIN,1,2026-03-08,61857,28899,28899,61857,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-05,00:49:24,Alejandro Tabilo,Rafael Jodar,Hard,Masters 1000,high,1.68,2.47,2.14,1.781,27.38,-27.89,P1,27.38,base,,,,settled,P1,WIN,1,2026-03-08,30087,99691,30087,99691,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-05,00:49:24,Daniel Merida Aguilar,Alex Michelsen,Hard,Masters 1000,high,2.57,1.63,3.54,1.331,37.74,-18.34,P1,37.74,base,,,,settled,P2,LOSS,0,2026-03-08,83223,92985,92985,83223,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-05,00:49:24,Joao Fonseca,Raphael Collignon,Hard,Masters 1000,high,2.2,1.83,1.787,2.13,-18.77,16.39,P2,16.39,base,,,,settled,P1,LOSS,0,2026-03-08,91521,84235,91521,84235,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-05,00:49:24,Juan Manuel Cerundolo,Botic Van De Zandschulp,Hard,Masters 1000,high,2.47,1.68,3.06,1.424,23.89,-15.24,P1,23.89,base,,,,settled,P1,WIN,1,2026-03-08,52934,24249,52934,24249,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-05,00:49:24,Francesco Maestrelli,Rinky Hijikata,Hard,Masters 1000,high,1.83,2.2,2.25,1.699,22.95,-22.77,P1,22.95,base,,,,settled,P2,LOSS,0,2026-03-08,63737,58149,58149,63737,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-05,00:49:24,Sebastian Korda,Francisco Comesana,Hard,Masters 1000,high,1.43,3.31,1.191,5.29,-16.71,59.82,P2,59.82,base,,,,settled,P1,LOSS,0,2026-03-08,42451,61971,42451,61971,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-05,00:49:24,Hubert Hurkacz,Aleksandar Kovacevic,Hard,Masters 1000,high,1.69,2.44,1.415,3.1,-16.27,27.05,P2,27.05,base,,,,settled,P2,WIN,1,2026-03-08,26473,39152,39152,26473,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
2026-03-05,00:49:24,Fabian Marozsan,Roberto Bautista Agut,Hard,Masters 1000,high,1.63,2.58,1.309,3.77,-19.69,46.12,P2,46.12,base,,,,settled,P2,WIN,1,2026-03-08,52140,1837,1837,52140,2026-03-08T22:52:21+00:00, [from oncourt_today fallback],,,,False,False,False,none,none,,,,,,,,,
