captured_at,event_id,kickoff_at,bookmaker,league,home,away,market_name,odds_count,sample_labels
2026-08-17T09:04:21Z,73465956,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Blockx, Alexander","Cobolli, Flavio",Team Total (Double Faults) Away,7,hdp=0.5 | hdp=1.5 | hdp=2.5 | hdp=4.5 | hdp=7.5 | hdp=9.5
2026-08-17T09:04:21Z,73465956,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Blockx, Alexander","Cobolli, Flavio",Team Total (Double Faults) Home,7,hdp=7.5 | hdp=9.5 | hdp=11.5 | hdp=0.5 | hdp=1.5 | hdp=2.5
2026-08-17T09:04:21Z,73465956,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Blockx, Alexander","Cobolli, Flavio",Team Total (Games) Home,1,hdp=12.5
2026-08-17T09:04:21Z,73465956,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Blockx, Alexander","Cobolli, Flavio",Totals 1st Set,6,hdp=6.5 | hdp=7.5 | hdp=8.5 | hdp=9.5 | hdp=10.5 | hdp=12.5
2026-08-17T09:04:21Z,73465956,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Blockx, Alexander","Cobolli, Flavio",Set Betting,4,label=2-0 (1) | label=2-1 (1) | label=2-0 (2) | label=2-1 (2)
2026-08-17T09:04:21Z,73465956,2026-08-17T15:00:00Z,Bet365,"ATP - Cincinnati, USA","Blockx, Alexander","Cobolli, Flavio",Spread (Games),1,hdp=-0.5
2026-08-17T09:04:21Z,73467026,2026-08-17T16:10:00Z,Bet365,"WTA - Cincinnati, USA","Shnaider, Diana","Chwalinska, Maja",ML,1,"{'home': '1.28', 'away': '3.75'}"
2026-08-17T09:04:21Z,73467026,2026-08-17T16:10:00Z,Bet365,"WTA - Cincinnati, USA","Shnaider, Diana","Chwalinska, Maja",Team Total (Aces) Away,4,hdp=0.5 | hdp=4.5 | hdp=9.5 | hdp=2.5
2026-08-17T09:04:21Z,73467026,2026-08-17T16:10:00Z,Bet365,"WTA - Cincinnati, USA","Shnaider, Diana","Chwalinska, Maja",Totals (Double Faults),9,hdp=0.5 | hdp=1.5 | hdp=2.5 | hdp=9.5 | hdp=14.5 | hdp=19.5
2026-08-17T09:04:21Z,73467026,2026-08-17T16:10:00Z,Bet365,"WTA - Cincinnati, USA","Shnaider, Diana","Chwalinska, Maja",Team Total (Games) Away,1,hdp=8.5
2026-08-17T09:04:21Z,73467026,2026-08-17T16:10:00Z,Bet365,"WTA - Cincinnati, USA","Shnaider, Diana","Chwalinska, Maja",Team Total (Double Faults) Away,7,hdp=0.5 | hdp=9.5 | hdp=11.5 | hdp=1.5 | hdp=2.5 | hdp=4.5
2026-08-17T09:04:21Z,73467026,2026-08-17T16:10:00Z,Bet365,"WTA - Cincinnati, USA","Shnaider, Diana","Chwalinska, Maja",Team Total (Double Faults) Home,7,hdp=0.5 | hdp=2.5 | hdp=7.5 | hdp=9.5 | hdp=11.5 | hdp=1.5
2026-08-17T09:04:21Z,73467026,2026-08-17T16:10:00Z,Bet365,"WTA - Cincinnati, USA","Shnaider, Diana","Chwalinska, Maja",Totals 1st Set,6,hdp=6.5 | hdp=7.5 | hdp=8.5 | hdp=9.5 | hdp=10.5 | hdp=12.5
