date,tour,tournament,player,opponent,market,line,over_odds,under_odds
2026-07-02,ATP,Wimbledon,Totals ( ),Yannick Hanfmann,double_faults,20.0,,26.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Yannick Hanfmann,double_faults,1.0,1.0200,
2026-07-02,ATP,Wimbledon,Totals ( ),Yannick Hanfmann,double_faults,5.0,2.6200,1.0700
2026-07-02,ATP,Wimbledon,Totals ( ),Yannick Hanfmann,double_faults,8.0,11.0000,1.5000
2026-07-02,ATP,Wimbledon,Totals ( ),Yannick Hanfmann,double_faults,10.0,26.0000,2.2500
2026-07-02,ATP,Wimbledon,Totals ( ),Yannick Hanfmann,double_faults,12.0,,3.7500
2026-07-02,ATP,Wimbledon,Totals ( ),Yannick Hanfmann,double_faults,15.0,,11.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Maya Joint,aces,5.0,5.5000,1.3300
2026-07-02,WTA,Wimbledon,Totals ( ),Maya Joint,aces,15.0,,15.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Maya Joint,aces,1.0,1.1000,
2026-07-02,WTA,Wimbledon,Totals ( ),Maya Joint,aces,3.0,2.0000,1.0700
2026-07-02,WTA,Wimbledon,Totals ( ),Maya Joint,aces,10.0,26.0000,3.5000
2026-07-02,WTA,Wimbledon,Totals ( ),Maya Joint,aces,20.0,,26.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Maya Joint,double_faults,2.0,1.1600,
2026-07-02,WTA,Wimbledon,Totals ( ),Maya Joint,double_faults,3.0,1.4400,1.0100
2026-07-02,WTA,Wimbledon,Totals ( ),Maya Joint,double_faults,5.0,2.7500,1.1000
2026-07-02,WTA,Wimbledon,Totals ( ),Maya Joint,double_faults,8.0,11.0000,1.6100
2026-07-02,WTA,Wimbledon,Totals ( ),Maya Joint,double_faults,10.0,26.0000,2.5000
2026-07-02,WTA,Wimbledon,Totals ( ),Maya Joint,double_faults,12.0,,4.3300
