captured_at,league,match_date,kickoff_iso,home_team,away_team,line,side,odds_decimal,odds_american
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United,Wolverhampton,10.0,under,2.02,102
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United,Wolverhampton,9.0,over,1.4484,-223
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United,Wolverhampton,9.0,under,2.66,166
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United,Wolverhampton,9.5,over,1.6369,-157
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United,Wolverhampton,9.5,under,2.25,125
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United,Wolverhampton,10.5,over,2.02,102
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United,Wolverhampton,10.5,under,1.7937,-126
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United,Wolverhampton,11.0,over,2.31,131
2026-04-09T15:01:20Z,epl,2026-04-10,2026-04-10T19:00:00Z,West Ham United,Wolverhampton,11.0,under,1.5917,-169
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United (Corners),Leeds United (Corners),10.0,over,1.9901,-101
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United (Corners),Leeds United (Corners),10.0,under,1.8403,-119
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United (Corners),Leeds United (Corners),9.0,over,1.5464,-183
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United (Corners),Leeds United (Corners),9.0,under,2.4,140
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United (Corners),Leeds United (Corners),9.5,over,1.7576,-132
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United (Corners),Leeds United (Corners),9.5,under,2.06,106
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United (Corners),Leeds United (Corners),10.5,over,2.21,121
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United (Corners),Leeds United (Corners),10.5,under,1.6536,-153
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United (Corners),Leeds United (Corners),11.0,over,2.58,158
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United (Corners),Leeds United (Corners),11.0,under,1.4762,-210
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Sunderland,Tottenham Hotspur,10.0,over,2.0,100
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Sunderland,Tottenham Hotspur,10.0,under,1.8264,-121
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Sunderland,Tottenham Hotspur,9.0,over,1.5618,-178
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Sunderland,Tottenham Hotspur,9.0,under,2.37,137
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Sunderland,Tottenham Hotspur,9.5,over,1.7752,-129
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Sunderland,Tottenham Hotspur,9.5,under,2.04,104
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Sunderland,Tottenham Hotspur,10.5,over,2.23,123
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Sunderland,Tottenham Hotspur,10.5,under,1.6452,-155
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Sunderland,Tottenham Hotspur,11.0,over,2.58,158
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Sunderland,Tottenham Hotspur,11.0,under,1.4762,-210
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest,Aston Villa,10.0,over,1.9259,-108
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest,Aston Villa,10.0,under,1.9009,-111
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest,Aston Villa,9.0,over,1.5181,-193
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest,Aston Villa,9.0,under,2.47,147
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest,Aston Villa,9.5,over,1.7299,-137
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest,Aston Villa,9.5,under,2.1,110
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest,Aston Villa,10.5,over,2.12,112
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest,Aston Villa,10.5,under,1.7092,-141
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest,Aston Villa,11.0,over,2.43,143
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Nottingham Forest,Aston Villa,11.0,under,1.5348,-187
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea,Manchester City,10.0,over,1.9434,-106
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea,Manchester City,10.0,under,1.885,-113
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea,Manchester City,9.0,over,1.5319,-188
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea,Manchester City,9.0,under,2.44,144
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea,Manchester City,9.5,over,1.7353,-136
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea,Manchester City,9.5,under,2.09,109
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea,Manchester City,10.5,over,2.15,115
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea,Manchester City,10.5,under,1.6897,-145
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea,Manchester City,11.0,over,2.49,149
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T15:30:00Z,Chelsea,Manchester City,11.0,under,1.5102,-196
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United,Leeds United,10.0,over,1.9901,-101
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United,Leeds United,10.0,under,1.8403,-119
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United,Leeds United,9.0,over,1.5464,-183
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United,Leeds United,9.0,under,2.4,140
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United,Leeds United,9.5,over,1.7576,-132
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United,Leeds United,9.5,under,2.06,106
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United,Leeds United,10.5,over,2.21,121
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United,Leeds United,10.5,under,1.6536,-153
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United,Leeds United,11.0,over,2.58,158
2026-04-09T15:01:20Z,epl,2026-04-13,2026-04-13T19:00:00Z,Manchester United,Leeds United,11.0,under,1.4762,-210
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Sunderland (Corners),Tottenham Hotspur (Corners),10.0,over,2.0,100
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Sunderland (Corners),Tottenham Hotspur (Corners),10.0,under,1.8264,-121
2026-04-09T15:01:20Z,epl,2026-04-12,2026-04-12T13:00:00Z,Sunderland (Corners),Tottenham Hotspur (Corners),9.0,over,1.5618,-178
