match_date,league,home_team,away_team,line,selected_side,selected_ev,selected_odds,selected_close_odds,bet_result,pnl_units,published_to_close_clv,actual_total,result_side,lambda_poisson,market_lambda,lambda_v2,lambda_gap_model_market,p_market_over,p_v2_over,line_bucket,line_type,side_line,side_league,edge_bucket,lambda_gap_bucket,fav_side,fav_prob,fav_gap,fav_bucket,pre_home_shot_pressure,pre_away_shot_pressure,pre_total_shot_pressure,pre_total_sot_pressure,pre_total_corner_pressure,pre_corner_per_shot,pre_recent_corner_delta,pre_recent_shot_delta,shot_pressure_bucket,corner_pressure_bucket,corner_per_shot_bucket,recent_corner_delta_bucket,recent_shot_delta_bucket,pre_feature_ready,post_match_total_shots,post_match_total_sot,post_match_corners_per_shot,post_match_shot_bucket
2026-05-08,ligue-1,Lens,Nantes,10.0,over,0.091154,2.02,2.06,won,1.02,-0.019417,11,over,9.957,10.4619,10.5741,-0.5048999999999992,0.470331,0.483196,10.0-10.5,integer,over|10.0-10.5,over|ligue-1,6-10%,model<market,home,0.6543046357615894,0.5083443708609271,fav>=65,15.05,10.425,25.475,8.875,8.8,0.3227584616271695,2.033333333333333,3.5249999999999986,25-28,8.5-9.5,0.30-0.36,>=+1,>=+3,true,29,8,0.3793103448275862,25-30
2026-05-08,serie-a,Torino,Sassuolo,9.0,over,0.051363,1.9346,1.9346,won,0.9346,0.0,12,over,7.423,9.7085,9.5967,-2.2855000000000008,0.495607,0.482658,9.0-9.5,integer,over|9.0-9.5,over|serie-a,3-6%,model<<market,home,0.3648208469055374,0.02605863192182406,balanced<45,13.4,11.8,25.200000000000003,8.424999999999999,8.649999999999999,0.34372084344094045,-0.31666666666666465,0.3833333333333293,25-28,8.5-9.5,0.30-0.36,-1 to -0.25,flat,true,31,11,0.3870967741935484,>=30
2026-05-09,serie-a,Cagliari,Udinese,9.0,over,0.098829,1.8696,1.8547,won,0.8696,0.008034,12,over,8.362,9.8515,9.9785,-1.4894999999999996,0.511994,0.526371,9.0-9.5,integer,over|9.0-9.5,over|serie-a,6-10%,model<market,home,0.3783122706889523,0.05218100285364863,balanced<45,12.2,11.975000000000001,24.175,7.574999999999999,9.15,0.37719031262228797,0.016666666666667496,0.908333333333335,22-25,8.5-9.5,0.36-0.42,flat,flat,true,31,11,0.3870967741935484,>=30
2026-05-09,la-liga,Elche,Alaves,10.0,over,0.073203,2.12,2.17,push,0.0,-0.023041,10,push,10.257,10.2728,10.296,-0.01580000000000048,0.448577,0.451278,10.0-10.5,integer,over|10.0-10.5,over|la-liga,6-10%,aligned,home,0.42307692307692313,0.13461538461538464,balanced<45,12.175,14.024999999999999,26.2,9.125,9.7,0.385415369286337,0.8000000000000007,-1.6166666666666671,25-28,9.5-10.5,0.36-0.42,+0.25 to +1,-3 to -1,true,28,9,0.35714285714285715,25-30
2026-05-09,epl,Fulham,Bournemouth,11.0,over,0.111477,2.18,2.15,won,1.18,0.013953,13,over,11.213,11.1263,11.346,0.08669999999999867,0.434603,0.458966,>=11.0,integer,over|>=11.0,over|epl,>=10%,aligned,away,0.39379474940334125,0.05011933174224342,balanced<45,13.075,13.675,26.75,8.024999999999999,11.075000000000001,0.37200984128257586,-0.5750000000000011,0.1666666666666643,25-28,>=10.5,0.36-0.42,-1 to -0.25,flat,true,24,7,0.5416666666666666,20-25
2026-05-09,bundesliga,Hoffenheim,Werder Bremen,10.0,over,0.061368,1.813,1.7937,won,0.813,0.01076,11,over,10.204,10.9498,10.9436,-0.7457999999999991,0.524521,0.52384,10.0-10.5,integer,over|10.0-10.5,over|bundesliga,6-10%,model<market,home,0.6484352974344516,0.48491683112489425,fav55-65,13.425,12.825,26.25,9.25,9.774999999999999,0.3756704956200718,-0.35833333333333073,0.25,25-28,9.5-10.5,0.36-0.42,-1 to -0.25,flat,true,26,6,0.4230769230769231,25-30
2026-05-09,serie-a,Lazio,Inter,9.0,over,0.057652,1.9174,1.9615,lost,-1.0,-0.022483,6,under,7.559,9.7467,9.6642,-2.1877000000000004,0.5,0.490488,9.0-9.5,integer,over|9.0-9.5,over|serie-a,3-6%,model<<market,away,0.5300859598853869,0.3180515759312321,fav45-55,9.825,15.225000000000001,25.05,8.225000000000001,8.425,0.3395017126953543,0.3249999999999993,-0.716666666666665,25-28,<8.5,0.30-0.36,+0.25 to +1,flat,true,23,10,0.2608695652173913,20-25
2026-05-09,serie-a,Lecce,Juventus,10.0,over,0.094704,2.19,2.34,lost,-1.0,-0.064103,8,under,8.709,10.1456,10.2884,-1.4366000000000003,0.432804,0.448748,10.0-10.5,integer,over|10.0-10.5,over|serie-a,6-10%,model<market,away,0.6434086359736917,0.4941378324277952,fav55-65,9.75,15.350000000000001,25.1,7.725,9.2,0.3528118978805395,0.5500000000000007,-1.3500000000000014,25-28,8.5-9.5,0.30-0.36,+0.25 to +1,-3 to -1,true,23,9,0.34782608695652173,20-25
2026-05-09,epl,Liverpool,Chelsea,11.0,over,0.077017,2.15,2.29,lost,-1.0,-0.061135,7,under,10.791,11.1815,11.2581,-0.3904999999999994,0.440745,0.449238,>=11.0,integer,over|>=11.0,over|epl,6-10%,aligned,home,0.5190138736400838,0.27547659447050593,fav45-55,13.375,12.85,26.225,8.774999999999999,10.8,0.4464227108631441,-0.3000000000000007,1.0249999999999986,25-28,>=10.5,>=0.42,-1 to -0.25,+1 to +3,true,14,6,0.5,<20
2026-05-09,epl,Man City,Brentford,11.0,over,0.072772,2.22,2.07,won,1.22,0.072464,12,over,10.569,11.0685,11.1123,-0.4994999999999994,0.428174,0.433055,>=11.0,integer,over|>=11.0,over|epl,6-10%,aligned,home,0.698906060079875,0.5631185969786421,fav>=65,14.575000000000001,10.775,25.35,8.45,9.7,0.39058103975535163,1.4666666666666668,2.0666666666666664,25-28,9.5-10.5,0.36-0.42,>=+1,+1 to +3,true,29,12,0.41379310344827586,25-30
