match_date,league,home_team,away_team,line,actual_total,result_side,kickoff_utc,published_at_utc,close_at_utc,close_is_stale,lambda_poisson,nb_r,market_lambda,lambda_v2,blend_weight,p_market_over,p_poisson_over,p_nb_raw_over,p_v2_over,pub_over_odds,pub_under_odds,close_over_odds,close_under_odds,ev_over,ev_under,selected_side,selected_odds,selected_close_odds,selected_ev,published_to_close_clv,pnl_units,bet_result,brier_market,brier_poisson,brier_nb_raw,brier_v2
2026-04-11,ligue-1,Auxerre,Nantes,10.0,5,under,2026-04-11T17:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,8.662,67.0569,10.0324,9.6213,0.3,0.420536,0.254768,0.263588,0.372549,2.25,1.6329,2.26,1.6135,-0.045821,-0.048816,,,,,,,,0.17685069,0.06490676,0.06947877,0.13879266
2026-04-11,ligue-1,Auxerre,Nantes,10.5,5,under,2026-04-11T17:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,8.662,67.0569,9.6491,9.353,0.3,0.375796,0.254768,0.263588,0.341415,2.5,1.5051,2.52,1.4878,-0.146461,-0.008764,,,,,,,,0.14122253,0.06490676,0.06947877,0.11656449
2026-04-11,ligue-1,Auxerre,Nantes,8.5,5,under,2026-04-11T17:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,8.662,67.0569,9.5145,9.2587,0.3,0.597747,0.499055,0.493581,0.567634,1.5747,2.34,1.5714,2.32,-0.106146,0.011736,,,,,,,,0.35730142,0.24905572,0.24362242,0.32220860
2026-04-11,ligue-1,Auxerre,Nantes,9.0,5,under,2026-04-11T17:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,8.662,67.0569,10.1113,9.6765,0.3,0.546362,0.368154,0.370595,0.495136,1.7353,2.09,1.7353,2.07,-0.019692,-0.076832,,,,,,,,0.29851185,0.13553751,0.13734044,0.24515992
2026-04-11,ligue-1,Auxerre,Nantes,9.5,5,under,2026-04-11T17:00:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,8.662,67.0569,9.5746,9.3009,0.3,0.482866,0.368154,0.370595,0.449505,1.9709,1.8403,1.9804,1.8333,-0.11407,0.013076,,,,,,,,0.23315985,0.13553751,0.13734044,0.20205483
2026-04-11,la-liga,Barcelona,Espanol,10.0,12,over,2026-04-11T16:30:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,10.925,69.2387,11.4217,11.2727,0.3,0.577171,0.531128,0.523049,0.561229,1.641,2.24,1.6329,2.25,0.030594,-0.153079,,,,,,,,0.17878451,0.21984091,0.22748246,0.19251956
2026-04-11,la-liga,Barcelona,Espanol,10.5,12,over,2026-04-11T16:30:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,10.925,69.2387,10.807,10.8424,0.3,0.509818,0.531128,0.523049,0.513801,1.8772,1.9524,1.8696,1.9615,-0.035493,-0.050744,,,,,,,,0.24027814,0.21984091,0.22748246,0.23638979
2026-04-11,la-liga,Barcelona,Espanol,11.0,12,over,2026-04-11T16:30:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,10.925,69.2387,11.2643,11.1625,0.3,0.449747,0.411781,0.412198,0.438511,2.11,1.7246,2.09,1.7353,0.03602,-0.111914,over,2.11,2.09,0.03602,0.009569,1.11,won,0.30277832,0.34600201,0.34551127,0.31526985
2026-04-11,la-liga,Barcelona,Espanol,11.5,12,over,2026-04-11T16:30:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,10.925,69.2387,10.8216,10.8526,0.3,0.400724,0.411781,0.412198,0.404167,2.35,1.5714,2.32,1.5814,-0.050209,-0.063707,,,,,,,,0.35913145,0.34600201,0.34551127,0.35501747
2026-04-11,la-liga,Barcelona,Espanol,9.5,12,over,2026-04-11T16:30:00Z,2026-04-09T15:01:20Z,2026-04-11T08:33:30Z,false,10.925,69.2387,10.8287,10.8576,0.3,0.625935,0.651295,0.635964,0.62896,1.5,2.51,1.495,2.53,-0.05656,-0.06869,,,,,,,,0.13992450,0.12159534,0.13252254,0.13767065
