generated_at,captured_at,match_date,kickoff_at,competition,league_key,home_team,away_team,bookmaker,player_name,model_prob,fair_odds,market_odds,market_prob,edge_pp,ev_pct,signal_status,confidence,player_team,opponent_team,position,expected_minutes,assist_rate_per90,xa_rate_per90,history_minutes,team_attack_scale,setpiece_lambda,corner_share_last5_pct,fk_share_last5_pct,setpiece_share_last5_pct,join_status,notes
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Rayo Vallecano,Villarreal CF,Bet365,Renato Veiga,0.014711,67.974,11.000,0.090909,-7.62,-83.82,no_edge,low,villarreal,rayo vallecano,DC,90.0,0.0091,0.0122,2553,1.334,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Elche CF,Getafe CF,Bet365,Alvaro Rodriguez,0.123741,8.081,5.000,0.200000,-7.63,-38.13,no_edge,low,elche,getafe,FW,62.8,0.1934,0.1584,2032,1.110,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Levante UD,RCD Mallorca,Bet365,Diego Pampin,0.048714,20.528,8.000,0.125000,-7.63,-61.03,no_edge,low,levante,mallorca,DL,65.8,0.0473,0.0539,526,1.325,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Olympique Marseille,Stade Rennais FC,Bet365,Kelyann Bezahaf,0.066444,15.050,7.000,0.142857,-7.64,-53.49,no_edge,low,,marseille,Unknown,68.0,0.0900,0.0900,0,1.011,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T13:25:00Z,2026-05-17,2026-05-17T14:00:00Z,England - Premier League,epl,Leeds United,Brighton & Hove Albion,Bet365,Yasin Ayari,0.034585,28.914,9.000,0.111111,-7.65,-68.87,no_edge,medium,brighton,leeds,Sub,37.4,0.1287,0.0696,2526,0.939,0.0000,0.0,0.0,0.0,matched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:05Z,2026-05-17,2026-05-17T16:30:00Z,England - Premier League,epl,Newcastle United,West Ham United,Bet365,Keiber Lamadrid,0.077307,12.935,6.500,0.153846,-7.65,-49.75,no_edge,low,,newcastle united,Unknown,68.0,0.0900,0.0900,0,1.183,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Atletico Madrid,Girona FC,Bet365,Ricard Artero,0.077307,12.935,6.500,0.153846,-7.65,-49.75,no_edge,low,,atletico madrid,Unknown,68.0,0.0900,0.0900,0,1.183,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T16:01:08Z,2026-05-17,2026-05-17T17:00:00Z,Spain - LaLiga,la-liga,Atletico Madrid,Girona FC,Bet365,Taufik Seidu,0.077307,12.935,6.500,0.153846,-7.65,-49.75,no_edge,low,,atletico madrid,Unknown,68.0,0.0900,0.0900,0,1.183,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Stade Brest 29,Angers SCO,Bet365,Mohamed Amine Sbai,0.077307,12.935,6.500,0.153846,-7.65,-49.75,no_edge,low,,brest,Unknown,68.0,0.0900,0.0900,0,1.183,0.0000,,,,unmatched,private_shadow_v0_not_public
2026-05-18T11:14:13Z,2026-05-17T18:36:50Z,2026-05-17,2026-05-17T19:00:00Z,France - Ligue 1,ligue-1,Lille OSC,AJ Auxerre,Bet365,Aissa Mandi,0.034535,28.956,9.000,0.111111,-7.66,-68.92,no_edge,low,lille,auxerre,DC,90.0,0.0078,0.0413,3137,1.188,0.0000,,,,unmatched,private_shadow_v0_not_public
