captured_at,match_date,kickoff_at,competition,home_team,away_team,bookmaker,player_name,odds_decimal,role_team,corner_share_last5_pct,corner_share_total_pct,fk_share_last5_pct,fk_share_total_pct,setpiece_share_last5_pct,total_share_pct,latest_role_week,role_source,join_status,shadow_status,notes
2026-08-30T12:49:14Z,2026-08-31,2026-08-31T18:45:00Z,Italy - Serie A,Atalanta BC,Bologna FC,Bet365,Riccardo Orsolini,7.5000,Bologna,0.0,4.28,0.0,3.57,5.56,6.35,52,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-31,2026-08-31T17:30:00Z,Spain - LaLiga,CA Osasuna,Getafe CF,Bet365,Kike Barja,6.5000,Osasuna,8.33,6.72,0.0,1.32,5.41,4.43,38,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-31,2026-08-31T16:30:00Z,Italy - Serie A,US Lecce,AS Roma,Bet365,Donyell Malen,5.5000,Roma,0.0,0.0,0.0,1.27,5.26,2.05,48,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:17Z,2026-08-30,2026-08-30T18:45:00Z,France - Ligue 1,AS Monaco,Olympique Marseille,Bet365,Ulisses Garcia,6.5000,Sassuolo,0.0,0.0,10.0,1.79,5.0,0.61,38,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:14Z,2026-08-31,2026-08-31T16:30:00Z,Italy - Serie A,US Lecce,AS Roma,Bet365,Danilo Veiga,10.0000,Lecce,0.0,0.76,14.29,8.75,4.76,3.76,38,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-30,2026-08-30T17:30:00Z,Spain - LaLiga,RC Deportivo de La Coruna,Valencia CF,Bet365,Andre Almeida,7.5000,Valencia,6.67,20.48,0.0,14.0,4.55,18.22,38,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Chelsea FC,Brighton & Hove Albion,Bet365,Valentin Barco,4.5000,Strasbourg,5.56,43.12,0.0,51.28,4.55,43.23,34,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:15Z,2026-08-30,2026-08-30T13:00:00Z,England - Premier League,Chelsea FC,Brighton & Hove Albion,Bet365,Luka Vuskovic,16.0000,Hamburger SV,0.0,0.0,12.5,4.69,4.55,2.35,34,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-30,2026-08-30T17:30:00Z,Spain - LaLiga,RC Deportivo de La Coruna,Valencia CF,Bet365,Hugo Duro,8.0000,Valencia,0.0,0.0,0.0,0.0,4.55,0.89,38,rotowire,matched,role_matched,research_only_no_public_signal
2026-08-30T12:49:16Z,2026-08-31,2026-08-31T19:30:00Z,Spain - LaLiga,FC Barcelona,Rayo Vallecano,Bet365,Randy Nteka,10.0000,Rayo Vallecano,0.0,0.0,0.0,0.0,4.55,0.44,38,rotowire,matched,role_matched,research_only_no_public_signal
