date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,fotmob_match_id,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-04-19,2026-04-19T13:30:00Z,SC Freiburg vs 1. FC Heidenheim,Germany - Bundesliga,Patrick Mainka,FC Heidenheim,SC Freiburg,shadow_track,-0.0694,1.1166,0,,0,expected_starter,0.123350,8.1070,Bet365,9.0000,0.110150,medium,2026-04-18T21:03:13Z,,11853,Patrick Mainka,SC Freiburg,1. FC Heidenheim,DC,DC,8640.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-19T19:56:52Z,-1.0000,played_did_not_score
2026-04-24,2026-04-24T18:30:00Z,RB Leipzig vs Union Berlin,Germany - Bundesliga,Andrej Ilic,Union Berlin,RB Leipzig,shadow_track,-0.8843,0.9046,0,,0,expected_starter,0.265540,3.7659,Bet365,4.3330,0.150585,medium,2026-04-21T19:14:38Z,,12421,Andrej Ilic,RB Leipzig,Union Berlin,AMC,AMC,2745.0,T2,no_action,,0,0.0156,0.00,,,,,,,1,0,lost,2026-04-25T00:05:58Z,-1.0000,played_did_not_score
2026-04-24,2026-04-24T18:30:00Z,RB Leipzig vs Union Berlin,Germany - Bundesliga,Christoph Baumgartner,RasenBallsport Leipzig,Union Berlin,penalty_transfer,0.3925,1.1525,1,Xavi Simons,0,expected_starter,0.442415,2.2603,Bet365,2.5000,0.106038,medium,2026-04-21T19:14:38Z,,7422,Christoph Baumgartner,RB Leipzig,Union Berlin,MC,MC,4993.0,T2,no_action,,0,0.0843,0.00,,,,,,,1,0,lost,2026-04-25T00:05:58Z,-1.0000,played_did_not_score
2026-04-24,2026-04-24T18:30:00Z,RB Leipzig vs Union Berlin,Germany - Bundesliga,Leopold Querfeld,Union Berlin,RB Leipzig,penalty_transfer,-0.2506,0.9330,1,Derrick Kohn,0,expected_starter,0.149150,6.7047,Bet365,9.5000,0.416925,medium,2026-04-21T19:14:38Z,,12920,Leopold Querfeld,RB Leipzig,Union Berlin,DC,DC,4155.0,T2,no_action,,1,0.6851,0.00,,,,,,,1,0,lost,2026-04-25T00:05:58Z,-1.0000,played_did_not_score
2026-04-24,2026-04-24T18:30:00Z,RB Leipzig vs Union Berlin,Germany - Bundesliga,Rani Khedira,Union Berlin,RB Leipzig,shadow_track,0.5161,0.9046,0,,0,expected_starter,0.099183,10.0824,Bet365,17.0000,0.686111,medium,2026-04-21T19:14:38Z,,5251,Rani Khedira,RB Leipzig,Union Berlin,MC,MC,6518.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-25T00:05:58Z,-1.0000,played_did_not_score
2026-04-25,2026-04-25T13:30:00Z,1. FC Cologne vs Bayer Leverkusen,Germany - Bundesliga,Edmond Tapsoba,Bayer Leverkusen,1. FC Cologne,shadow_track,0.7315,1.0931,0,,0,expected_starter,0.147860,6.7632,Bet365,8.5000,0.256810,medium,2026-04-22T14:24:35Z,,8317,Edmond Tapsoba,1. FC Cologne,Bayer Leverkusen,DC,DC,6646.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-26T00:03:50Z,-1.0000,played_did_not_score
2026-04-25,2026-04-25T13:30:00Z,1. FC Cologne vs Bayer Leverkusen,Germany - Bundesliga,Eric Martel,FC Cologne,Bayer Leverkusen,shadow_track,-0.0069,0.8876,0,,0,starter,0.151034,6.6210,Bet365,7.5000,0.132755,high,2026-04-25T13:03:35Z,,9053,Eric Martel,1. FC Cologne,Bayer Leverkusen,MC,MC,4796.0,T1,no_action,odds_above_public_cap,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-26T00:03:50Z,-1.0000,played_did_not_score
2026-04-25,2026-04-25T13:30:00Z,1. FC Cologne vs Bayer Leverkusen,Germany - Bundesliga,Jakub Kaminski,FC Cologne,Bayer Leverkusen,shadow_track,0.3348,0.9427,0,,0,expected_starter,0.266444,3.7531,Bet365,4.0000,0.065776,medium,2026-04-24T11:50:39Z,,10732,Jakub Kaminski,1. FC Cologne,Bayer Leverkusen,MC,MC,4049.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-26T00:03:50Z,-1.0000,played_did_not_score
2026-04-25,2026-04-25T13:30:00Z,1. FC Cologne vs Bayer Leverkusen,Germany - Bundesliga,Jarell Quansah,Bayer Leverkusen,1. FC Cologne,shadow_track,0.2586,0.9496,0,,0,starter,0.141195,7.0824,Bet365,8.5000,0.200157,high,2026-04-25T13:03:35Z,,10187,Jarell Quansah,1. FC Cologne,Bayer Leverkusen,DC,DC,1946.0,T1,no_action,odds_above_public_cap,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-26T00:03:50Z,-1.0000,played_did_not_score
2026-04-25,2026-04-25T13:30:00Z,1. FC Cologne vs Bayer Leverkusen,Germany - Bundesliga,Said El Mala,FC Cologne,Bayer Leverkusen,shadow_track,0.3036,0.9427,0,,0,expected_starter,0.364838,2.7409,Bet365,3.1000,0.130998,medium,2026-04-22T14:24:35Z,,13911,Said El Mala,1. FC Cologne,Bayer Leverkusen,FW,FW,1463.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-26T00:03:50Z,-1.0000,played_did_not_score
