date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,fotmob_match_id,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-04-19,2026-04-19T16:00:00Z,Pisa SC vs Genoa CFC,Italy - Serie A,Antonio Caracciolo,Pisa,Genoa CFC,shadow_track,0.4857,1.0725,0,,0,expected_starter,0.147880,6.7622,Bet365,13.0000,0.922440,medium,2026-04-16T17:45:11Z,,6133,Antonio Caracciolo,Pisa SC,Genoa CFC,DC,DC,2627.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-19T19:56:51Z,-1.0000,played_did_not_score
2026-04-19,2026-04-19T16:00:00Z,Pisa SC vs Genoa CFC,Italy - Serie A,Leo Ostigard,Genoa,Pisa SC,shadow_track,0.7338,1.4040,0,,0,starter,0.144995,6.8968,Bet365,9.0000,0.304955,high,2026-04-19T15:50:58Z,,10237,Leo Ostigard,Pisa SC,Genoa CFC,DC,DC,3792.0,T1,no_action,odds_above_public_cap,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-19T19:56:51Z,-1.0000,played_did_not_score
2026-04-19,2026-04-19T16:00:00Z,Pisa SC vs Genoa CFC,Italy - Serie A,Lorenzo Colombo,Genoa,Pisa SC,penalty_transfer,-0.1724,1.4040,1,Ruslan Malinovskiy,0,starter,0.398212,2.5112,Bet365,3.7500,0.493295,high,2026-04-19T15:50:58Z,,8478,Lorenzo Colombo,Pisa SC,Genoa CFC,FW,FW,5533.0,T1,surface,,0,0.2199,1.00,standard,1.00u Standard,,,,,1,1,won,2026-04-19T19:56:51Z,2.7500,scored_1_goals
2026-04-19,2026-04-19T10:30:00Z,US Cremonese vs Torino FC,Italy - Serie A,Federico Bonazzoli,Cremonese,Torino FC,penalty_transfer,-0.9499,0.9421,1,Jamie Vardy,0,starter,0.345066,2.8980,Bet365,3.4000,0.173224,high,2026-04-19T10:22:20Z,,2019,Federico Bonazzoli,US Cremonese,Torino FC,FW,FW,2966.0,T1,surface,,0,0.1730,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-19T19:56:51Z,-1.2500,played_did_not_score
2026-04-19,2026-04-19T10:30:00Z,US Cremonese vs Torino FC,Italy - Serie A,Guillermo Maripan,Torino,US Cremonese,shadow_track,0.1385,1.1687,0,,0,expected_starter,0.083459,11.9819,Bet365,13.0000,0.084967,medium,2026-04-19T08:45:37Z,,6073,Guillermo Maripan,US Cremonese,Torino FC,DC,DC,4377.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-19T19:56:51Z,-1.0000,played_did_not_score
2026-04-19,2026-04-19T10:30:00Z,US Cremonese vs Torino FC,Italy - Serie A,Nikola Vlasic,Torino,US Cremonese,shadow_track,-0.5966,1.1518,0,,0,expected_starter,0.290691,3.4401,Bet365,4.3330,0.259564,medium,2026-04-16T11:41:36Z,,6276,Nikola Vlasic,US Cremonese,Torino FC,AMC,AMC,7219.0,T2,no_action,,0,0.3275,0.00,,,,,,,1,0,lost,2026-04-19T19:56:51Z,-1.0000,played_did_not_score
2026-04-19,2026-04-19T10:30:00Z,US Cremonese vs Torino FC,Italy - Serie A,Sebastiano Luperto,US Cremonese,Torino FC,shadow_track,-0.0844,1.1492,0,,0,expected_starter,0.096045,10.4118,Bet365,11.0000,0.056495,medium,2026-04-16T11:41:36Z,,1639,Sebastiano Luperto,US Cremonese,Torino FC,D,D,6650.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-19T19:56:51Z,-1.0000,played_did_not_score
2026-04-20,2026-04-20T18:45:00Z,US Lecce vs ACF Fiorentina,Italy - Serie A,Cher Ndour,Fiorentina,US Lecce,shadow_track,0.0647,1.3249,0,,0,starter,0.157115,6.3648,Bet365,7.0000,0.099805,high,2026-04-20T18:41:56Z,,11768,Cher Ndour,US Lecce,ACF Fiorentina,MC,MC,1731.0,T1,no_action,fair_odds_above_public_cap,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-20T20:59:58Z,-1.0000,played_did_not_score
2026-04-20,2026-04-20T18:45:00Z,US Lecce vs ACF Fiorentina,Italy - Serie A,Lassana Coulibaly,Lecce,ACF Fiorentina,shadow_track,0.4048,0.8394,0,,0,expected_starter,0.101057,9.8954,Bet365,12.0000,0.212684,medium,2026-04-17T23:23:00Z,,3334,Lassana Coulibaly,US Lecce,ACF Fiorentina,Sub,Sub,6861.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-20T20:59:58Z,-1.0000,played_did_not_score
2026-04-20,2026-04-20T18:45:00Z,US Lecce vs ACF Fiorentina,Italy - Serie A,Oliveira Tiago Gabriel,Lecce,ACF Fiorentina,shadow_track,-1.2333,1.0014,0,,0,expected_starter,0.137608,7.2670,Bet365,13.0000,0.788904,medium,2026-04-17T23:23:00Z,,13396,Oliveira Tiago Gabriel,US Lecce,ACF Fiorentina,DC,DC,2775.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,1,won,2026-04-20T20:59:58Z,12.0000,scored_1_goals
