league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
bundesliga,2018-2019,02/12/2018,Ein Frankfurt,Wolfsburg,1,2,13,10,2,3,9,3,10,9,3,7,0,0,A,0,1,A,1.8,4,4.1,1.85,3.7,4.2,1.75,3.7,4.8
bundesliga,2018-2019,02/12/2018,RB Leipzig,M'gladbach,2,0,14,7,6,4,5,4,9,9,2,2,0,0,H,2,0,H,1.9,3.75,3.75,1.9,3.9,3.75,2,3.6,3.6
bundesliga,2018-2019,03/12/2018,Nurnberg,Leverkusen,1,1,11,20,4,6,3,6,14,10,3,2,0,0,D,0,1,A,4.2,4,1.8,4.33,3.9,1.78,4.1,3.7,1.85
bundesliga,2018-2019,07/12/2018,Werder Bremen,Fortuna Dusseldorf,3,1,22,12,9,3,6,4,13,18,3,4,0,0,H,1,1,D,1.72,4,4.5,1.7,4,4.75,1.75,3.8,4.6
bundesliga,2018-2019,08/12/2018,Bayern Munich,Nurnberg,3,0,20,4,8,1,11,1,9,6,1,0,0,0,H,2,0,H,1.08,11,34,1.09,10.5,29,1.1,9.5,25
bundesliga,2018-2019,08/12/2018,Freiburg,RB Leipzig,3,0,12,15,9,4,3,12,9,16,1,2,0,0,H,2,0,H,4,4,1.83,4.2,3.9,1.8,4.4,3.5,1.85
bundesliga,2018-2019,08/12/2018,Hertha,Ein Frankfurt,1,0,7,18,4,4,5,9,15,14,1,0,0,0,H,1,0,H,2.45,3.3,2.9,2.6,3.6,2.6,2.7,3.4,2.6
bundesliga,2018-2019,08/12/2018,Leverkusen,Augsburg,1,0,21,13,7,1,4,2,11,17,1,2,0,0,H,0,0,D,1.66,4,5,1.65,4.33,4.75,1.65,4.1,5
bundesliga,2018-2019,08/12/2018,Schalke 04,Dortmund,1,2,6,10,3,3,3,1,12,9,4,3,0,0,A,0,1,A,3.3,3.4,2.2,3.4,3.4,2.15,3.3,3.4,2.2
bundesliga,2018-2019,08/12/2018,Wolfsburg,Hoffenheim,2,2,10,19,3,6,6,4,9,9,1,2,0,0,D,2,1,H,3,3.6,2.3,3,3.5,2.3,2.9,3.4,2.4
bundesliga,2018-2019,09/12/2018,Mainz,Hannover,1,1,28,11,5,3,9,1,12,9,4,3,0,1,D,0,1,A,1.9,3.6,4,1.91,3.6,4,2,3.5,3.7
bundesliga,2018-2019,09/12/2018,M'gladbach,Stuttgart,3,0,23,7,7,2,7,4,7,12,2,4,0,1,H,0,0,D,1.44,4.33,7,1.5,4.33,6.5,1.45,4.5,7
bundesliga,2018-2019,14/12/2018,Nurnberg,Wolfsburg,0,2,11,10,0,4,6,3,13,13,2,1,0,0,A,0,0,D,3.6,3.5,2.04,3.6,3.4,2.1,3.4,3.4,2.15
bundesliga,2018-2019,15/12/2018,Augsburg,Schalke 04,1,1,17,15,9,5,6,7,17,8,2,1,0,0,D,1,0,H,2.5,3.25,2.9,2.55,3.3,2.8,2.65,3.4,2.65
bundesliga,2018-2019,15/12/2018,Dortmund,Werder Bremen,2,1,16,9,9,5,4,10,11,14,1,4,0,0,H,2,1,H,1.36,5.25,8,1.42,4.75,7.25,1.4,4.8,7.6
bundesliga,2018-2019,15/12/2018,Fortuna Dusseldorf,Freiburg,2,0,20,6,8,2,4,1,13,9,2,1,0,0,H,0,0,D,2.75,3.3,2.6,2.6,3.5,2.65,2.65,3.4,2.65
