league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
la-liga,2016-2017,05/11/16,Granada,La Coruna,1,1,14,13,6,5,7,6,11,7,1,2,0,0,D,0,0,D,2.6,3.2,2.8,2.55,3.2,2.9,2.6,3.25,2.75
la-liga,2016-2017,05/11/16,Las Palmas,Eibar,1,0,16,13,6,5,7,4,10,20,1,4,0,0,H,0,0,D,1.91,3.5,4,1.95,3.5,3.9,2.05,3.3,3.8
la-liga,2016-2017,05/11/16,Osasuna,Alaves,0,1,10,12,4,3,3,4,18,10,5,2,0,0,A,0,0,D,2.25,3.2,3.4,2.25,3.25,3.4,2.2,3.2,3.45
la-liga,2016-2017,05/11/16,Sociedad,Ath Madrid,2,0,12,9,3,2,6,6,18,20,2,4,0,0,H,0,0,D,5.75,3.6,1.67,5,3.6,1.75,5,3.7,1.7
la-liga,2016-2017,06/11/16,Celta,Valencia,2,1,7,13,4,4,4,3,19,15,6,1,0,0,H,1,1,D,2.25,3.4,3.2,2.25,3.4,3.2,2.3,3.3,3.15
la-liga,2016-2017,06/11/16,Espanol,Ath Bilbao,0,0,6,4,3,0,5,3,13,11,1,2,0,0,D,0,0,D,3,3.2,2.5,2.85,3.3,2.5,2.85,3.3,2.5
la-liga,2016-2017,06/11/16,Real Madrid,Leganes,3,0,17,7,7,3,2,2,7,20,3,5,0,0,H,2,0,H,1.07,13,23,1.07,12.5,31,1.05,13,36
la-liga,2016-2017,06/11/16,Sevilla,Barcelona,1,2,15,14,4,7,3,5,18,12,4,6,0,0,A,1,1,D,5.25,4.2,1.62,5,4.33,1.62,5.3,3.8,1.65
la-liga,2016-2017,06/11/16,Villarreal,Betis,2,0,15,7,7,3,10,1,16,12,0,2,0,0,H,1,0,H,1.5,4.2,7,1.53,4,7,1.5,4.2,6.5
la-liga,2016-2017,18/11/16,Betis,Las Palmas,2,0,10,9,3,3,4,5,22,10,0,1,0,0,H,2,0,H,2.35,3.4,3.1,2.35,3.3,3.1,2.4,3.3,2.95
la-liga,2016-2017,19/11/16,Ath Madrid,Real Madrid,0,3,16,12,5,7,8,6,21,14,4,2,0,0,A,0,1,A,2.5,3.3,2.9,2.5,3.3,2.85,2.5,3.3,2.85
la-liga,2016-2017,19/11/16,Barcelona,Malaga,0,0,28,4,8,1,14,1,13,12,0,2,0,2,D,0,0,D,1.13,9,21,1.12,9,21,1.12,9,20
la-liga,2016-2017,19/11/16,Eibar,Celta,1,0,12,6,5,2,7,0,11,13,2,5,0,2,H,1,0,H,2.38,3.25,3.1,2.3,3.3,3.2,2.5,3.3,2.85
la-liga,2016-2017,19/11/16,La Coruna,Sevilla,2,3,4,20,3,7,3,14,15,12,3,2,0,0,A,2,1,H,3.3,3.4,2.2,3.4,3.3,2.2,3.3,3.35,2.2
la-liga,2016-2017,20/11/16,Alaves,Espanol,0,1,10,10,4,3,2,5,20,14,5,2,0,0,A,0,0,D,2.5,3.1,3.1,2.45,3.1,3.1,2.5,3.1,3
la-liga,2016-2017,20/11/16,Ath Bilbao,Villarreal,1,0,12,6,5,2,6,5,13,17,0,2,0,0,H,0,0,D,2.15,3.3,3.5,2.1,3.25,3.7,2,3.4,3.8
la-liga,2016-2017,20/11/16,Sp Gijon,Sociedad,1,3,4,20,1,9,3,5,17,9,2,1,0,0,A,1,1,D,3.4,3.3,2.2,3.3,3.3,2.25,3.35,3.3,2.2
la-liga,2016-2017,20/11/16,Valencia,Granada,1,1,14,9,7,5,11,2,7,18,1,5,0,0,D,0,1,A,1.33,5.5,8.5,1.34,5.25,9,1.4,4.8,7.5
la-liga,2016-2017,21/11/16,Leganes,Osasuna,2,0,15,5,5,2,3,2,13,17,2,3,0,0,H,1,0,H,1.85,3.5,4.5,1.87,3.4,4.5,1.9,3.5,4.1
la-liga,2016-2017,25/11/16,Eibar,Betis,3,1,16,7,9,2,5,1,11,7,0,1,0,1,H,2,0,H,1.95,3.4,4.2,1.95,3.4,4.1,2,3.4,3.8
la-liga,2016-2017,26/11/16,Espanol,Leganes,3,0,8,8,4,3,3,4,19,16,1,2,0,0,H,0,0,D,1.85,3.4,4.75,1.83,3.4,4.75,1.85,3.5,4.3
la-liga,2016-2017,26/11/16,Malaga,La Coruna,4,3,10,24,4,8,2,5,15,13,3,1,0,0,H,2,1,H,2,3.25,4.2,2,3.3,4.1,1.85,3.5,4.3
la-liga,2016-2017,26/11/16,Real Madrid,Sp Gijon,2,1,19,9,7,3,5,6,19,18,1,3,0,0,H,2,1,H,1.06,13,34,1.07,15.5,21,1.05,13,36
la-liga,2016-2017,26/11/16,Sevilla,Valencia,2,1,6,10,1,4,3,6,19,14,0,1,0,0,H,0,0,D,1.73,3.75,5,1.75,3.75,4.75,1.75,3.6,4.8
la-liga,2016-2017,27/11/16,Celta,Granada,3,1,16,7,6,1,5,0,4,15,0,3,0,0,H,2,0,H,1.53,4,7,1.53,4.1,6.5,1.5,4.2,6.5
la-liga,2016-2017,27/11/16,Osasuna,Ath Madrid,0,3,11,7,1,5,7,4,9,6,2,2,0,0,A,0,2,A,11,5.25,1.3,10,5.5,1.3,8,5.3,1.35
la-liga,2016-2017,27/11/16,Sociedad,Barcelona,1,1,17,10,6,2,8,6,16,11,2,4,0,0,D,0,0,D,7,4.75,1.44,6.25,4.4,1.5,5.2,4.2,1.6
la-liga,2016-2017,27/11/16,Villarreal,Alaves,0,2,23,10,10,7,12,1,11,19,2,3,0,0,A,0,2,A,1.5,4,7.5,1.53,3.9,7,1.5,4.2,6.5
la-liga,2016-2017,28/11/16,Las Palmas,Ath Bilbao,3,1,10,10,4,3,5,3,19,21,3,4,0,1,H,1,0,H,2.5,3.4,2.8,2.55,3.4,2.75,2.4,3.3,2.95
la-liga,2016-2017,03/12/16,Ath Madrid,Espanol,0,0,11,5,3,3,9,2,10,19,2,2,0,0,D,0,0,D,1.22,6,15,1.25,6,12.5,1.3,5.5,9.5
la-liga,2016-2017,03/12/16,Barcelona,Real Madrid,1,1,11,14,2,5,5,7,19,16,4,2,0,0,D,0,0,D,1.85,4.2,4.2,1.87,4.1,4,1.85,3.8,4
la-liga,2016-2017,03/12/16,Granada,Sevilla,2,1,11,17,6,6,4,8,18,16,5,2,0,0,H,1,0,H,4.75,3.5,1.8,4.5,3.7,1.78,4.3,3.5,1.85
la-liga,2016-2017,03/12/16,Leganes,Villarreal,0,0,11,9,4,3,2,4,21,16,6,3,0,0,D,0,0,D,3.8,2.9,2.25,3.5,3.2,2.2,2.95,3.3,2.4
la-liga,2016-2017,04/12/16,Alaves,Las Palmas,1,1,9,10,2,3,3,5,15,11,3,3,0,0,D,1,0,H,2.5,3.2,3,2.5,3.25,2.9,2.4,3.2,3.05
la-liga,2016-2017,04/12/16,Ath Bilbao,Eibar,3,1,12,10,5,4,2,2,9,16,1,4,0,0,H,1,0,H,1.85,3.4,4.75,1.85,3.4,4.75,1.75,3.7,4.7
la-liga,2016-2017,04/12/16,Betis,Celta,3,3,16,13,5,6,4,3,22,14,4,1,1,0,D,1,1,D,2.38,3.25,3.1,2.35,3.3,3.1,2.4,3.3,2.95
la-liga,2016-2017,04/12/16,Sp Gijon,Osasuna,3,1,9,15,5,2,2,5,17,13,3,1,0,0,H,1,0,H,2,3.3,4,2.05,3.3,3.8,2.15,3.2,3.6
