league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
serie-a,2018-2019,30/09/2018,Bologna,Udinese,2,1,11,10,6,2,3,4,7,12,2,4,0,0,H,1,1,D,2.5,3.1,3.1,2.65,2.95,3,2.5,3.1,3
serie-a,2018-2019,30/09/2018,Chievo,Torino,0,1,8,13,3,5,3,8,15,17,3,3,0,0,A,0,0,D,3.75,3.2,2.1,3.6,3.5,2.05,3.8,3.2,2.1
serie-a,2018-2019,30/09/2018,Fiorentina,Atalanta,2,0,6,11,4,4,5,6,12,10,3,3,0,0,H,0,0,D,2.25,3.3,3.25,2.25,3.4,3.2,2.3,3.3,3.15
serie-a,2018-2019,30/09/2018,Frosinone,Genoa,1,2,13,7,6,5,5,2,21,18,3,2,0,0,A,1,2,A,3.5,3.1,2.25,3.4,3.2,2.25,3.6,3.2,2.15
serie-a,2018-2019,30/09/2018,Parma,Empoli,1,0,7,10,3,6,2,12,13,8,2,3,0,0,H,1,0,H,2.3,3.2,3.3,2.2,3.3,3.4,2.3,3.2,3.3
serie-a,2018-2019,30/09/2018,Sassuolo,Milan,1,4,8,10,2,10,9,5,14,11,1,1,0,0,A,0,1,A,3.3,3.4,2.2,3.3,3.5,2.15,3.4,3.3,2.2
serie-a,2018-2019,01/10/2018,Sampdoria,Spal,2,1,16,10,9,4,6,5,13,18,3,3,0,0,H,1,1,D,1.8,3.6,4.33,1.85,3.75,4.1,1.8,3.6,4.5
serie-a,2018-2019,05/10/2018,Torino,Frosinone,3,2,15,8,10,4,2,4,16,17,3,3,0,0,H,1,0,H,1.36,4.75,9,1.4,4.4,9,1.4,4.8,7.6
serie-a,2018-2019,06/10/2018,Cagliari,Bologna,2,0,8,10,5,4,4,4,8,16,2,4,0,0,H,1,0,H,2.04,3.25,3.8,2.05,3.3,3.9,2.05,3.2,3.9
serie-a,2018-2019,06/10/2018,Empoli,Roma,0,2,11,7,4,4,4,3,13,10,2,1,0,0,A,0,1,A,5.5,4,1.61,5.25,4,1.65,5,4,1.65
serie-a,2018-2019,06/10/2018,Udinese,Juventus,0,2,5,13,4,7,4,8,14,13,3,1,0,0,A,0,2,A,9,4.75,1.36,9,5,1.36,7.6,4.8,1.4
serie-a,2018-2019,07/10/2018,Atalanta,Sampdoria,0,1,15,6,6,3,9,4,17,13,2,4,0,0,A,0,0,D,1.6,4,5.5,1.57,4.1,5.75,1.75,3.8,4.6
serie-a,2018-2019,07/10/2018,Genoa,Parma,1,3,20,7,13,5,9,7,9,9,1,1,0,0,A,1,3,A,1.75,3.75,4.75,1.8,3.6,4.6,1.85,3.5,4.4
serie-a,2018-2019,07/10/2018,Lazio,Fiorentina,1,0,11,10,5,6,5,6,18,10,5,3,0,0,H,1,0,H,1.85,3.75,4.2,1.87,3.6,4.2,1.8,3.6,4.5
serie-a,2018-2019,07/10/2018,Milan,Chievo,3,1,14,4,7,2,12,7,9,12,1,1,0,0,H,2,0,H,1.25,5.75,12,1.3,5.5,10.5,1.33,5.5,8.4
serie-a,2018-2019,07/10/2018,Napoli,Sassuolo,2,0,12,10,7,7,4,4,11,8,2,2,0,1,H,1,0,H,1.33,5.25,9,1.35,5.25,8.5,1.37,5,8
serie-a,2018-2019,07/10/2018,Spal,Inter,1,2,9,6,6,4,10,9,13,20,6,2,0,0,A,0,1,A,6,3.8,1.61,5.5,3.7,1.67,5.3,3.9,1.65
serie-a,2018-2019,20/10/2018,Juventus,Genoa,1,1,13,5,4,2,8,2,10,15,1,3,0,0,D,1,0,H,1.2,7,13,1.22,6.25,14,1.21,6.6,13.5
serie-a,2018-2019,20/10/2018,Roma,Spal,0,2,13,5,9,5,8,9,14,5,3,5,0,1,A,0,1,A,1.33,5.5,8.5,1.35,5.25,8.5,1.33,5.4,8.7
serie-a,2018-2019,20/10/2018,Udinese,Napoli,0,3,7,9,4,4,3,5,11,9,3,4,0,0,A,0,1,A,6,3.9,1.6,6,4,1.57,5.8,4,1.6
serie-a,2018-2019,21/10/2018,Bologna,Torino,2,2,6,12,3,8,3,4,9,21,2,2,0,0,D,0,1,A,3.4,3.3,2.2,3.2,3.3,2.3,3.45,3.2,2.25
serie-a,2018-2019,21/10/2018,Chievo,Atalanta,1,5,3,15,2,8,1,2,12,15,3,1,1,0,A,0,2,A,6,4,1.57,5.5,4,1.62,5,3.75,1.7
serie-a,2018-2019,21/10/2018,Fiorentina,Cagliari,1,1,7,8,3,5,6,7,13,19,0,2,0,0,D,0,0,D,1.5,4.5,6,1.55,4.2,6,1.55,4.15,6.1
serie-a,2018-2019,21/10/2018,Frosinone,Empoli,3,3,5,15,4,10,6,8,13,16,2,3,0,0,D,1,1,D,2.9,3.25,2.5,3,3.2,2.5,2.9,3.25,2.5
serie-a,2018-2019,21/10/2018,Inter,Milan,1,0,14,9,7,2,9,4,13,7,2,5,0,0,H,0,0,D,2.45,3.25,3,2.4,3.25,3.1,2.35,3.35,3.05
serie-a,2018-2019,21/10/2018,Parma,Lazio,0,2,3,15,1,9,2,8,5,11,2,3,0,0,A,0,0,D,5.5,3.8,1.66,5.25,4,1.65,4.4,3.7,1.8
serie-a,2018-2019,22/10/2018,Sampdoria,Sassuolo,0,0,7,7,2,2,4,3,10,18,2,3,0,0,D,0,0,D,2.2,3.3,3.4,2.15,3.4,3.4,2.1,3.55,3.35
serie-a,2018-2019,27/10/2018,Atalanta,Parma,3,0,21,9,14,5,6,6,6,8,0,2,0,0,H,0,0,D,1.33,5.25,9,1.36,5.25,7.75,1.45,4.5,7
serie-a,2018-2019,27/10/2018,Empoli,Juventus,1,2,6,12,4,7,6,10,13,17,2,3,0,0,A,1,0,H,12,5.75,1.25,11,6,1.26,11,6.1,1.25
serie-a,2018-2019,27/10/2018,Torino,Fiorentina,1,1,12,8,4,5,4,5,13,20,2,4,0,0,D,1,1,D,2.4,3.25,3.1,2.5,3.3,2.9,2.4,3.3,3
serie-a,2018-2019,28/10/2018,Cagliari,Chievo,2,1,12,12,4,5,8,2,16,15,1,6,0,0,H,1,0,H,1.61,3.8,6,1.67,3.75,5.5,1.65,3.8,5.4
serie-a,2018-2019,28/10/2018,Genoa,Udinese,2,2,11,11,5,8,4,8,17,18,5,4,1,0,D,1,0,H,2.1,3.2,3.8,2.15,3.1,3.75,2.1,3.25,3.75
serie-a,2018-2019,28/10/2018,Milan,Sampdoria,3,2,8,3,7,2,5,1,11,9,3,2,0,0,H,2,2,D,1.5,4.33,6.5,1.53,4.33,6,1.55,4.25,5.8
serie-a,2018-2019,28/10/2018,Napoli,Roma,1,1,18,7,6,5,17,3,7,6,0,5,0,0,D,0,1,A,1.72,3.75,4.75,1.78,3.7,4.6,1.8,3.7,4.4
serie-a,2018-2019,28/10/2018,Sassuolo,Bologna,2,2,11,10,6,6,9,5,20,19,2,3,0,0,D,1,1,D,1.9,3.25,4.5,1.91,3.4,4.25,2,3.4,3.8
serie-a,2018-2019,28/10/2018,Spal,Frosinone,0,3,10,5,5,4,9,1,15,11,3,6,0,0,A,0,1,A,1.8,3.75,4.5,1.8,3.5,4.75,1.77,3.55,4.95
serie-a,2018-2019,29/10/2018,Lazio,Inter,0,3,11,13,4,7,7,6,14,10,3,3,0,0,A,0,2,A,2.4,3.4,3,2.35,3.5,2.95,2.35,3.45,3
serie-a,2018-2019,31/10/2018,Milan,Genoa,2,1,19,7,10,2,7,2,11,17,2,2,0,0,H,1,0,H,1.44,4.5,7.5,1.48,4.4,7,1.45,4.4,7.2
serie-a,2018-2019,02/11/2018,Napoli,Empoli,5,1,19,8,13,4,0,7,8,7,0,2,0,0,H,2,0,H,1.2,7,15,1.22,6.75,12.5,1.3,5.5,9.6
serie-a,2018-2019,03/11/2018,Fiorentina,Roma,1,1,11,11,3,6,3,6,9,20,3,3,0,0,D,1,0,H,2.7,3.4,2.6,2.65,3.3,2.7,2.7,3.3,2.6
serie-a,2018-2019,03/11/2018,Inter,Genoa,5,0,17,8,10,3,11,6,7,15,2,3,0,0,H,2,0,H,1.36,5,9,1.36,5.25,8.25,1.45,4.5,7.1
serie-a,2018-2019,03/11/2018,Juventus,Cagliari,3,1,11,4,5,3,5,4,10,15,1,3,0,0,H,2,1,H,1.16,7.5,17,1.16,7.75,18,1.17,7.5,15
serie-a,2018-2019,04/11/2018,Bologna,Atalanta,1,2,9,12,5,6,1,4,7,12,1,2,0,0,A,1,0,H,5,3.7,1.72,4.75,3.7,1.75,4.85,3.8,1.7
serie-a,2018-2019,04/11/2018,Chievo,Sassuolo,0,2,1,8,1,4,3,2,20,16,5,2,1,0,A,0,1,A,3.6,3.4,2.1,3.6,3.4,2.1,3.6,3.35,2.1
serie-a,2018-2019,04/11/2018,Lazio,Spal,4,1,18,5,11,3,8,4,7,8,1,3,0,0,H,2,1,H,1.33,5.25,10,1.34,5.25,9,1.35,5.2,8.8
