league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
epl,2017-2018,30/09/2017,Bournemouth,Leicester,0,0,19,8,4,1,7,5,6,10,1,0,0,0,D,0,0,D,G Scott,2.8,3.25,2.5,2.7,3.3,2.5,2.65,3.3,2.65
epl,2017-2018,30/09/2017,Chelsea,Man City,0,1,4,17,2,6,4,8,8,13,0,2,0,0,A,0,0,D,M Atkinson,2.75,3.3,2.5,2.75,3.5,2.5,2.65,3.3,2.65
epl,2017-2018,30/09/2017,Huddersfield,Tottenham,0,4,6,14,1,7,4,7,7,4,1,1,0,0,A,0,3,A,N Swarbrick,8.5,4.75,1.36,8,4.75,1.36,7,4.5,1.45
epl,2017-2018,30/09/2017,Man United,Crystal Palace,4,0,18,6,7,1,6,5,6,9,0,0,0,0,H,2,0,H,M Dean,1.17,7,15,1.15,7,16.5,1.17,7.5,15
epl,2017-2018,30/09/2017,Stoke,Southampton,2,1,17,21,6,3,5,6,11,10,1,2,0,0,H,1,0,H,M Jones,2.88,3.2,2.45,2.8,3.2,2.5,2.7,3.15,2.7
epl,2017-2018,30/09/2017,West Brom,Watford,2,2,9,15,4,3,7,6,12,11,3,0,0,0,D,2,1,H,M Oliver,2.15,3.2,3.5,2.15,3.1,3.5,2.25,3.35,3.2
epl,2017-2018,30/09/2017,West Ham,Swansea,1,0,9,6,4,1,2,1,15,13,3,2,0,0,H,0,0,D,R East,1.8,3.5,4.5,1.8,3.4,4.5,1.9,3.5,4.1
epl,2017-2018,01/10/2017,Arsenal,Brighton,2,0,25,9,12,1,6,5,7,8,0,2,0,0,H,1,0,H,K Friend,1.2,6.5,13,1.22,6,12,1.25,6.5,10
epl,2017-2018,01/10/2017,Everton,Burnley,0,1,23,5,4,2,9,3,14,7,2,2,0,0,A,0,1,A,J Moss,1.67,3.6,5.75,1.62,3.7,5.5,1.7,3.7,5
epl,2017-2018,01/10/2017,Newcastle,Liverpool,1,1,8,17,5,2,1,5,11,6,1,1,0,0,D,1,1,D,C Pawson,5,3.8,1.67,5,4,1.67,4.6,3.75,1.75
epl,2017-2018,14/10/2017,Burnley,West Ham,1,1,20,8,5,6,7,4,11,14,2,2,0,1,D,0,1,A,S Attwell,2.75,3.25,2.8,2.65,3.25,2.75,2.6,3.3,2.7
epl,2017-2018,14/10/2017,Crystal Palace,Chelsea,2,1,14,15,5,5,5,8,7,6,2,1,0,0,H,2,1,H,A Marriner,9,5,1.4,9,5,1.36,7.5,4.8,1.4
epl,2017-2018,14/10/2017,Liverpool,Man United,0,0,19,6,5,1,7,3,7,13,0,2,0,0,D,0,0,D,M Atkinson,2.8,3.25,2.8,2.7,3.3,2.65,2.65,3.3,2.65
epl,2017-2018,14/10/2017,Man City,Stoke,7,2,20,5,11,1,5,0,5,8,0,1,0,0,H,3,1,H,C Pawson,1.14,9.5,21,1.14,9,16,1.17,7.5,15
epl,2017-2018,14/10/2017,Swansea,Huddersfield,2,0,7,7,3,2,5,3,12,16,1,5,0,0,H,1,0,H,P Tierney,2.2,3.25,3.75,2.15,3.1,3.8,2.1,3.4,3.5
epl,2017-2018,14/10/2017,Tottenham,Bournemouth,1,0,18,5,6,1,9,5,9,7,1,3,0,0,H,0,0,D,R Madley,1.2,8,15,1.19,7.25,14,1.25,6,11
epl,2017-2018,14/10/2017,Watford,Arsenal,2,1,11,9,2,6,2,5,8,10,1,0,0,0,H,0,1,A,N Swarbrick,5.25,4.33,1.65,5.25,4.1,1.62,4.6,3.7,1.75
epl,2017-2018,15/10/2017,Brighton,Everton,1,1,12,13,3,6,7,1,12,10,4,1,0,0,D,0,0,D,M Oliver,3.25,3.3,2.4,3.2,3.2,2.35,2.95,3.3,2.4
epl,2017-2018,15/10/2017,Southampton,Newcastle,2,2,12,19,2,5,3,8,11,12,1,2,0,0,D,0,1,A,K Friend,1.91,3.6,4.5,1.85,3.5,4.5,1.8,3.6,4.5
epl,2017-2018,16/10/2017,Leicester,West Brom,1,1,11,5,3,1,4,1,13,6,2,2,0,0,D,0,0,D,M Dean,2.05,3.4,4.2,2,3.3,4.1,1.9,3.5,4.1
epl,2017-2018,20/10/2017,West Ham,Brighton,0,3,16,7,2,5,10,3,5,13,1,0,0,0,A,0,2,A,M Atkinson,1.83,3.5,5.25,1.8,3.5,4.75,1.85,3.5,4.3
epl,2017-2018,21/10/2017,Chelsea,Watford,4,2,14,16,8,5,6,6,13,16,2,3,0,0,H,1,1,D,J Moss,1.36,5.25,10,1.35,5,9.25,1.35,5.3,8
epl,2017-2018,21/10/2017,Huddersfield,Man United,2,1,5,9,3,3,4,7,10,12,4,2,0,0,H,2,0,H,L Mason,11,5,1.36,9.5,5.25,1.33,8,5.3,1.35
epl,2017-2018,21/10/2017,Man City,Burnley,3,0,15,6,10,0,4,5,10,6,2,3,0,0,H,1,0,H,R East,1.11,12,26,1.09,11,26,1.15,7.5,18
epl,2017-2018,21/10/2017,Newcastle,Crystal Palace,1,0,7,10,3,0,3,5,12,14,4,2,0,0,H,0,0,D,S Attwell,2,3.5,4.2,1.95,3.4,4.1,1.9,3.5,4.1
epl,2017-2018,21/10/2017,Southampton,West Brom,1,0,20,7,6,2,8,3,10,8,0,1,0,0,H,0,0,D,G Scott,1.85,3.39,5.25,1.8,3.4,5,1.9,3.5,4.1
epl,2017-2018,21/10/2017,Stoke,Bournemouth,1,2,10,7,2,3,8,3,17,10,0,1,0,0,A,0,2,A,L Probert,2.14,3.5,3.6,2.2,3.3,3.4,2,3.4,3.8
epl,2017-2018,21/10/2017,Swansea,Leicester,1,2,19,11,4,6,7,6,6,9,0,1,0,0,A,0,1,A,M Oliver,2.79,3.25,2.75,2.75,3.25,2.65,2.4,3.3,2.95
epl,2017-2018,22/10/2017,Everton,Arsenal,2,5,8,30,3,14,0,7,14,14,1,1,1,0,A,1,1,D,C Pawson,3.79,3.6,2.04,3.9,3.6,1.95,3.8,3.4,2
