league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
bundesliga,2019-2020,21/09/2019,Hertha,Paderborn,2,1,6,17,4,8,1,8,13,15,4,4,0,0,H,1,0,H,1.7,4,4.75,1.7,4,4.75,1.8,3.9,4.1,1.44,2.75,1.95,1.98,1.6,4.2,5.25,1.62,4.25,5,1.75,3.9,4.4,1.33,3.4,1.7,2.1
bundesliga,2019-2020,21/09/2019,Leverkusen,Union Berlin,2,0,20,4,7,0,8,1,10,10,0,1,0,1,H,2,0,H,1.36,5.5,7.5,1.36,5.25,8,1.35,5.3,8,1.44,2.75,2.06,1.87,1.33,5,8,1.36,5.25,7.75,1.43,5,6.5,1.36,3.2,1.99,1.94
bundesliga,2019-2020,21/09/2019,Werder Bremen,RB Leipzig,0,3,11,14,1,7,4,7,11,13,0,3,0,1,A,0,2,A,4.2,4.2,1.72,4.33,4.2,1.72,4.2,4.1,1.75,1.44,2.75,1.91,2.02,4.2,4.2,1.72,4.1,4.25,1.75,4.2,4.1,1.75,1.5,2.62,1.92,2.01
bundesliga,2019-2020,22/09/2019,M'gladbach,Fortuna Dusseldorf,2,1,23,18,11,4,10,4,14,11,2,3,0,0,H,0,1,A,1.66,4,5,1.67,4,5,1.67,4.15,4.55,1.53,2.5,1.91,2.02,1.72,3.8,4.5,1.75,3.9,4.5,1.75,3.9,4.4,1.61,2.3,2,1.93
bundesliga,2019-2020,22/09/2019,Ein Frankfurt,Dortmund,2,2,17,15,3,7,5,8,18,10,2,2,0,0,D,1,1,D,4.33,4,1.75,4.4,4.25,1.7,4.2,4.1,1.75,1.44,2.75,1.94,1.99,5.25,4.2,1.57,5,4.25,1.62,4.2,3.9,1.8,1.4,3,1.89,2.04
bundesliga,2019-2020,23/09/2019,Wolfsburg,Hoffenheim,1,1,12,11,4,5,4,6,11,18,2,4,0,0,D,1,1,D,1.95,3.75,3.75,1.95,3.9,3.5,1.93,3.9,3.6,1.53,2.5,1.97,1.96,2,3.75,3.4,2.1,3.6,3.4,2.1,3.6,3.35,1.61,2.3,1.85,2.08
bundesliga,2019-2020,27/09/2019,Union Berlin,Ein Frankfurt,1,2,12,14,5,6,4,5,11,12,1,1,0,0,A,0,0,D,3,3.5,2.3,3,3.6,2.3,3,3.5,2.3,1.57,2.37,1.9,2.03,2.8,3.6,2.37,2.9,3.5,2.4,2.85,3.5,2.4,1.66,2.2,1.81,2.13
bundesliga,2019-2020,28/09/2019,Augsburg,Leverkusen,0,3,8,11,1,5,1,3,16,9,4,0,0,0,A,0,1,A,5,4.5,1.6,5,4.5,1.6,4.55,4.5,1.63,1.4,3,1.85,2.08,4.5,4.2,1.7,4.33,4.2,1.72,4.3,4,1.75,1.53,2.5,1.95,1.98
bundesliga,2019-2020,28/09/2019,Hoffenheim,M'gladbach,0,3,17,11,4,5,2,5,10,11,2,2,0,0,A,0,1,A,2.5,3.5,2.75,2.45,3.5,2.8,2.6,3.5,2.6,1.57,2.37,2.1,1.83,2.7,3.4,2.55,2.6,3.6,2.55,2.5,3.5,2.75,1.66,2.2,2.08,1.85
bundesliga,2019-2020,28/09/2019,Mainz,Wolfsburg,0,1,15,4,5,3,10,1,9,15,2,3,0,0,A,0,1,A,2.9,3.5,2.37,2.8,3.5,2.45,2.9,3.55,2.35,1.72,2.1,1.82,2.11,2.87,3.5,2.4,2.75,3.5,2.5,2.8,3.5,2.45,1.72,2.1,1.72,2.07
bundesliga,2019-2020,28/09/2019,Paderborn,Bayern Munich,2,3,10,18,5,6,11,5,7,6,1,1,0,0,A,0,1,A,15,10,1.14,17,8.25,1.15,15.5,9,1.15,1.2,4.5,1.95,1.98,15,10,1.14,21,9.75,1.11,17,8,1.15,1.14,5.5,2.1,1.83
bundesliga,2019-2020,28/09/2019,RB Leipzig,Schalke 04,1,3,17,13,6,8,8,4,13,11,1,1,0,0,A,0,2,A,1.53,4.33,6,1.55,4.25,6,1.57,4.45,5.3,1.53,2.5,1.95,1.98,1.53,4.33,5.5,1.57,4.33,5.5,1.57,4.3,5.5,1.57,2.37,2,1.93
bundesliga,2019-2020,28/09/2019,Dortmund,Werder Bremen,2,2,19,11,7,5,9,2,8,10,1,0,0,0,D,2,1,H,1.25,6.5,11,1.26,6.25,10.5,1.27,6,10,1.3,3.5,1.91,2.02,1.33,5.75,8.5,1.3,6,8.5,1.27,6,10,1.33,3.4,1.93,2
bundesliga,2019-2020,29/09/2019,Fortuna Dusseldorf,Freiburg,1,2,17,9,7,3,5,1,9,9,2,2,0,0,A,1,1,D,2.37,3.4,2.87,2.4,3.5,2.9,2.45,3.55,2.75,1.66,2.2,1.86,2.07,2.5,3.4,2.7,2.55,3.5,2.7,2.6,3.35,2.7,1.8,2,2.15,1.67
bundesliga,2019-2020,29/09/2019,FC Koln,Hertha,0,4,8,10,3,6,8,4,11,13,1,0,1,0,A,0,1,A,2.15,3.6,3.3,2.15,3.6,3.25,2.1,3.7,3.2,1.61,2.3,1.9,2.03,2.05,3.6,3.4,2.15,3.5,3.3,2.25,3.4,3.2,1.66,2.2,1.88,2.05
bundesliga,2019-2020,04/10/2019,Hertha,Fortuna Dusseldorf,3,1,16,9,3,3,9,2,17,18,3,3,0,0,H,2,1,H,1.65,4,4.75,1.67,4.2,4.75,1.8,3.7,4.4,1.57,2.37,1.86,2.07,1.61,4,5,1.67,4.2,4.75,1.7,3.8,5,1.53,2.5,1.83,2.1
bundesliga,2019-2020,05/10/2019,Bayern Munich,Hoffenheim,1,2,20,8,4,5,9,3,8,12,2,0,0,0,A,0,0,D,1.11,9,26,1.12,10,18.5,1.11,10,20,1.22,4.33,2.01,1.92,1.1,9.5,26,1.12,9.75,18,1.12,9,20,1.16,5,1.94,1.99
bundesliga,2019-2020,05/10/2019,Freiburg,Dortmund,2,2,6,8,1,4,3,11,10,8,0,3,0,0,D,0,1,A,5.75,4.2,1.57,5.25,4.5,1.57,4.8,4.2,1.65,1.44,2.75,1.92,2.01,5.5,4,1.6,5,4.25,1.62,4.7,4,1.7,1.66,2.2,1.77,2.02
bundesliga,2019-2020,05/10/2019,Leverkusen,RB Leipzig,1,1,11,11,8,5,4,0,11,12,2,2,0,0,D,0,0,D,2.25,3.5,3.1,2.3,3.8,2.85,2.5,3.7,2.6,1.53,2.5,2.06,1.87,2.3,3.6,2.87,2.4,3.7,2.75,2.3,3.7,2.85,1.53,2.5,2.05,1.75
bundesliga,2019-2020,05/10/2019,Paderborn,Mainz,1,2,16,18,7,7,7,10,8,18,1,4,0,0,A,1,2,A,2.5,3.5,2.8,2.55,3.6,2.65,2.6,3.5,2.6,1.44,2.75,1.9,2.03,2.45,3.6,2.75,2.45,3.9,2.6,2.6,3.5,2.6,1.36,3.2,2.15,1.67
bundesliga,2019-2020,05/10/2019,Schalke 04,FC Koln,1,1,15,9,3,5,6,4,15,15,4,4,0,0,D,0,0,D,1.57,4.33,5.5,1.62,4.1,5.25,1.6,4.2,5.3,1.57,2.37,2.13,1.81,1.6,4.33,5.25,1.6,4.25,5.25,1.7,4,4.7,1.57,2.37,1.7,2.1
bundesliga,2019-2020,06/10/2019,M'gladbach,Augsburg,5,1,13,13,9,3,2,7,9,9,1,2,0,0,H,4,0,H,1.5,4.33,6.5,1.53,4.4,6,1.55,4.55,5.5,1.5,2.62,1.89,2.04,1.53,4.2,6.5,1.53,4.4,6,1.57,4.2,5.6,1.44,2.75,1.91,2.02
bundesliga,2019-2020,06/10/2019,Wolfsburg,Union Berlin,1,0,13,14,4,3,5,4,17,15,2,2,0,0,H,0,0,D,1.66,4,5,1.65,4,5.25,1.67,3.95,5,1.72,2.1,1.89,2.04,1.9,3.6,4,1.83,3.6,4.4,1.8,3.6,4.5,1.9,1.9,2.01,1.92
bundesliga,2019-2020,06/10/2019,Ein Frankfurt,Werder Bremen,2,2,24,11,7,5,10,1,12,8,2,1,0,0,D,0,1,A,2.1,3.6,3.4,2.15,3.7,3.2,2.2,3.75,3,1.53,2.5,1.94,1.99,1.9,3.8,3.5,2.05,3.7,3.4,2,3.65,3.65,1.44,2.75,2.02,1.91
bundesliga,2019-2020,18/10/2019,Ein Frankfurt,Leverkusen,3,0,10,19,5,10,4,1,11,12,1,1,0,0,H,2,0,H,2.75,3.9,2.3,2.85,3.75,2.3,2.8,3.6,2.4,1.53,2.5,1.87,2.06,2.7,3.8,2.37,2.75,3.7,2.4,2.8,3.6,2.4,1.53,2.5,1.75,2.05
bundesliga,2019-2020,19/10/2019,Augsburg,Bayern Munich,2,2,9,24,7,9,3,7,10,6,3,3,0,0,D,1,1,D,15,8,1.16,16,7.75,1.17,13,7,1.2,1.28,3.75,2.05,1.88,17,8.5,1.14,20,8.5,1.13,13,7,1.2,1.25,4,1.96,1.97
bundesliga,2019-2020,19/10/2019,Fortuna Dusseldorf,Mainz,1,0,20,7,4,1,8,1,10,17,2,4,0,1,H,0,0,D,2.55,3.4,2.62,2.45,3.6,2.75,2.6,3.4,2.65,1.66,2.2,1.95,1.98,2.55,3.4,2.62,2.65,3.5,2.6,2.65,3.35,2.65,1.57,2.37,2.03,1.9
bundesliga,2019-2020,19/10/2019,RB Leipzig,Wolfsburg,1,1,13,14,5,6,3,3,10,9,1,3,0,0,D,0,0,D,1.53,4.5,5.75,1.55,4.2,6,1.57,4.2,5.6,1.61,2.3,1.93,2,1.53,4.5,5.5,1.53,4.33,6,1.57,4.2,5.6,1.57,2.37,1.93,2
bundesliga,2019-2020,19/10/2019,Union Berlin,Freiburg,2,0,18,12,5,4,3,4,21,13,3,0,0,0,H,1,0,H,2.5,3.5,2.7,2.4,3.6,2.8,2.6,3.3,2.75,1.9,1.9,1.94,1.99,2.55,3.3,2.7,2.6,3.4,2.7,2.65,3.35,2.65,1.9,1.9,1.92,2.01
bundesliga,2019-2020,19/10/2019,Werder Bremen,Hertha,1,1,15,11,5,2,7,5,8,11,1,1,0,0,D,1,0,H,2.1,3.75,3.2,2.05,3.8,3.4,2.15,3.7,3.15,1.53,2.5,1.92,2.01,2.25,3.6,3,2.3,3.4,3.1,2.3,3.6,2.95,1.66,2.2,2.05,1.88
bundesliga,2019-2020,19/10/2019,Dortmund,M'gladbach,1,0,20,13,7,3,10,8,13,15,1,2,0,0,H,0,0,D,1.44,5,6.5,1.45,5,6.25,1.57,4.2,5.6,1.36,3.2,2,1.93,1.53,4.75,5,1.57,4.5,5.25,1.65,4.5,4.5,1.5,2.62,1.97,1.96
bundesliga,2019-2020,20/10/2019,FC Koln,Paderborn,3,0,16,9,6,1,6,9,6,7,0,0,0,0,H,1,0,H,1.65,4.5,4.33,1.67,4.2,4.6,1.75,4,4.3,1.36,3.2,1.87,2.06,1.65,4.5,4.33,1.67,4.4,4.4,1.7,4,4.6,1.25,4,1.92,2.01
bundesliga,2019-2020,20/10/2019,Hoffenheim,Schalke 04,2,0,9,11,3,1,3,8,12,14,2,2,0,0,H,0,0,D,2.75,3.4,2.55,2.65,3.6,2.55,2.7,3.5,2.5,1.72,2.1,2.03,1.9,2.62,3.6,2.55,2.65,3.6,2.55,2.6,3.5,2.6,1.72,2.1,1.98,1.95
bundesliga,2019-2020,25/10/2019,Mainz,FC Koln,3,1,18,16,6,8,5,10,20,9,2,2,0,0,H,1,1,D,2.5,3.6,2.62,2.55,3.5,2.7,2.6,3.35,2.7,1.57,2.37,1.9,2.03,2.55,3.6,2.55,2.55,3.6,2.6,2.65,3.4,2.65,1.53,2.5,1.97,1.96
bundesliga,2019-2020,26/10/2019,Bayern Munich,Union Berlin,2,1,21,6,10,4,8,2,9,15,0,1,0,0,H,1,0,H,1.09,12,19,1.11,11,16.5,1.12,9,20,1.22,4.33,2.03,1.9,1.09,12,19,1.1,11,21,1.12,9,20,1.22,4.33,1.96,1.97
bundesliga,2019-2020,26/10/2019,Freiburg,RB Leipzig,2,1,14,25,3,6,5,4,10,9,3,1,0,0,H,1,0,H,4,3.8,1.85,4.25,3.8,1.8,3.9,3.75,1.9,1.66,2.2,2,1.93,4.75,4.2,1.65,4.5,4,1.72,4,3.6,1.9,1.61,2.3,2.07,1.86
bundesliga,2019-2020,26/10/2019,Hertha,Hoffenheim,2,3,13,17,4,8,4,4,17,12,3,3,1,0,A,0,2,A,2.05,3.6,3.6,2.1,3.5,3.5,2.1,3.65,3.35,1.61,2.3,1.85,2.08,2,3.9,3.3,2.1,3.7,3.3,2.25,3.5,3.1,1.66,2.2,1.88,2.05
bundesliga,2019-2020,26/10/2019,Paderborn,Fortuna Dusseldorf,2,0,14,18,6,4,4,7,21,17,5,4,0,0,H,1,0,H,2.37,3.75,2.7,2.35,3.8,2.8,2.35,3.9,2.7,1.36,3.2,2.09,1.84,2.5,3.75,2.6,2.45,3.8,2.65,2.6,3.5,2.6,1.4,3,1.94,1.99
bundesliga,2019-2020,26/10/2019,Schalke 04,Dortmund,0,0,13,8,3,3,8,2,8,7,3,2,0,0,D,0,0,D,3.1,3.6,2.2,3.1,3.4,2.3,3.05,3.5,2.25,1.66,2.2,1.91,2.02,3.2,3.6,2.1,3.3,3.5,2.15,3.2,3.5,2.2,1.8,2,1.95,1.98
