league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
epl,2024-2025,21/09/2024,Tottenham,Brentford,3,1,23,6,10,6,9,4,11,9,3,1,0,0,H,2,1,H,J Brooks,1.55,4.5,5.5,1.53,4.75,5.5,1.44,2.75,1.89,2.01,1.48,5,6,1.47,4.8,6,1.36,3.2,2,1.93
epl,2024-2025,21/09/2024,Crystal Palace,Man United,0,0,9,15,4,6,4,11,7,12,3,1,0,0,D,0,0,D,D Coote,2.88,3.75,2.3,2.75,3.7,2.4,1.57,2.38,1.85,2.05,2.75,3.5,2.45,2.8,3.5,2.45,1.67,2.2,1.73,2.08
epl,2024-2025,22/09/2024,Brighton,Nott'm Forest,2,2,14,4,3,3,9,1,12,11,3,4,0,1,D,2,1,H,R Jones,1.75,3.75,4.75,1.78,3.8,4.4,1.86,2.04,2.04,1.86,1.8,3.7,4.33,1.85,3.7,4.2,1.8,2,2.03,1.78
epl,2024-2025,22/09/2024,Man City,Arsenal,2,2,33,5,11,3,8,2,7,10,3,4,0,1,D,1,2,A,M Oliver,1.8,3.6,4.5,1.8,3.6,4.6,2.04,1.86,2.07,1.83,1.75,3.5,5,1.8,3.5,4.8,2.05,1.85,2.06,1.87
epl,2024-2025,28/09/2024,Newcastle,Man City,1,1,11,16,4,6,5,6,14,10,4,4,0,0,D,0,1,A,J Gillett,5.25,4.33,1.6,5,4.33,1.61,1.5,2.63,1.89,2.01,4.75,4.1,1.67,5,4.2,1.65,1.57,2.38,2.05,1.88
epl,2024-2025,28/09/2024,Arsenal,Leicester,4,2,36,5,16,3,17,0,11,6,2,4,0,0,H,2,0,H,S Barrott,1.17,8,15,1.19,7.75,14,1.5,2.63,1.98,1.92,1.2,7.5,13,1.21,7,14.5,1.57,2.38,1.84,2.09
epl,2024-2025,28/09/2024,Brentford,West Ham,1,1,8,19,3,3,7,7,2,11,2,3,0,0,D,1,0,H,S Hooper,2.2,3.5,3.2,2.2,3.6,3.1,1.67,2.2,1.93,1.97,2.2,3.5,3.1,2.2,3.6,3.1,1.62,2.3,1.98,1.95
epl,2024-2025,28/09/2024,Chelsea,Brighton,4,2,15,15,7,5,8,2,11,8,3,2,0,0,H,4,2,H,P Bankes,1.73,4.2,4.2,1.71,4.1,4.5,1.5,2.63,1.95,1.95,1.75,4.2,4,1.77,4.1,4.2,1.44,2.75,2.03,1.9
epl,2024-2025,28/09/2024,Everton,Crystal Palace,2,1,8,17,2,5,5,8,13,11,2,1,0,0,H,0,1,A,A Madley,2.7,3.3,2.63,2.7,3.4,2.55,1.88,2.02,1.98,1.92,2.7,3.25,2.6,2.7,3.3,2.65,1.91,1.99,2.02,1.91
epl,2024-2025,28/09/2024,Nott'm Forest,Fulham,0,1,11,14,1,2,6,5,11,15,2,4,0,0,A,0,0,D,J Smith,2.38,3.3,3,2.37,3.3,3,2.02,1.88,2.06,1.84,2.55,3.1,2.9,2.5,3.2,3,2.2,1.67,1.83,2.1
epl,2024-2025,28/09/2024,Wolves,Liverpool,1,2,8,10,3,6,2,10,16,8,2,3,0,0,A,0,1,A,A Taylor,8,5.75,1.33,7.75,5.25,1.38,1.44,2.75,1.93,1.97,8,5.75,1.33,8.5,6,1.32,1.4,3,2.03,1.9
epl,2024-2025,29/09/2024,Ipswich,Aston Villa,2,2,15,7,5,3,10,0,10,14,4,1,0,0,D,1,2,A,S Attwell,4,3.75,1.85,3.9,3.7,1.9,1.73,2.1,2.01,1.89,3.5,3.5,2.1,3.6,3.6,2.05,1.8,2,1.75,2.05
epl,2024-2025,29/09/2024,Man United,Tottenham,0,3,11,24,2,10,5,3,16,14,5,3,1,0,A,0,1,A,C Kavanagh,2.35,3.75,2.75,2.3,3.9,2.8,1.44,2.75,2.08,1.82,2.05,3.9,3.2,2.1,3.8,3.25,1.44,2.75,1.87,2.06
epl,2024-2025,30/09/2024,Bournemouth,Southampton,3,1,14,9,6,3,7,4,19,12,2,5,0,0,H,3,0,H,M Oliver,1.65,4.1,5,1.65,4.2,5,1.5,2.63,1.83,2.07,1.48,4.33,6.5,1.53,4.5,5.75,1.57,2.38,1.78,2.03
epl,2024-2025,05/10/2024,Crystal Palace,Liverpool,0,1,9,16,5,4,3,8,7,15,4,2,0,0,A,0,1,A,S Hooper,6,4.5,1.5,6,4.6,1.5,1.57,2.38,2.05,1.75,5,4,1.67,4.8,4.1,1.66,1.67,2.2,2.05,1.88
epl,2024-2025,05/10/2024,Arsenal,Southampton,3,1,29,8,6,2,13,1,10,9,0,3,0,0,H,0,0,D,T Harrington,1.14,9,17,1.14,9.5,17,1.36,3.2,1.89,2.01,1.18,7.5,13,1.18,8,14.5,1.44,2.75,1.9,2.03
epl,2024-2025,05/10/2024,Brentford,Wolves,5,3,19,17,12,6,10,3,9,10,2,3,0,0,H,4,2,H,A Madley,2.05,3.6,3.4,2,3.6,3.6,1.73,2.1,1.85,2.05,2.1,3.5,3.4,2.05,3.6,3.4,1.73,2.1,2.05,1.75
epl,2024-2025,05/10/2024,Leicester,Bournemouth,1,0,6,17,2,2,0,9,12,14,4,1,0,0,H,1,0,H,D Bond,3.1,3.75,2.15,3.1,3.7,2.15,1.67,2.2,1.99,1.91,3.5,3.9,2,3.4,3.7,2.05,1.62,2.3,1.89,2.06
epl,2024-2025,05/10/2024,Man City,Fulham,3,2,20,11,7,4,8,3,4,10,2,1,0,0,H,1,1,D,P Bankes,1.25,7,9.5,1.24,6.75,11,1.44,2.75,1.9,2,1.25,6.5,10,1.27,6.25,10.5,1.5,2.63,2.02,1.91
epl,2024-2025,05/10/2024,West Ham,Ipswich,4,1,23,9,13,2,5,5,12,6,0,1,0,0,H,2,1,H,A Taylor,1.8,3.8,4.33,1.8,3.9,4.1,1.67,2.2,2.04,1.86,1.9,3.8,3.8,1.9,3.75,3.9,1.73,2.1,1.94,1.99
epl,2024-2025,05/10/2024,Everton,Newcastle,0,0,8,14,2,3,0,10,12,8,1,2,0,0,D,0,0,D,C Pawson,3.2,3.6,2.2,3.1,3.6,2.2,1.67,2.2,1.95,1.95,3.7,3.7,1.95,3.6,3.75,1.95,1.73,2.1,1.92,2.01
epl,2024-2025,06/10/2024,Aston Villa,Man United,0,0,11,10,1,4,6,3,12,11,1,5,0,0,D,0,0,D,R Jones,2.2,3.75,3,2.2,3.7,3,1.53,2.5,1.95,1.95,2.1,3.9,3.1,2.2,3.8,3,1.44,2.75,1.88,2.05
epl,2024-2025,06/10/2024,Chelsea,Nott'm Forest,1,1,22,16,8,9,11,3,12,11,6,2,0,1,D,0,0,D,C Kavanagh,1.48,4.5,6.5,1.47,4.6,6.25,1.57,2.38,2.05,1.85,1.48,4.5,6.5,1.5,4.5,6.25,1.57,2.38,2.09,1.84
epl,2024-2025,06/10/2024,Brighton,Tottenham,3,2,11,13,4,3,4,7,14,10,2,2,0,0,H,0,2,A,D Coote,2.9,4,2.2,2.85,4,2.25,1.4,3,1.93,1.97,2.9,3.9,2.15,2.85,3.8,2.25,1.4,3,1.94,1.99
