date,time_utc,player1,player2,surface,league,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,stake_units,stake_gbp,stake_model,bet_type,spread_line,spread_odds,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,shadow_reason,threshold_tier,signal_profile,clay_tournament_tier,clay_shadow_policy
2026-04-12,23:09:50,Yu Hsiou Hsu,Adam Walton,Hard,Challenger,ATP250,high,,,1.82,2.03,38.12,-51.06,P1+,38.12,2.0,200.0,flat_spread,spread,4.0,1.82,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-12,23:09:50,Tung-Lin Wu,Pawit Sornlaksup,Hard,Challenger,ATP250,high,,,1.833,1.99,-80.68,78.02,P2-,78.02,2.0,200.0,flat_spread,spread,-6.0,1.99,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-12,23:09:50,Taro Daniel,Patrick Zahraj,Hard,Challenger,ATP250,high,1.52,2.94,1.264,3.97,-16.84,35.03,P2,35.03,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-12,23:09:50,Taro Daniel,Patrick Zahraj,Hard,Challenger,ATP250,high,,,2.05,1.787,-60.22,44.03,P2-,44.03,2.0,200.0,flat_spread,spread,-5.0,1.787,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-12,23:09:50,Alexis Galarneau,Kaichi Uchida,Hard,Challenger,ATP250,high,1.62,2.6,1.33,3.48,-17.9,33.85,P2,33.85,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-12,23:09:50,Alexis Galarneau,Kaichi Uchida,Hard,Challenger,ATP250,high,,,1.877,1.962,-46.77,40.56,P2-,40.56,2.0,200.0,flat_spread,spread,-4.0,1.962,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-12,23:09:50,Alastair Gray,Alexandr Binda,Hard,Challenger,ATP250,high,,,1.769,2.05,-39.68,35.1,P2-,35.1,2.0,200.0,flat_spread,spread,-4.5,2.05,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-12,23:09:50,Uisung Park,Beibit Zhukayev,Hard,Challenger,ATP250,high,1.57,2.76,3.27,1.365,108.28,-50.54,P1,108.28,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-12,23:09:50,Uisung Park,Beibit Zhukayev,Hard,Challenger,ATP250,high,,,1.901,1.935,55.82,-65.11,P1+,55.82,2.0,200.0,flat_spread,spread,3.5,1.901,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-12,23:09:50,Buvaysar Gadamauri,Braden Shick,Hard,Challenger,ATP250,high,3.04,1.49,1.568,2.44,-48.42,63.76,P2,63.76,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-12,23:09:50,Buvaysar Gadamauri,Braden Shick,Hard,Challenger,ATP250,high,,,1.893,1.909,-41.26,31.66,P2-,31.66,2.0,200.0,flat_spread,spread,-2.5,1.909,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-12,23:09:50,Linang Xiao,Blake Ellis,Hard,Challenger,ATP250,high,2.36,1.74,3.22,1.356,36.44,-22.07,P1,36.44,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-12,23:09:50,Linang Xiao,Blake Ellis,Hard,Challenger,ATP250,high,,,1.926,1.877,34.97,-43.84,P1+,34.97,2.0,200.0,flat_spread,spread,3.5,1.926,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-12,23:09:50,Renta Tokuda,Hikaru Shiraishi,Hard,Challenger,ATP250,high,2.66,1.6,1.578,2.42,-40.68,51.25,P2,51.25,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-12,23:09:50,Renta Tokuda,Hikaru Shiraishi,Hard,Challenger,ATP250,high,,,1.917,1.885,-61.49,50.63,P2-,50.63,2.0,200.0,flat_spread,spread,-3.0,1.885,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-12,23:09:50,Kokoro Isomura,Leo Vithoontien,Hard,Challenger,ATP250,high,2.65,1.6,1.667,2.19,-37.09,36.87,P2,36.87,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
2026-04-12,23:09:50,Kokoro Isomura,Leo Vithoontien,Hard,Challenger,ATP250,high,,,1.893,1.877,-38.02,26.24,P2-,26.24,2.0,200.0,flat_spread,spread,-2.0,1.877,base,,,,False,False,False,none,none,non_policy,profile,volume_200,,
2026-04-12,23:09:50,James Kent Trotter,Kasidit Samrej,Hard,Challenger,ATP250,high,2.26,1.79,1.524,2.59,-32.57,44.69,P2,44.69,1.0,100.0,flat_match,match,,,base,,,,False,False,False,none,none,,profile,volume_200,,
