generated_utc,as_of_date,scope,eval_period,league_scope,window_days,source_file,policy_mode,bet_type,signals,settled,unsettled,wins,losses,invalid_odds,staked_units,pnl_units,roi_pct,win_rate_pct,avg_value_pct,avg_pin_odds
2026-04-13T23:01:41+00:00,2026-04-13,all_time,clean,ATP,7,strict-signals-volume200-archive.csv,base,ml,4,4,0,3,1,0,4.0000,2.6960,67.4000,75.0000,29.6400,2.4240
2026-04-13T23:01:41+00:00,2026-04-13,window,clean,ATP,7,strict-signals-volume200-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T23:01:41+00:00,2026-04-13,all_time,legacy,ATP,7,strict-signals-volume200-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T23:01:41+00:00,2026-04-13,all_time,clean,ATP,7,strict-signals-volume200-archive.csv,base,handicap,10,10,0,4,5,0,18.0000,-2.8000,-15.5556,44.4444,25.9900,1.8963
2026-04-13T23:01:41+00:00,2026-04-13,window,clean,ATP,7,strict-signals-volume200-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T23:01:41+00:00,2026-04-13,window,overall,Challenger,7,strict-signals-volume200-archive.csv,base,,80,47,33,12,33,0,73.0000,-30.5160,-41.8027,26.6667,51.8703,3.0512
2026-04-13T23:01:41+00:00,2026-04-13,all_time,overall,Challenger,7,strict-signals-volume200-archive.csv,base,,108,75,33,22,51,0,118.0000,-38.9460,-33.0051,30.1370,50.7474,3.0208
2026-04-13T23:01:41+00:00,2026-04-13,window,overall,Challenger,7,strict-signals-volume200-archive.csv,base,ml,31,17,14,3,14,0,17.0000,-8.5000,-50.0000,17.6471,51.8703,3.0512
2026-04-13T23:01:41+00:00,2026-04-13,all_time,overall,Challenger,7,strict-signals-volume200-archive.csv,base,ml,42,28,14,5,23,0,28.0000,-13.1800,-47.0714,17.8571,50.7474,3.0208
2026-04-13T23:01:41+00:00,2026-04-13,window,overall,Challenger,7,strict-signals-volume200-archive.csv,base,handicap,49,30,19,9,19,0,56.0000,-22.0160,-39.3143,32.1429,36.3406,1.9079
2026-04-13T23:01:41+00:00,2026-04-13,all_time,overall,Challenger,7,strict-signals-volume200-archive.csv,base,handicap,66,47,19,17,28,0,90.0000,-25.7660,-28.6289,37.7778,37.7823,1.9042
2026-04-13T23:01:41+00:00,2026-04-13,all_time,legacy,Challenger,7,strict-signals-volume200-archive.csv,base,,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T23:01:41+00:00,2026-04-13,all_time,clean,Challenger,7,strict-signals-volume200-archive.csv,base,,108,75,33,22,51,0,118.0000,-38.9460,-33.0051,30.1370,50.7474,3.0208
2026-04-13T23:01:41+00:00,2026-04-13,window,clean,Challenger,7,strict-signals-volume200-archive.csv,base,,80,47,33,12,33,0,73.0000,-30.5160,-41.8027,26.6667,51.8703,3.0512
2026-04-13T23:01:41+00:00,2026-04-13,all_time,legacy,Challenger,7,strict-signals-volume200-archive.csv,base,ml,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T23:01:41+00:00,2026-04-13,all_time,clean,Challenger,7,strict-signals-volume200-archive.csv,base,ml,42,28,14,5,23,0,28.0000,-13.1800,-47.0714,17.8571,50.7474,3.0208
2026-04-13T23:01:41+00:00,2026-04-13,window,clean,Challenger,7,strict-signals-volume200-archive.csv,base,ml,31,17,14,3,14,0,17.0000,-8.5000,-50.0000,17.6471,51.8703,3.0512
2026-04-13T23:01:41+00:00,2026-04-13,all_time,legacy,Challenger,7,strict-signals-volume200-archive.csv,base,handicap,0,0,0,0,0,0,0.0000,0.0000,,,,
2026-04-13T23:01:41+00:00,2026-04-13,all_time,clean,Challenger,7,strict-signals-volume200-archive.csv,base,handicap,66,47,19,17,28,0,90.0000,-25.7660,-28.6289,37.7778,37.7823,1.9042
2026-04-13T23:01:41+00:00,2026-04-13,window,clean,Challenger,7,strict-signals-volume200-archive.csv,base,handicap,49,30,19,9,19,0,56.0000,-22.0160,-39.3143,32.1429,36.3406,1.9079
