league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
serie-a,2025-2026,29/09/2025,Genoa,Lazio,0,3,17,10,5,6,6,0,18,16,5,1,0,0,A,0,2,A,3,3,2.6,2.95,3.1,2.5,2.3,1.62,2.05,1.8,2.8,2.9,2.8,2.9,2.95,2.65,2.63,1.5,1.98,1.88
serie-a,2025-2026,03/10/2025,Verona,Sassuolo,0,1,17,11,9,3,4,2,14,12,2,2,0,0,A,0,0,D,2.5,3.1,3,2.45,3.1,3,2.3,1.62,2.1,1.7,2.3,3,3.3,2.35,3.1,3.25,2.3,1.62,2,1.85
serie-a,2025-2026,04/10/2025,Lazio,Torino,3,3,9,16,4,8,3,5,13,22,3,3,0,0,D,2,1,H,1.7,3.6,5.25,1.73,3.6,5,2.1,1.73,1.95,1.9,2.1,3.1,3.8,2.05,3.2,3.9,2.1,1.73,2.08,1.73
serie-a,2025-2026,04/10/2025,Parma,Lecce,0,1,10,7,2,3,4,9,16,16,1,2,0,0,A,0,1,A,1.85,3.7,4.1,1.82,3.5,4.4,2.2,1.67,1.85,2,1.85,3.4,4.5,1.9,3.3,4.33,2.2,1.67,1.88,1.98
serie-a,2025-2026,04/10/2025,Inter,Cremonese,4,1,27,3,9,2,13,1,9,8,1,1,0,0,H,2,0,H,1.2,6.5,15,1.2,7,14,1.5,2.63,1.98,1.88,1.17,7,21,1.17,7.25,18.5,1.57,2.38,1.88,1.98
serie-a,2025-2026,04/10/2025,Atalanta,Como,1,1,16,12,4,4,8,3,10,19,1,3,0,0,D,1,1,D,2.2,3.4,3.25,2.2,3.4,3.2,1.73,2.1,1.93,1.93,2.15,3.4,3.4,2.25,3.3,3.2,1.83,2.03,1.88,1.98
serie-a,2025-2026,05/10/2025,Udinese,Cagliari,1,1,23,8,4,2,7,2,14,16,1,2,0,0,D,0,1,A,2.15,3.2,3.6,2.2,3.2,3.5,2.3,1.62,1.83,2.03,2.05,3.2,4.1,2.15,3.1,3.7,2.2,1.67,2.08,1.73
serie-a,2025-2026,05/10/2025,Bologna,Pisa,4,0,24,2,7,0,2,2,16,12,0,1,0,1,H,3,0,H,1.6,3.9,5.75,1.6,3.8,6,2.2,1.67,1.78,2.1,1.65,3.7,5.5,1.68,3.6,5.5,2.2,1.67,1.85,2
serie-a,2025-2026,05/10/2025,Fiorentina,Roma,1,2,11,8,3,3,3,4,19,21,2,3,0,0,A,1,2,A,3,3.3,2.4,2.9,3.3,2.4,2,1.8,2.08,1.73,3,3.2,2.45,3,3.2,2.45,2.2,1.67,2.1,1.7
serie-a,2025-2026,05/10/2025,Napoli,Genoa,2,1,12,6,5,1,7,5,16,15,1,3,0,0,H,0,1,A,1.48,4,8,1.49,4,7.25,2.2,1.67,1.85,2,1.45,4,9,1.47,4,7.75,2.3,1.62,1.8,2.05
serie-a,2025-2026,05/10/2025,Juventus,Milan,0,0,12,13,3,4,6,0,15,8,2,2,0,0,D,0,0,D,2.7,3.2,2.7,2.6,3.25,2.7,2.1,1.73,1.93,1.93,2.75,3,2.8,2.75,3.1,2.7,2.1,1.73,1.9,1.95
serie-a,2025-2026,18/10/2025,Lecce,Sassuolo,0,0,11,9,2,2,6,4,16,14,2,2,0,0,D,0,0,D,2.9,3.2,2.5,2.95,3.2,2.5,2.2,1.67,2.1,1.78,2.75,3,2.75,2.85,3,2.7,2.2,1.67,1.95,1.9
serie-a,2025-2026,18/10/2025,Pisa,Verona,0,0,7,15,0,3,3,8,8,14,4,2,0,0,D,0,0,D,2.55,3.1,2.9,2.5,3.1,2.95,2.38,1.57,1.8,2.05,2.7,2.8,3,2.65,2.95,2.95,2.75,1.44,1.83,2.03
serie-a,2025-2026,18/10/2025,Torino,Napoli,1,0,12,22,2,5,3,11,9,9,1,2,0,0,H,1,0,H,5.25,3.3,1.8,4.8,3.5,1.75,2.2,1.67,1.8,2.05,5.25,3.25,1.8,4.8,3.3,1.82,2.3,1.62,2.03,1.83
serie-a,2025-2026,18/10/2025,Roma,Inter,0,1,15,12,5,3,4,5,18,29,4,3,0,0,A,0,1,A,3.3,3.25,2.25,3.25,3.25,2.25,2.1,1.73,1.9,1.95,3.5,3.25,2.15,3.5,3.25,2.15,2.1,1.73,2.03,1.83
serie-a,2025-2026,19/10/2025,Como,Juventus,2,0,12,15,6,3,4,1,17,15,3,1,0,0,H,1,0,H,2.88,3.25,2.5,2.95,3.3,2.4,2.1,1.73,1.73,2.08,3.1,3.3,2.3,3.1,3.2,2.37,2.1,1.73,1.85,2
serie-a,2025-2026,19/10/2025,Cagliari,Bologna,0,2,4,10,3,7,2,7,15,22,1,3,0,0,A,0,1,A,3.6,3.3,2.1,3.6,3.2,2.15,2.3,1.62,2.03,1.83,3.9,3.3,2,3.75,3.2,2.1,2.2,1.67,1.83,2.03
serie-a,2025-2026,19/10/2025,Genoa,Parma,0,0,23,1,7,0,3,0,15,13,2,5,0,1,D,0,0,D,2.1,3,4,2.1,3.1,3.8,2.5,1.53,1.8,2.05,2.25,2.88,3.75,2.25,2.9,3.7,2.75,1.44,1.9,1.95
serie-a,2025-2026,19/10/2025,Atalanta,Lazio,0,0,16,4,6,1,7,1,10,5,4,0,0,0,D,0,0,D,1.73,4,4.5,1.73,3.8,4.6,1.8,2,1.93,1.93,1.83,3.75,4.2,1.83,3.7,4.2,1.83,2.03,1.85,2
serie-a,2025-2026,19/10/2025,Milan,Fiorentina,2,1,14,5,4,1,1,3,14,12,3,3,0,0,H,0,0,D,1.5,4.33,6.5,1.53,4.1,6.25,1.88,1.98,1.93,1.93,1.73,3.6,5,1.68,3.7,5.25,2.1,1.73,1.93,1.93
serie-a,2025-2026,20/10/2025,Cremonese,Udinese,1,1,11,8,4,1,5,4,15,14,4,2,0,0,D,1,0,H,3,3.25,2.4,2.87,3.2,2.5,2.2,1.67,1.78,2.1,3.2,3.1,2.4,3.1,3,2.45,2.3,1.62,1.8,2.05
serie-a,2025-2026,24/10/2025,Milan,Pisa,2,2,20,8,7,2,6,2,8,21,1,3,0,0,D,1,0,H,1.3,5.5,10,1.32,5.25,9.75,1.8,2.05,1.93,1.93,1.3,5.5,9.5,1.34,5.25,8.75,1.8,2,2.05,1.8
serie-a,2025-2026,25/10/2025,Parma,Como,0,0,10,6,3,2,3,3,7,14,0,1,0,0,D,0,0,D,3.9,3.5,1.95,3.7,3.4,2,2.05,1.75,1.88,1.98,4.5,3.2,1.95,4.1,3.25,1.98,2.35,1.57,1.88,1.98
serie-a,2025-2026,25/10/2025,Udinese,Lecce,3,2,8,13,4,3,4,9,12,12,2,2,0,0,H,2,0,H,1.8,3.4,4.75,1.8,3.5,4.5,2.2,1.67,1.83,2.03,1.95,3.2,4.5,2,3.1,4.2,2.3,1.62,1.98,1.88
serie-a,2025-2026,25/10/2025,Napoli,Inter,3,1,7,15,3,3,1,4,15,10,2,1,0,0,H,1,0,H,3,3.1,2.4,2.95,3.2,2.5,2.1,1.73,2.1,1.7,3.6,3.2,2.2,3.4,3.1,2.25,2.03,1.83,1.98,1.88
serie-a,2025-2026,25/10/2025,Cremonese,Atalanta,1,1,9,20,5,6,2,10,6,8,3,1,0,0,D,0,0,D,5,4.2,1.62,5.25,4,1.62,1.88,1.98,2.05,1.75,7,4.75,1.42,6.75,4.5,1.46,1.57,2.38,1.9,1.95
serie-a,2025-2026,26/10/2025,Torino,Genoa,2,1,13,11,6,3,9,1,14,9,2,2,0,0,H,0,1,A,2.25,2.9,3.5,2.3,3,3.5,2.75,1.44,1.95,1.9,2.45,2.88,3.25,2.5,2.85,3.25,2.75,1.44,2.13,1.75
serie-a,2025-2026,26/10/2025,Sassuolo,Roma,0,1,11,15,1,8,6,6,18,16,3,2,0,0,A,0,1,A,4.5,3.5,1.85,4.2,3.5,1.87,2.1,1.73,2,1.85,4.2,3.4,1.95,4.33,3.4,1.88,2.2,1.67,1.9,1.95
serie-a,2025-2026,26/10/2025,Verona,Cagliari,2,2,10,7,6,3,3,2,16,12,3,4,0,0,D,1,0,H,2.25,3,3.6,2.3,3.1,3.3,2.5,1.53,1.9,1.95,1.95,3.2,4.33,1.98,3.1,4.33,2.38,1.57,1.98,1.88
serie-a,2025-2026,26/10/2025,Fiorentina,Bologna,2,2,19,6,7,3,5,6,13,20,3,5,0,1,D,0,1,A,2.7,3.1,2.75,2.65,3.2,2.75,2.2,1.67,1.88,1.98,2.8,2.88,2.88,2.8,2.9,2.8,2.63,1.5,1.93,1.93
serie-a,2025-2026,26/10/2025,Lazio,Juventus,1,0,13,14,3,5,2,5,11,18,2,4,0,0,H,1,0,H,3.2,3.25,2.3,3.2,3.2,2.3,2.2,1.67,1.88,1.98,3.5,3.2,2.2,3.4,3.1,2.25,2.2,1.67,1.98,1.88
serie-a,2025-2026,28/10/2025,Lecce,Napoli,0,1,7,14,2,3,3,5,10,14,2,1,0,0,A,0,0,D,6.5,3.75,1.55,6.5,3.9,1.55,2.2,1.67,1.85,2,6,3.6,1.62,5.75,3.7,1.63,2.2,1.67,1.73,2.08
serie-a,2025-2026,28/10/2025,Atalanta,Milan,1,1,17,6,3,1,9,4,9,8,1,3,0,0,D,1,1,D,2.63,3.2,2.75,2.6,3.4,2.65,2,1.85,1.9,1.95,2.55,3.25,2.8,2.55,3.25,2.8,1.98,1.88,1.85,2
