league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
bundesliga,2025-2026,04/10/2025,Ein Frankfurt,Bayern Munich,0,3,6,12,1,3,4,3,11,11,1,2,0,0,A,0,2,A,6.25,5.25,1.42,5.75,5.25,1.46,1.29,3.75,1.78,2.03,7.5,5.75,1.33,6.75,5.75,1.37,1.22,4.33,1.95,1.9
bundesliga,2025-2026,05/10/2025,Stuttgart,Heidenheim,1,0,18,5,6,1,1,1,11,12,1,1,0,0,H,0,0,D,1.42,4.75,7,1.46,4.8,6.25,1.5,2.63,1.93,1.93,1.38,5,7.5,1.43,5,6.5,1.44,2.75,2.03,1.83
bundesliga,2025-2026,05/10/2025,Hamburg,Mainz,4,0,15,11,9,4,1,4,14,13,2,3,0,0,H,2,0,H,2.8,3.5,2.4,2.75,3.6,2.4,1.73,2.1,1.73,2.08,3.1,3.75,2.15,3.1,3.7,2.15,1.53,2.5,1.95,1.9
bundesliga,2025-2026,05/10/2025,M'gladbach,Freiburg,0,0,9,12,5,1,4,1,15,7,3,1,0,0,D,0,0,D,2.25,3.6,3,2.2,3.6,3.1,1.73,2.1,2,1.85,2.7,3.25,2.63,2.5,3.4,2.75,1.93,1.93,1.93,1.93
bundesliga,2025-2026,17/10/2025,Union Berlin,M'gladbach,3,1,16,8,5,2,6,6,21,15,5,3,0,0,H,2,1,H,2.2,3.4,3.2,2.2,3.4,3.25,1.88,1.98,1.93,1.93,2.25,3.25,3.2,2.25,3.25,3.2,2.05,1.8,1.98,1.88
bundesliga,2025-2026,18/10/2025,FC Koln,Augsburg,1,1,9,10,2,4,5,2,10,17,2,2,0,0,D,0,0,D,1.95,3.9,3.5,1.98,3.7,3.5,1.57,2.38,1.98,1.88,2,3.8,3.4,2.05,3.75,3.3,1.53,2.5,2.03,1.83
bundesliga,2025-2026,18/10/2025,Heidenheim,Werder Bremen,2,2,31,11,11,4,12,2,9,11,1,3,0,0,D,0,0,D,2.88,3.5,2.35,2.85,3.6,2.35,1.67,2.2,1.8,2.05,2.63,3.4,2.55,2.65,3.5,2.5,1.67,2.2,1.98,1.88
bundesliga,2025-2026,18/10/2025,Mainz,Leverkusen,3,4,12,20,4,8,2,3,20,12,4,4,0,0,A,1,3,A,2.8,3.4,2.45,2.85,3.4,2.4,1.8,2,2.05,1.8,2.45,3.4,2.8,2.55,3.5,2.65,1.62,2.3,1.8,2.05
bundesliga,2025-2026,18/10/2025,RB Leipzig,Hamburg,2,1,10,15,4,3,3,5,13,12,3,1,0,0,H,1,0,H,1.44,4.75,6.5,1.42,5.25,6.25,1.36,3.2,1.88,1.98,1.45,5,6,1.46,5,6,1.33,3.4,1.93,1.93
bundesliga,2025-2026,18/10/2025,Wolfsburg,Stuttgart,0,3,11,15,3,7,3,8,12,8,1,1,0,0,A,0,1,A,2.63,3.6,2.5,2.55,3.7,2.5,1.62,2.3,1.98,1.88,2.8,3.5,2.38,2.75,3.6,2.4,1.67,2.2,1.78,2.1
bundesliga,2025-2026,18/10/2025,Bayern Munich,Dortmund,2,1,15,8,7,1,4,3,12,17,1,3,0,0,H,1,0,H,1.33,5.5,7.5,1.36,5.5,7.25,1.33,3.4,1.93,1.93,1.38,5.25,7,1.37,5.5,7.25,1.33,3.4,1.98,1.88
bundesliga,2025-2026,19/10/2025,Freiburg,Ein Frankfurt,2,2,12,8,5,3,3,1,6,15,2,3,0,0,D,1,2,A,2.5,3.5,2.7,2.55,3.6,2.55,1.62,2.3,1.85,2,2.35,3.6,2.88,2.45,3.5,2.7,1.67,2.2,1.7,2.1
