league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
ligue-1,2025-2026,03/10/2025,Paris FC,Lorient,2,0,10,8,2,3,1,5,19,10,0,2,0,0,H,2,0,H,1.73,3.9,4.5,1.75,3.9,4.33,1.67,2.2,1.98,1.88,1.73,3.8,4.75,1.78,3.75,4.33,1.73,2.1,1.95,1.9
ligue-1,2025-2026,04/10/2025,Metz,Marseille,0,3,4,21,1,9,4,4,8,7,0,0,0,0,A,0,0,D,6.25,5,1.45,6.25,4.6,1.47,1.62,2.3,1.85,2,5.5,4.1,1.57,5.5,4.2,1.57,1.73,2.1,1.65,2.2
ligue-1,2025-2026,04/10/2025,Brest,Nantes,0,0,17,6,5,0,12,3,11,12,2,1,0,0,D,0,0,D,1.85,3.75,4,1.88,3.6,4,1.93,1.93,1.88,1.98,1.91,3.6,4,1.9,3.6,4,2,1.85,1.93,1.93
ligue-1,2025-2026,04/10/2025,Auxerre,Lens,1,2,18,7,2,4,2,2,10,21,3,7,0,1,A,0,1,A,3.6,3.8,1.95,3.6,3.6,1.98,1.85,2,1.88,1.98,3.4,3.8,2,3.5,3.6,2,1.8,2,1.83,2.03
ligue-1,2025-2026,05/10/2025,Lyon,Toulouse,1,2,13,14,3,4,8,5,13,17,1,3,0,0,A,1,0,H,1.9,3.7,4,1.95,3.6,3.7,1.8,2,1.93,1.93,2.05,3.4,3.75,2,3.4,3.8,2,1.85,2.03,1.83
ligue-1,2025-2026,05/10/2025,Le Havre,Rennes,2,2,10,9,2,3,3,4,13,9,1,2,0,0,D,1,2,A,3.1,3.3,2.35,3,3.3,2.35,2,1.85,1.83,2.03,3.1,3.5,2.2,3.1,3.4,2.3,2,1.85,1.88,1.98
ligue-1,2025-2026,05/10/2025,Monaco,Nice,2,2,20,9,6,2,6,7,10,9,1,3,0,1,D,1,2,A,1.9,3.7,3.9,1.88,3.8,3.75,1.57,2.38,1.9,1.95,1.95,3.7,3.7,1.95,3.75,3.6,1.53,2.5,2,1.85
ligue-1,2025-2026,05/10/2025,Strasbourg,Angers,5,0,18,5,12,1,2,5,12,11,2,2,0,0,H,1,0,H,1.67,3.9,5.25,1.65,3.8,5.25,2.03,1.83,1.85,2,1.73,3.8,4.75,1.75,3.6,4.8,2,1.8,1.95,1.9
ligue-1,2025-2026,05/10/2025,Lille,Paris SG,1,1,9,17,3,5,3,5,11,12,1,1,0,0,D,0,0,D,4.5,3.9,1.75,4.4,3.8,1.75,1.67,2.2,1.88,1.98,3.5,3.4,2.05,3.3,3.6,2.1,1.67,2.2,2.03,1.83
ligue-1,2025-2026,17/10/2025,Paris SG,Strasbourg,3,3,21,12,9,7,4,1,12,15,2,1,0,0,D,1,2,A,1.3,6,8.5,1.33,5.75,8,1.44,2.75,1.85,2,1.36,5,8,1.42,5.25,6.25,1.44,2.75,1.93,1.93
