kickoff_iso,league,home_team,away_team,team,venue,line,side,model_prob,model_fair,book_odds,bookmaker,edge,captured_at,lambda_venue,lambda_recent,divergence,consensus,effective_stake,preferred
2026-04-26T18:45:00Z,serie-a,AC Milan,Juventus Turin,Juventus Turin,away,12.5,under,0.4064,2.461,2.0,Bet365,-0.1872,2026-04-23T23:13:33Z,12.76,13.21,0.035,aligned,0.0,False
2026-04-25T13:30:00Z,bundesliga,1. FC Heidenheim,FC St. Pauli,1. FC Heidenheim,home,12.5,over,0.442,2.262,1.833,Bet365,-0.1898,2026-04-23T23:13:36Z,11.03,9.96,0.0973,aligned,0.0,False
2026-04-26T14:15:00Z,la-liga,Real Oviedo,Elche CF,Elche CF,away,11.5,under,0.4689,2.133,1.727,Bet365,-0.1902,2026-04-23T23:13:34Z,9.87,10.19,0.0321,aligned,0.0,False
2026-04-26T12:00:00Z,la-liga,Rayo Vallecano,Real Sociedad San Sebastian,Real Sociedad San Sebastian,away,10.5,under,0.4038,2.476,2.0,Bet365,-0.1924,2026-04-23T23:13:34Z,11.92,10.3,0.136,aligned,0.0,False
2026-04-27T18:45:00Z,serie-a,Lazio Rome,Udinese Calcio,Udinese Calcio,away,10.5,under,0.4674,2.139,1.727,Bet365,-0.1928,2026-04-23T23:13:33Z,10.42,10.63,0.0203,aligned,0.0,False
2026-04-25T11:30:00Z,epl,Fulham FC,Aston Villa,Fulham FC,home,13.5,under,0.4403,2.271,1.833,Bet365,-0.1929,2026-04-23T23:13:31Z,14.86,16.51,0.1106,aligned,0.0,False
2026-04-25T13:30:00Z,bundesliga,FC Augsburg,Eintracht Frankfurt,FC Augsburg,home,14.5,over,0.4402,2.272,1.833,Bet365,-0.1931,2026-04-23T23:13:36Z,12.6,13.25,0.0514,aligned,0.0,False
2026-04-26T12:00:00Z,la-liga,Rayo Vallecano,Real Sociedad San Sebastian,Rayo Vallecano,home,14.5,under,0.4466,2.239,1.8,Bet365,-0.1961,2026-04-23T23:13:34Z,17.89,18.25,0.0201,aligned,0.0,False
2026-04-26T16:00:00Z,serie-a,Torino FC,Inter Milano,Torino FC,home,9.5,under,0.3957,2.527,2.0,Bet365,-0.2086,2026-04-23T23:13:33Z,9.72,9.45,0.0277,aligned,0.0,False
2026-04-26T19:00:00Z,la-liga,Villarreal CF,RC Celta de Vigo,Villarreal CF,home,12.5,over,0.4341,2.304,1.8,Bet365,-0.2186,2026-04-23T23:13:34Z,13.46,12.61,0.0627,aligned,0.0,False
2026-04-25T18:45:00Z,serie-a,Hellas Verona,US Lecce,Hellas Verona,home,11.5,under,0.3863,2.589,2.0,Bet365,-0.2274,2026-04-23T23:13:33Z,12.12,11.76,0.0295,aligned,0.0,False
2026-04-27T16:30:00Z,serie-a,Cagliari Calcio,Atalanta BC,Atalanta BC,away,12.5,under,0.3826,2.614,2.0,Bet365,-0.2348,2026-04-23T23:13:33Z,12.54,12.92,0.03,aligned,0.0,False
2026-04-25T11:30:00Z,epl,Fulham FC,Aston Villa,Aston Villa,away,12.5,under,0.4425,2.26,1.727,Bet365,-0.2358,2026-04-23T23:13:31Z,11.5,11.84,0.0298,aligned,0.0,False
2026-04-25T13:30:00Z,bundesliga,VFL Wolfsburg,Borussia Monchengladbach,Borussia Monchengladbach,away,12.5,under,0.4123,2.425,1.833,Bet365,-0.2443,2026-04-23T23:13:36Z,14.08,14.98,0.0643,aligned,0.0,False
