kickoff_iso,league,home_team,away_team,team,venue,line,side,model_prob,model_fair,book_odds,bookmaker,edge,captured_at,lambda_venue,lambda_recent,divergence,consensus,effective_stake,preferred
2026-05-24T16:00:00Z,serie-a,SSC Napoli,Udinese Calcio,Udinese Calcio,away,9.5,under,0.5179,1.931,1.833,Bet365,-0.0507,2026-05-21T19:16:39Z,8.24,8.02,0.0265,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Real Betis Seville,Levante UD,Levante UD,away,10.5,over,0.5269,1.898,1.8,Bet365,-0.0516,2026-05-21T19:16:40Z,10.39,10.76,0.0352,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Manchester City,Aston Villa,Manchester City,home,15.5,over,0.4954,2.019,1.909,Bet365,-0.0543,2026-05-21T11:42:01Z,17.73,18.2,0.0266,aligned,0.0,False
2026-05-24T13:00:00Z,serie-a,Parma Calcio,Sassuolo Calcio,Sassuolo Calcio,away,13.5,over,0.4713,2.122,2.0,Bet365,-0.0574,2026-05-21T19:16:39Z,13.38,12.77,0.0454,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Real Madrid,Athletic Bilbao,Athletic Bilbao,away,11.5,over,0.4901,2.04,1.909,Bet365,-0.0644,2026-05-21T19:16:40Z,11.19,10.43,0.0686,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Sunderland AFC,Chelsea FC,Chelsea FC,away,12.5,under,0.4645,2.153,2.0,Bet365,-0.071,2026-05-21T11:42:01Z,13.25,11.34,0.1439,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Brighton & Hove Albion,Manchester United,Manchester United,away,11.5,under,0.5158,1.939,1.8,Bet365,-0.0716,2026-05-21T19:16:38Z,11.08,8.82,0.2043,divergent,0.0,False
2026-05-24T15:00:00Z,epl,Tottenham Hotspur,Everton FC,Everton FC,away,11.5,under,0.5367,1.863,1.727,Bet365,-0.0731,2026-05-21T19:16:38Z,10.7,11.83,0.1059,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Tottenham Hotspur,Everton FC,Everton FC,away,11.5,over,0.4633,2.158,2.0,Bet365,-0.0734,2026-05-21T19:16:38Z,10.7,11.83,0.1059,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Liverpool FC,Brentford FC,Liverpool FC,home,15.5,under,0.5054,1.979,1.833,Bet365,-0.0736,2026-05-21T19:16:38Z,17.71,15.49,0.1253,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Sunderland AFC,Chelsea FC,Chelsea FC,away,12.5,over,0.5355,1.867,1.727,Bet365,-0.0752,2026-05-21T11:42:01Z,13.25,11.34,0.1439,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Brighton & Hove Albion,Manchester United,Manchester United,away,11.5,over,0.4842,2.065,1.909,Bet365,-0.0757,2026-05-21T19:16:38Z,11.08,8.82,0.2043,divergent,0.0,False
2026-05-23T19:00:00Z,la-liga,Real Madrid,Athletic Bilbao,Athletic Bilbao,away,11.5,under,0.5099,1.961,1.8,Bet365,-0.0822,2026-05-21T19:16:40Z,11.19,10.43,0.0686,aligned,0.0,False
2026-05-24T13:00:00Z,serie-a,Parma Calcio,Sassuolo Calcio,Sassuolo Calcio,away,13.5,under,0.5287,1.891,1.727,Bet365,-0.0869,2026-05-21T19:16:39Z,13.38,12.77,0.0454,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Manchester City,Aston Villa,Manchester City,home,15.5,under,0.5046,1.982,1.8,Bet365,-0.0917,2026-05-21T11:42:01Z,17.73,18.2,0.0266,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Liverpool FC,Brentford FC,Liverpool FC,home,15.5,over,0.4946,2.022,1.833,Bet365,-0.0934,2026-05-21T19:16:38Z,17.71,15.49,0.1253,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Real Betis Seville,Levante UD,Levante UD,away,10.5,under,0.4731,2.114,1.909,Bet365,-0.0969,2026-05-21T19:16:40Z,10.39,10.76,0.0352,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Valencia CF,FC Barcelona,FC Barcelona,away,14.5,over,0.5012,1.995,1.8,Bet365,-0.0978,2026-05-21T19:16:40Z,16.03,13.11,0.1823,divergent,0.0,False
2026-05-23T16:00:00Z,serie-a,Bologna FC,Inter Milano,Bologna FC,home,10.5,under,0.4502,2.221,2.0,Bet365,-0.0996,2026-05-21T12:40:34Z,10.85,10.86,0.001,aligned,0.0,False
2026-05-24T18:45:00Z,serie-a,Torino FC,Juventus Turin,Juventus Turin,away,14.5,over,0.5199,1.923,1.727,Bet365,-0.1021,2026-05-21T19:16:39Z,16.46,14.6,0.113,aligned,0.0,False
2026-05-23T16:00:00Z,serie-a,Bologna FC,Inter Milano,Inter Milano,away,12.5,under,0.4473,2.236,2.0,Bet365,-0.1054,2026-05-21T19:16:39Z,13.6,10.63,0.2184,divergent,0.0,False
2026-05-24T16:00:00Z,serie-a,SSC Napoli,Udinese Calcio,Udinese Calcio,away,9.5,over,0.4821,2.074,1.833,Bet365,-0.1163,2026-05-21T19:16:39Z,8.24,8.02,0.0265,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Nottingham Forest,AFC Bournemouth,AFC Bournemouth,away,14.5,over,0.481,2.079,1.833,Bet365,-0.1183,2026-05-21T19:16:38Z,15.56,14.05,0.0972,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Fulham FC,Newcastle United,Newcastle United,away,12.5,under,0.4794,2.086,1.833,Bet365,-0.1213,2026-05-21T19:16:38Z,12.95,12.73,0.0168,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Sunderland AFC,Chelsea FC,Sunderland AFC,home,10.5,under,0.4779,2.092,1.833,Bet365,-0.124,2026-05-21T11:42:01Z,10.3,11.14,0.0821,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Deportivo Alaves,Rayo Vallecano,Rayo Vallecano,away,11.5,over,0.4865,2.055,1.8,Bet365,-0.1243,2026-05-21T19:16:40Z,11.13,10.09,0.0934,aligned,0.0,False
2026-05-24T19:00:00Z,la-liga,Villarreal CF,Atletico Madrid,Atletico Madrid,away,11.5,under,0.4771,2.096,1.833,Bet365,-0.1255,2026-05-21T19:16:40Z,11.83,12.0,0.0148,aligned,0.0,False
2026-05-23T16:00:00Z,serie-a,Bologna FC,Inter Milano,Bologna FC,home,11.5,over,0.4718,2.12,1.833,Bet365,-0.1352,2026-05-21T19:16:39Z,10.85,10.86,0.001,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Girona FC,Elche CF,Elche CF,away,9.5,under,0.4307,2.322,2.0,Bet365,-0.1386,2026-05-21T19:16:40Z,9.71,10.56,0.0871,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Deportivo Alaves,Rayo Vallecano,Deportivo Alaves,home,12.5,over,0.4665,2.144,1.833,Bet365,-0.1449,2026-05-21T19:16:40Z,11.9,11.59,0.0263,aligned,0.0,False
2026-05-22T18:45:00Z,serie-a,ACF Fiorentina,Atalanta BC,Atalanta BC,away,13.5,over,0.4894,2.043,1.727,Bet365,-0.1548,2026-05-21T19:16:39Z,13.75,14.35,0.0436,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Sunderland AFC,Chelsea FC,Sunderland AFC,home,11.5,over,0.441,2.268,1.909,Bet365,-0.1581,2026-05-21T19:16:38Z,10.3,11.14,0.0821,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Liverpool FC,Brentford FC,Brentford FC,away,11.5,over,0.4192,2.385,2.0,Bet365,-0.1616,2026-05-21T19:16:38Z,9.92,8.48,0.1446,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Sunderland AFC,Chelsea FC,Chelsea FC,away,13.5,over,0.4647,2.152,1.8,Bet365,-0.1635,2026-05-21T19:16:38Z,13.25,11.34,0.1439,aligned,0.0,False
