scope,league,lambda_source,alpha,edge_threshold,n,wins,losses,pushes,pnl,staked,roi_pct,avg_prob,avg_edge,avg_odds,overs,unders
league,serie-a,lambda_venue,0.00,0.10,8,4,4,0,-0.622,8.0,-7.775,0.70152,0.30064,1.8536,4,4
league,bundesliga,lambda_venue,0.00,0.15,4,2,2,0,-0.182,4.0,-4.55,0.70477,0.28848,1.8363,0,4
league,epl,lambda_venue,0.00,0.15,4,1,3,0,-2.091,4.0,-52.275,0.68936,0.32862,1.9272,1,3
league,la-liga,lambda_venue,0.00,0.15,10,5,5,0,-0.88,10.0,-8.8,0.7221,0.32504,1.8389,7,3
league,serie-a,lambda_venue,0.00,0.15,8,4,4,0,-0.622,8.0,-7.775,0.70152,0.30064,1.8536,4,4
league,bundesliga,lambda_venue,0.00,0.20,2,0,2,0,-2.0,2.0,-100.0,0.80371,0.42043,1.7635,0,2
league,epl,lambda_venue,0.00,0.20,3,1,2,0,-1.091,3.0,-36.3667,0.69799,0.37341,1.9697,1,2
league,la-liga,lambda_venue,0.00,0.20,7,5,2,0,2.12,7.0,30.2857,0.76051,0.39226,1.8327,4,3
league,serie-a,lambda_venue,0.00,0.20,5,3,2,0,0.651,5.0,13.02,0.73428,0.37871,1.8786,2,3
league,bundesliga,lambda_venue,0.00,0.25,1,0,1,0,-1.0,1.0,-100.0,0.88851,0.59932,1.8,0,1
league,epl,lambda_venue,0.00,0.25,2,1,1,0,-0.091,2.0,-4.55,0.73735,0.44085,1.9545,1,1
league,la-liga,lambda_venue,0.00,0.25,4,2,2,0,-0.273,4.0,-6.825,0.81328,0.50665,1.859,1,3
league,serie-a,lambda_venue,0.00,0.25,5,3,2,0,0.651,5.0,13.02,0.73428,0.37871,1.8786,2,3
league,bundesliga,lambda_venue,0.03,0.00,6,3,3,0,-0.455,6.0,-7.5833,0.66328,0.19949,1.812,0,6
league,epl,lambda_venue,0.03,0.00,8,2,6,0,-4.364,8.0,-54.55,0.63929,0.18414,1.8495,3,5
league,la-liga,lambda_venue,0.03,0.00,13,8,5,0,1.589,13.0,12.2231,0.66462,0.21818,1.8352,8,5
league,serie-a,lambda_venue,0.03,0.00,11,6,5,0,0.087,11.0,0.7909,0.64107,0.19563,1.8671,6,5
league,bundesliga,lambda_venue,0.03,0.05,5,3,2,0,0.545,5.0,10.9,0.6807,0.23195,1.8144,0,5
league,epl,lambda_venue,0.03,0.05,8,2,6,0,-4.364,8.0,-54.55,0.63929,0.18414,1.8495,3,5
league,la-liga,lambda_venue,0.03,0.05,12,7,5,0,0.756,12.0,6.3,0.67422,0.23578,1.8354,8,4
league,serie-a,lambda_venue,0.03,0.05,9,4,5,0,-1.622,9.0,-18.0222,0.6599,0.23216,1.8699,4,5
league,bundesliga,lambda_venue,0.03,0.10,5,3,2,0,0.545,5.0,10.9,0.6807,0.23195,1.8144,0,5
league,epl,lambda_venue,0.03,0.10,5,1,4,0,-3.091,5.0,-61.82,0.65797,0.25214,1.9018,1,4
league,la-liga,lambda_venue,0.03,0.10,11,6,5,0,0.029,11.0,0.2636,0.67953,0.25144,1.8453,7,4
league,serie-a,lambda_venue,0.03,0.10,8,4,4,0,-0.622,8.0,-7.775,0.67549,0.2524,1.8536,4,4
league,bundesliga,lambda_venue,0.03,0.15,2,0,2,0,-2.0,2.0,-100.0,0.77978,0.37804,1.7635,0,2
league,epl,lambda_venue,0.03,0.15,4,1,3,0,-2.091,4.0,-52.275,0.6689,0.28878,1.9272,1,3
league,la-liga,lambda_venue,0.03,0.15,6,4,2,0,1.287,6.0,21.45,0.74336,0.36156,1.8327,3,3
league,serie-a,lambda_venue,0.03,0.15,6,3,3,0,-0.349,6.0,-5.8167,0.6961,0.29872,1.8655,2,4
league,bundesliga,lambda_venue,0.03,0.20,2,0,2,0,-2.0,2.0,-100.0,0.77978,0.37804,1.7635,0,2
league,epl,lambda_venue,0.03,0.20,3,1,2,0,-1.091,3.0,-36.3667,0.67468,0.32743,1.9697,1,2
league,la-liga,lambda_venue,0.03,0.20,4,2,2,0,-0.273,4.0,-6.825,0.78833,0.46137,1.859,1,3
league,serie-a,lambda_venue,0.03,0.20,5,3,2,0,0.651,5.0,13.02,0.70612,0.3259,1.8786,2,3
league,bundesliga,lambda_venue,0.03,0.25,1,0,1,0,-1.0,1.0,-100.0,0.85922,0.5466,1.8,0,1
league,epl,lambda_venue,0.03,0.25,2,1,1,0,-0.091,2.0,-4.55,0.7042,0.37551,1.9545,1,1
league,la-liga,lambda_venue,0.03,0.25,4,2,2,0,-0.273,4.0,-6.825,0.78833,0.46137,1.859,1,3
