date,league,home_team,away_team,team,venue,bookmaker,line,side,book_odds,model_prob,model_prob_raw,model_fair_odds,edge,ev,actual_shots,won,pnl,kickoff_iso,note,home_lambda,away_lambda,home_lambda_venue,away_lambda_venue,home_lambda_recent,away_lambda_recent,home_consensus,away_consensus,home_divergence,away_divergence
2026-04-11,la-liga,Sevilla FC,Atletico Madrid,Atletico Madrid,away,Bet365,12.5,under,1.909,0.6344,0.6962,1.576,0.211,0.211,13,False,-1.0,,,,,,,,,,,,
2026-04-11,la-liga,Sevilla FC,Atletico Madrid,Sevilla FC,home,Bet365,10.5,over,1.8,0.5814,0.4817,1.72,0.0465,0.0465,11,True,0.8,,,,,,,,,,,,
2026-04-11,la-liga,Real Sociedad San Sebastian,Deportivo Alaves,Deportivo Alaves,away,Bet365,10.5,over,1.833,0.6799,0.5962,1.471,0.2463,0.2463,12,True,0.833,,,,,,,,,,,,
2026-04-11,bundesliga,Borussia Dortmund,Bayer Leverkusen,Bayer Leverkusen,away,Bet365,10.5,over,1.909,0.6163,0.5213,1.622,0.1766,0.1766,11,True,0.909,,,,,,,,,,,,
2026-04-11,bundesliga,RB Leipzig,Borussia Monchengladbach,RB Leipzig,home,Bet365,16.5,under,1.909,0.6402,0.5975,1.562,0.2221,0.2221,24,False,-1.0,,,,,,,,,,,,
2026-04-11,bundesliga,VFL Wolfsburg,Eintracht Frankfurt,Eintracht Frankfurt,away,Bet365,12.5,over,2.0,0.5779,0.4978,1.73,0.1558,0.1558,10,False,-1.0,,,,,,,,,,,,
2026-04-11,bundesliga,VFL Wolfsburg,Eintracht Frankfurt,VFL Wolfsburg,home,Bet365,12.5,under,1.727,0.6523,0.7117,1.533,0.1266,0.1266,22,False,-1.0,,,,,,,,,,,,
2026-04-11,bundesliga,1. FC Heidenheim,Union Berlin,Union Berlin,away,Bet365,13.5,under,1.8,0.5852,0.6378,1.709,0.0533,0.0533,10,True,0.8,,,,,,,,,,,,
2026-04-11,epl,Arsenal FC,AFC Bournemouth,Arsenal FC,home,Bet365,15.5,under,2.0,0.5505,0.5281,1.816,0.1011,0.1011,15,True,1.0,,,,,,,,,,,,
2026-04-11,la-liga,Real Sociedad San Sebastian,Deportivo Alaves,Real Sociedad San Sebastian,home,Bet365,14.5,under,1.833,0.5598,0.5756,1.786,0.0261,0.0261,12,True,0.833,,,,,,,,,,,,
2026-04-11,la-liga,Sevilla FC,Atletico Madrid,Atletico Madrid,away,Bet365,11.5,under,1.833,0.5636,0.6419,1.774,0.033,0.033,13,False,-1.0,,,,,,,,,,,,
2026-04-11,la-liga,FC Barcelona,Espanyol Barcelona,FC Barcelona,home,Bet365,18.5,over,1.833,0.6731,0.6731,1.486,0.2338,0.2338,20,True,0.833,,,,,,,,,,,,
2026-04-11,la-liga,Real Sociedad San Sebastian,Deportivo Alaves,Deportivo Alaves,away,Bet365,9.5,over,1.727,0.7553,0.6546,1.324,0.3044,0.3044,12,True,0.727,,,,,,,,,,,,
2026-04-11,epl,Liverpool FC,Fulham FC,Fulham FC,away,Bet365,10.5,over,1.727,0.5809,0.4811,1.722,0.0032,0.0032,19,True,0.727,,,,,,,,,,,,
2026-04-11,serie-a,AC Milan,Udinese Calcio,AC Milan,home,Bet365,15.5,under,1.833,0.5697,0.547,1.755,0.0443,0.0443,20,False,-1.0,,,,,,,,,,,,
2026-04-11,serie-a,Atalanta BC,Juventus Turin,Juventus Turin,away,Bet365,12.5,over,1.833,0.6985,0.6201,1.432,0.2803,0.2803,7,False,-1.0,,,,,,,,,,,,
2026-04-11,la-liga,Elche CF,Valencia CF,Valencia CF,away,Bet365,10.5,over,1.727,0.7074,0.6296,1.414,0.2217,0.2217,22,True,0.727,,,,,,,,,,,,
2026-04-11,bundesliga,FC St. Pauli,Bayern Munich,Bayern Munich,away,Bet365,16.5,under,1.8,0.5823,0.5418,1.717,0.0482,0.0482,20,False,-1.0,,,,,,,,,,,,
